UID,SITE_ID,VISIT_NO,OE_SCORE
2012640,NRS18_KS_10123,1,0.938574379
2012641,NRS18_LA_10007,1,0.623636384
2012642,NRS18_OR_10042,1,0.887723775
2012643,NRS18_UT_10004,1,0.337491839
2012645,NRS18_GA_10011,1,0.897847454
2012646,NRS18_OK_10058,1,0.604586292
2012647,NRS18_KY_10001,1,0.633131946
2012648,NRS18_MI_10682,1,0.472441335
2012649,NRS18_OK_11329,1,1.042270824
2012650,NRS18_SD_10039,1,1.430743442
2012651,NRS18_DE_10003,1,0.607387045
2012652,NRS18_WA_10021,1,1.124472333
2012653,NRS18_NJ_10183,1,0.510757581
2012654,NRS18_MI_10048,1,0.945726184
2012655,NRS18_CA_10066,1,1.13348309
2012656,NRS18_VT_10002,1,0.773902363
2012657,NRS18_CA_10322,1,0.379555857
2012658,NRS18_UT_10009,1,0.645257201
2012659,NRS18_KY_10008,1,0.413917678
2012660,NRS18_SC_10011,1,0.404267822
2012661,NRS18_SC_10007,1,0.396238679
2012662,NRS18_WA_10811,1,0.664678862
2012663,NRS18_WA_10001,1,0.773575529
2012664,NRS18_VT_10016,1,0.838779796
2012665,NRS18_SD_10037,1,1.414258072
2012666,NRS18_NH_10010,1,0.413525714
2012668,NRS18_MO_RF001,1,0.87206144
2012669,NRS18_NC_10020,1,0.148946362
2012672,NRS18_NE_10015,1,1.189530634
2012673,NRS18_OR_10026,1,0.988784069
2012674,NRS18_ND_10030,1,1.077991603
2012675,NRS18_CA_10029,1,0.443968647
2012676,NRS18_WA_10014,1,1.080543238
2012677,NRS18_WA_10002,1,0.705973621
2012678,NRS18_SC_10008,1,0.566779897
2012679,NRS18_WA_10013,1,1.118294938
2012680,NRS18_LA_10181,1,0.538467548
2012681,NRS18_LA_10011,1,0.659860465
2012682,NRS18_WA_10012,1,0.946211104
2012683,NRS18_LA_10019,1,0.989980082
2012684,NRS18_GA_10024,1,0.985018361
2012685,NRS18_NV_10003,1,1.064114034
2012686,NRS18_WA_10022,1,0.18623882
2012687,NRS18_TX_10012,1,0.683458937
2012688,NRS18_TX_10029,1,0.801012453
2012689,NRS18_TX_10030,1,0.971322366
2012690,NRS18_LA_10004,1,0.081002255
2012691,NRS18_LA_10006,1,0.867778861
2012692,NRS18_CT_10031,1,1.024916952
2012693,NRS18_LA_10001,2,0.198512179
2012694,NRS18_TX_10886,1,0.165352417
2012697,NRS18_WA_10007,1,1.114285486
2012698,NRS18_IL_10017,1,1.165464883
2012699,NRS18_LA_10013,2,0.560267653
2012702,NRS18_CT_10001,1,1.246651318
2012703,NRS18_MO_RF002,1,0.591967129
2012704,NRS18_IL_10514,1,0.830997005
2012705,NRS18_LA_10010,2,0.414482694
2012706,NRS18_LA_10002,2,0.413544555
2012707,NRS18_TN_10029,1,0.600526184
2012708,NRS18_WI_10005,1,1.284750226
2012709,NRS18_ND_10014,1,1.11273902
2012710,NRS18_IL_10009,1,0.669672145
2012711,NRS18_TX_10062,1,0.606708715
2012712,NRS18_WA_10011,1,1.020407515
2012713,NRS18_MI_10034,1,0.60727649399999994
2012714,NRS18_NV_10005,1,0.756599937
2012715,NRS18_NY_10017,1,0.735557899
2012717,NRS18_PA_10015,1,0.984866716
2012718,NRS18_WA_10005,1,0.564743124
2012719,NRS18_CA_10022,1,0.646950893
2012722,NRS18_MO_10002,1,0.191935071
2012723,NRS18_AR_10017,1,0.19652579
2012724,NRS18_OH_10043,1,0.876071092
2012725,NRS18_OK_10017,1,0.361284423
2012726,NRS18_OK_10038,1,1.010216657
2012727,NRS18_OH_10049,1,0.981089355
2012728,NRS18_WA_10047,1,0.362702271
2012729,NRS18_MI_10007,1,0.958635276
2012730,NRS18_IL_10005,1,1.376317172
2012731,NRS18_DE_10016,1,0.83816929
2012732,NRS18_SD_10544,1,1.013043773
2012733,NRS18_NV_10024,1,1.314837716
2012734,NRS18_IL_10010,1,0.861976841
2012735,NRS18_IL_10021,1,0.727214171
2012736,NRS18_WA_10049,1,0.7751167
2012737,NRS18_ND_10225,1,0.894217574
2012738,NRS18_WV_10002,1,0.596829132
2012739,NRS18_VT_10023,1,1.108881688
2012740,NRS18_PA_10026,1,1.07633573
2012741,NRS18_IL_10002,1,0.079440784
2012742,NRS18_KS_RF003,1,1.214317605
2012743,NRS18_NJ_10005,1,0.924858484
2012746,NRS18_NV_10007,1,1.10680869
2012747,NRS18_NH_10005,1,0.475316552
2012748,NRS18_AR_10002,1,0.293421244
2012749,NRS18_WA_10035,1,1.217208944
2012750,NRS18_SD_10016,1,0.738634238
2012751,NRS18_WI_10069,1,1.286539299
2012752,NRS18_OH_10001,2,0.880953677
2012753,NRS18_TX_10016,2,0.315837878
2012754,NRS18_ND_10010,2,1.590163717
2012755,NRS18_MO_10011,1,0.19155925
2012756,NRS18_KY_10019,1,0.152173556
2012757,NRS18_MA_10013,1,0.890599076
