"SITE_ID","VISIT_NO","SAMPLE_ID","H2O_dD","H2O_d18O","d.excess"
"NRS18_AR_10039","1",899180,-15.89,-2.87,7.07
"NRS18_AR_10040","1",100960,-26.68,-4.33,7.95
"NRS18_AR_10046","1",103100,-17.28,-2.96,6.4
"NRS18_AR_10190","1",896300,-24.24,-4.16,9.06
"NRS18_AR_10191","1",102980,-33.89,-5.74,12.05
"NRS18_AR_10192","1",102900,-20.58,-3.76,9.53
"NRS18_AR_10489","1",103120,-16.29,-2.98,7.53
"NRS18_AZ_10001","1",116140,-68.99,-9.09,3.74
"NRS18_AZ_10002","1",116160,-95.49,-11.28,-5.25
"NRS18_AZ_10003","1",112280,-68.92,-9.72,8.83
"NRS18_AZ_10004","1",116280,-108.68,-13.91,2.6
"NRS18_AZ_10005","1",116400,-107.73,-14.05,4.68
"NRS18_AZ_10006","1",116360,-90.66,-10.96,-2.98
"NRS18_AZ_10007","1",116340,-99.26,-12.05,-2.88
"NRS18_AZ_10008","1",117800,-76,-10.81,10.51
"NRS18_AZ_10009","1",116960,-98.71,-13.85,12.1
"NRS18_AZ_10010","1",116380,-47.75,-6.54,4.58
"NRS18_AZ_10011","1",116180,-80.59,-11.58,12.09
"NRS18_AZ_10012","1",113500,-70.11,-9.75,7.9
"NRS18_AZ_10013","1",109040,-65.87,-9.42,9.53
"NRS18_AZ_10014","1",116200,-108.33,-13.76,1.74
"NRS18_AZ_10015","1",116940,-71.17,-10.2,10.39
"NRS18_AZ_10016","1",116220,-97.72,-13.42,9.67
"NRS18_AZ_10020","1",116120,-100.17,-12.64,0.93
"NRS18_AZ_10021","1",116260,-81.57,-12.03,14.63
"NRS18_AZ_10024","1",116980,-78.47,-10.8,7.91
"NRS18_AZ_10027","1",109860,-64.58,-8.86,6.31
"NRS18_AZ_10456","1",113600,-61.52,-8.69,7.97
"NRS18_AZ_10457","1",101920,-96.19,-11.28,-5.96
"NRS18_AZ_10843","1",111360,-68.68,-9.16,4.61
"NRS18_AZ_12037","1",110620,-64.28,-9.01,7.81
"NRS18_AZ_12038","1",110600,-61.45,-8.38,5.63
"NRS18_AZ_12837","1",116320,-95.52,-11.17,-6.18
"NRS18_AZ_12844","1",116240,-95.69,-11.72,-1.92
"NRS18_CA_10001","1",117000,-77.1,-11.15,12.07
"NRS18_CA_10001","2",126480,-77.85,-11.23,12.02
"NRS18_CA_10002","1",117120,-87.93,-11.82,6.61
"NRS18_CA_10002","2",116500,-86.27,-11.7,7.31
"NRS18_CA_10004","1",134620,-80.21,-11.93,15.23
"NRS18_CA_10005","1",134720,-84.77,-12.43,14.67
"NRS18_CA_10006","1",126500,-123.04,-16.83,11.56
"NRS18_CA_10007","1",113640,-46.88,-7.42,12.51
"NRS18_CA_10008","1",113580,-89.52,-13.03,14.73
"NRS18_CA_10009","1",896100,-71.08,-10.79,15.26
"NRS18_CA_10010","1",126660,-118.6,-16,9.43
"NRS18_CA_10011","1",883340,-49.81,-7.25,8.23
"NRS18_CA_10012","1",109960,-78.42,-10.73,7.46
"NRS18_CA_10013","1",117280,-88.39,-11.67,4.97
"NRS18_CA_10014","1",116740,-80.37,-11.07,8.22
"NRS18_CA_10015","1",116600,-91.18,-12.7,10.39
"NRS18_CA_10016","1",899940,-81.8,-11.02,6.39
"NRS18_CA_10018","1",899660,-78.07,-11.39,13.09
"NRS18_CA_10019","1",117100,-79.52,-11.67,13.86
"NRS18_CA_10019","2",117300,-78.79,-11.41,12.46
"NRS18_CA_10020","1",899680,-93.73,-12.95,9.9
"NRS18_CA_10020","2",899640,-95.71,-13.23,10.13
"NRS18_CA_10021","1",897580,-73.99,-10.68,11.43
"NRS18_CA_10022","1",896160,-76.92,-10.91,10.37
"NRS18_CA_10024","1",111820,-85.75,-12.14,11.33
"NRS18_CA_10025","1",113540,-55.75,-8.16,9.5
"NRS18_CA_10026","1",117080,-45.22,-7.49,14.67
"NRS18_CA_10027","1",134820,-114.57,-15.57,9.98
"NRS18_CA_10028","1",897600,-127.77,-16.91,7.55
"NRS18_CA_10029","1",883780,-77.24,-10.81,9.26
"NRS18_CA_10030","1",886940,-83.56,-11.44,7.99
"NRS18_CA_10031","1",883240,-62.37,-8.79,7.92
"NRS18_CA_10032","1",883840,-79.67,-11.03,8.56
"NRS18_CA_10033","1",883720,-80.43,-11.35,10.41
"NRS18_CA_10034","1",117140,-88,-11.72,5.78
"NRS18_CA_10035","1",883860,-72.71,-9.59,4.01
"NRS18_CA_10036","1",883800,-76.74,-11.27,13.41
"NRS18_CA_10048","1",883320,-16.62,-0.63,-11.62
"NRS18_CA_10049","1",117620,-89.41,-11.31,1.09
"NRS18_CA_10052","1",883820,-77.02,-10.71,8.68
"NRS18_CA_10054","1",883760,-78.75,-10.85,8.01
"NRS18_CA_10055","1",899920,-78.01,-10.9,9.22
"NRS18_CA_10056","1",100660,-92.94,-12.72,8.81
"NRS18_CA_10059","1",117020,-33.58,-5.12,7.36
"NRS18_CA_10065","1",116640,-93.58,-12.17,3.77
"NRS18_CA_10066","1",896140,-77.97,-11.52,14.18
"NRS18_CA_10088","1",883180,-77.8,-11.75,16.22
"NRS18_CA_10094","1",117060,-76.86,-11.08,11.75
"NRS18_CA_10108","1",126460,-84.05,-12.39,15.03
"NRS18_CA_10247","1",117640,-98.31,-12.12,-1.34
"NRS18_CA_10322","1",883740,-76.62,-10.66,8.67
"NRS18_CA_10324","1",897620,-121.67,-16.53,10.59
"NRS18_CA_10343","1",896120,-75.23,-10.55,9.15
"NRS18_CA_10352","1",896500,-116.33,-15.52,7.85
"NRS18_CA_10389","1",895220,-103.16,-14.15,10.05
"NRS18_CA_10548","1",126560,-103.46,-13.63,5.59
"NRS18_CA_10788","1",100680,-89.47,-12.36,9.38
"NRS18_CA_10795","1",109980,-76.41,-10.02,3.78
"NRS18_CA_10889","1",116620,-90.14,-11.72,3.63
"NRS18_CO_10002","1",101540,-112.33,-14.9,6.85
"NRS18_CO_10002","2",105840,-109.72,-14.33,4.92
"NRS18_CO_10003","1",895560,-118.3,-15.79,8.04
"NRS18_CO_10003","2",106360,-109.94,-14.23,3.94
"NRS18_CO_10004","1",895500,-96.7,-13.37,10.26
"NRS18_CO_10005","1",895880,-104.38,-13.13,0.66
"NRS18_CO_10009","1",895660,-30.46,-4,1.55
"NRS18_CO_10010","1",895840,-83.13,-10.12,-2.15
"NRS18_CO_10011","1",101600,-76.82,-9.13,-3.8
"NRS18_CO_10012","1",884840,-91.51,-11.26,-1.41
"NRS18_CO_10013","1",895640,-103.14,-13.89,8
"NRS18_CO_10013","2",106200,-101.8,-13.67,7.59
"NRS18_CO_10014","1",101360,-115.51,-15.27,6.63
"NRS18_CO_10014","2",106120,-116.28,-15.18,5.2
"NRS18_CO_10016","1",101700,-93.58,-11.69,-0.07
"NRS18_CO_10017","1",106080,-127.84,-16.63,5.21
"NRS18_CO_10018","1",127220,-115.52,-16.11,13.34
"NRS18_CO_10020","1",895800,-83.61,-11.07,4.96
"NRS18_CO_10021","1",895620,-70.82,-9.96,8.86
"NRS18_CO_10024","1",895860,-120.45,-16.14,8.67
"NRS18_CO_10026","1",895780,-115.24,-14.94,4.32
"NRS18_CO_10028","1",885620,-38.97,-7.19,18.52
"NRS18_CO_10033","1",101580,-95.39,-12.71,6.33
"NRS18_CO_10034","1",101140,-110.48,-14.97,9.24
"NRS18_CO_10042","1",106000,-106.94,-13.71,2.71
"NRS18_CO_10046","1",895900,-83.53,-11.43,7.88
"NRS18_CO_10048","1",127560,-123.42,-16.48,8.43
"NRS18_CO_10050","1",101160,-38.1,-5.9,9.06
"NRS18_CO_10053","1",101560,-91.75,-12.27,6.4
"NRS18_CO_10055","1",106240,-113.65,-15.05,6.73
"NRS18_CO_10060","1",127200,-123.16,-16.31,7.34
"NRS18_CO_10061","1",101500,-98.66,-12.75,3.31
"NRS18_CO_10063","1",884200,-102.52,-13.06,2
"NRS18_CO_10064","1",127280,-128.15,-17.43,11.26
"NRS18_CO_10065","1",113960,-128.63,-17.44,10.87
"NRS18_CO_10068","1",101640,-123.43,-16.53,8.79
"NRS18_CO_10069","1",127080,-131.76,-17.89,11.33
"NRS18_CO_10070","1",895680,-67.43,-8.9,3.74
"NRS18_CO_10071","1",895700,-121.47,-15.93,6.01
"NRS18_CO_10072","1",116080,-123.41,-16.47,8.32
"NRS18_CO_10135","1",117880,-118.17,-15.53,6.09
"NRS18_CO_10224","1",108080,-87.32,-11.96,8.4
"NRS18_CO_10374","1",895580,-120.48,-15.93,6.96
"NRS18_CO_10398","1",126980,-111.25,-15.28,11.01
"NRS18_CO_10523","1",101660,-60.16,-8.26,5.95
"NRS18_CO_10825","1",895600,-85.69,-11.73,8.18
"NRS18_CO_10974","1",895540,-65.38,-8.46,2.32
"NRS18_CO_10975","1",895720,-62.29,-8.47,5.49
"NRS18_CO_10977","1",890700,-113.97,-14.9,5.2
"NRS18_CO_11124","1",895740,-124.29,-16.37,6.65
"NRS18_CO_11274","1",895520,-75.18,-8.49,-7.29
"NRS18_CO_11276","1",884720,-120.85,-15.36,2.03
"NRS18_CO_11278","1",101240,-77.57,-8.85,-6.79
"NRS18_CO_11423","1",895820,-96.77,-12.17,0.57
"NRS18_CO_11424","1",895760,-89.99,-11.11,-1.15
"NRS18_CO_11425","1",105820,-59.36,-7.77,2.8
"NRS18_CO_11725","1",101520,-112.65,-15,7.37
"NRS18_CO_RF001","1",895120,-126.63,-17.22,11.14
"NRS18_CO_RF002","1",887660,-125.27,-17.26,12.83
"NRS18_CO_RF003","1",104320,-92.31,-12.83,10.37
"NRS18_CO_RF004","1",894720,-97.85,-13.57,10.69
"NRS18_CO_RF005","1",894700,-92.03,-12.75,9.95
"NRS18_CO_RF006","1",125160,-117.29,-16.27,12.87
"NRS18_CO_RF007","1",125120,-119.37,-16.44,12.13
"NRS18_CO_RF011","1",125100,-121.58,-16.43,9.9
"NRS18_CO_RF015","1",125020,-130.11,-18.1,14.71
"NRS18_CO_RF016","1",125060,-114.03,-15.5,10
"NRS18_CO_RF017","1",125040,-118.33,-16.3,12.07
"NRS18_CO_RF018","1",124560,-132.62,-17.07,3.9
"NRS18_CO_RF019","1",125140,-113.78,-15.1,7.06
"NRS18_CO_RF020","1",125000,-127.22,-17.19,10.3
"NRS18_CT_10001","1",899580,-50.36,-8.17,14.98
"NRS18_CT_10001","2",103340,-41.33,-6.86,13.53
"NRS18_CT_10002","1",894780,-42.62,-6.85,12.18
"NRS18_CT_10002","2",109660,-44.76,-7.04,11.6
"NRS18_CT_10003","1",104240,-39.4,-6.46,12.25
"NRS18_CT_10004","1",102560,-38.62,-5.85,8.21
"NRS18_CT_10005","1",131680,-55.12,-8.28,11.12
"NRS18_CT_10006","1",104420,-35.84,-5.03,4.37
"NRS18_CT_10006","2",109740,-36.06,-4.61,0.79
"NRS18_CT_10007","1",135160,-54.48,-7.86,8.44
"NRS18_CT_10007","2",122480,-54.31,-7.69,7.22
"NRS18_CT_10008","1",899600,-46.5,-7.14,10.65
"NRS18_CT_10009","1",104300,-41.52,-6.54,10.79
"NRS18_CT_10010","1",116800,-54.65,-8.71,15.06
"NRS18_CT_10011","1",131740,-56.95,-8.59,11.81
"NRS18_CT_10017","1",103300,-38.17,-6.57,14.41
"NRS18_CT_10018","1",899000,-55.47,-8.21,10.18
"NRS18_CT_10019","1",126360,-52.34,-8.04,12.01
"NRS18_CT_10020","1",136280,-54.53,-8.22,11.22
"NRS18_CT_10030","1",899560,-45.17,-7.25,12.81
"NRS18_CT_10031","1",899540,-50.95,-8.53,17.26
"NRS18_CT_10032","1",103320,-39.75,-5.92,7.59
"NRS18_CT_10036","1",899620,-43.87,-7.47,15.89
"NRS18_CT_10037","1",111380,-38.72,-6.35,12.12
"NRS18_DE_10002","1",109940,-31.46,-5.6,13.36
"NRS18_DE_10002","2",109880,-40.54,-6.59,12.18
"NRS18_DE_10003","1",888380,-37.68,-6.68,15.76
"NRS18_DE_10004","1",130200,-39.56,-6.83,15.04
"NRS18_DE_10005","1",895940,-38.7,-6.47,13.08
"NRS18_DE_10005","2",896940,-34,-5.78,12.21
"NRS18_DE_10006","1",120420,-35.46,-6.22,14.32
"NRS18_DE_10006","2",131080,-35.4,-5.99,12.49
"NRS18_DE_10007","1",136120,-36.68,-6.46,14.96
"NRS18_DE_10008","1",898180,-36.71,-6.33,13.96
"NRS18_DE_10009","1",131900,-31.18,-5.3,11.25
"NRS18_DE_10010","1",109920,-37.87,-6.12,11.07
"NRS18_DE_10012","1",123540,-36.91,-6.05,11.53
"NRS18_DE_10014","1",893720,-39.33,-6.95,16.31
"NRS18_DE_10015","1",893820,-38.47,-6.68,14.97
"NRS18_DE_10016","1",891540,-41.19,-7.04,15.12
"NRS18_DE_10018","1",131120,-40.24,-6.86,14.61
"NRS18_DE_10019","1",130220,-33.02,-5.8,13.39
"NRS18_DE_10020","1",109900,-40.79,-6.87,14.17
"NRS18_DE_10021","1",136140,-36.92,-6.45,14.67
"NRS18_DE_10021","2",130140,-36.28,-5.92,11.06
"NRS18_DE_10033","1",896920,-37.02,-6.26,13.05
"NRS18_DE_10037","1",888360,-36.24,-6.37,14.7
"NRS18_DE_10332","1",130320,-38.75,-7.11,18.15
"NRS18_FL_10002","1",127920,-10.56,-2.25,7.47
"NRS18_FL_10002","2",131040,-11.94,-2.22,5.85
"NRS18_FL_10003","1",103200,-14.84,-2.21,2.8
"NRS18_FL_10004","1",883280,-18.46,-4,13.53
"NRS18_FL_10006","1",125240,-7.74,-1.48,4.08
"NRS18_FL_10006","2",125180,-10.51,-1.62,2.48
"NRS18_FL_10007","1",125220,-19.18,-3.46,8.48
"NRS18_FL_10007","2",131100,-17.97,-3.13,7.11
"NRS18_FL_10008","1",103680,-17.86,-3.54,10.48
"NRS18_FL_10009","1",103180,9.6,1.61,-3.27
"NRS18_FL_10010","1",108540,-26.02,-4.08,6.59
"NRS18_FL_10011","1",109360,-10.67,-2.4,8.53
"NRS18_FL_10012","1",101480,-8.4,-1.68,5.02
"NRS18_FL_10017","1",107220,-4.88,-1.79,9.4
"NRS18_FL_10020","1",133620,-14.13,-2.56,6.33
"NRS18_FL_10021","1",133760,-18.02,-4.05,14.36
"NRS18_FL_10021","2",133700,-17.36,-3.98,14.46
"NRS18_FL_10035","1",886860,-16.2,-3.1,8.57
"NRS18_FL_10037","1",108520,-5.06,-1.28,5.17
"NRS18_FL_10042","1",103620,3.16,0.56,-1.35
"NRS18_FL_10047","1",125200,-6.95,-0.76,-0.84
"NRS18_FL_10183","1",131020,-9.79,-2.26,8.28
"NRS18_FL_10333","1",109340,4.54,0.75,-1.46
"NRS18_FL_10334","1",131060,-18.29,-4.1,14.49
"NRS18_FL_RF001","1",885900,-5.93,-2,10.05
"NRS18_FL_RF002","1",123180,-17.34,-3.77,12.84
"NRS18_FL_RF003","1",123140,-18.42,-3.64,10.72
"NRS18_GA_10001","1",884620,-25.55,-4.73,12.31
"NRS18_GA_10001","2",100280,-21.5,-4,10.48
"NRS18_GA_10002","1",111660,-9.69,-2.01,6.4
"NRS18_GA_10002","2",110880,-22.26,-3.93,9.18
"NRS18_GA_10003","1",887200,-31.51,-5.5,12.49
"NRS18_GA_10004","1",106340,-16.43,-3.19,9.13
"NRS18_GA_10005","1",106380,-20.94,-3.69,8.61
"NRS18_GA_10006","1",105300,-26.51,-4.85,12.31
"NRS18_GA_10007","1",127020,-21.99,-3.92,9.35
"NRS18_GA_10008","1",112440,-19.14,-3.66,10.13
"NRS18_GA_10010","1",119980,-22.06,-3.88,8.96
"NRS18_GA_10011","1",885960,-23.66,-4.35,11.13
"NRS18_GA_10011","2",100320,-20.59,-4.06,11.92
"NRS18_GA_10012","1",119820,-24.28,-4.13,8.75
"NRS18_GA_10012","2",127060,-21.47,-3.92,9.89
"NRS18_GA_10014","1",106320,-6.41,2.66,-27.71
"NRS18_GA_10015","1",119840,-29.05,-5.3,13.35
"NRS18_GA_10016","1",108140,-11.58,-2.29,6.75
"NRS18_GA_10017","1",134400,-17.48,-3.29,8.84
"NRS18_GA_10018","1",134180,-26.14,-4.75,11.9
"NRS18_GA_10019","1",127040,-28.72,-5.01,11.4
"NRS18_GA_10020","1",134000,-25.05,-4.81,13.45
"NRS18_GA_10022","1",100600,-13.87,-2.43,5.6
"NRS18_GA_10023","1",100920,-14.09,-2.56,6.42
"NRS18_GA_10024","1",884680,-25.31,-4.85,13.47
"NRS18_GA_10025","1",105280,-26.56,-4.84,12.17
"NRS18_GA_10026","1",112460,-9.87,-1.79,4.48
"NRS18_GA_10027","1",897780,-14.74,-2,1.28
"NRS18_GA_10029","1",134420,-25.09,-4.72,12.7
"NRS18_GA_10035","1",134500,-18.55,-3.58,10.06
"NRS18_GA_10036","1",110840,-24.43,-4.74,13.46
"NRS18_GA_10057","1",113620,-18.02,-3.8,12.35
"NRS18_GA_10950","1",134520,-17.35,-3.34,9.4
"NRS18_GA_RF001","1",103500,-9.91,-2.19,7.63
"NRS18_GA_RF002","1",115340,-28.76,-5.99,19.19
"NRS18_IA_10001","1",886920,-43.89,-6.84,10.83
"NRS18_IA_10001","2",110760,-42.46,-6.9,12.7
"NRS18_IA_10003","1",115880,-41.77,-6.96,13.9
"NRS18_IA_10004","1",111860,-53.41,-8.13,11.62
"NRS18_IA_10005","1",115900,-51.53,-8,12.5
"NRS18_IA_10006","1",129220,-44.3,-6.54,8.05
"NRS18_IA_10007","1",115840,-44.24,-7.01,11.86
"NRS18_IA_10007","2",131000,-40.84,-6.03,7.43
"NRS18_IA_10008","1",135540,-51.53,-7.45,8.1
"NRS18_IA_10009","1",131180,-49.3,-7.09,7.4
"NRS18_IA_10011","1",114920,-52.99,-8.13,12.07
"NRS18_IA_10011","2",129260,-51.85,-8.15,13.36
"NRS18_IA_10012","1",133940,-51.61,-7.62,9.38
"NRS18_IA_10012","2",135680,-52.24,-7.58,8.43
"NRS18_IA_10015","1",129160,-45.99,-7.65,15.17
"NRS18_IA_10016","1",108620,-37.51,-6.26,12.6
"NRS18_IA_10017","1",126780,-52.94,-8.2,12.68
"NRS18_IA_10018","1",122280,-49.41,-7.76,12.65
"NRS18_IA_10019","1",897280,-51.5,-7.53,8.7
"NRS18_IA_10020","1",114940,-46.97,-7.65,14.22
"NRS18_IA_10024","1",110740,-40.06,-6.42,11.27
"NRS18_IA_10025","1",129100,-49.96,-7.75,12.03
"NRS18_IA_10027","1",131200,-54.25,-8.06,10.27
"NRS18_IA_10028","1",129120,-49.09,-7.43,10.33
"NRS18_IA_10031","1",126840,-47.4,-7.73,14.44
"NRS18_IA_10032","1",133960,-47.88,-7.53,12.38
"NRS18_IA_10033","1",126820,-50.91,-7.97,12.88
"NRS18_IA_10034","1",111840,-55.73,-8.29,10.57
"NRS18_IA_10035","1",897220,-50.48,-7.61,10.42
"NRS18_IA_10042","1",898780,-50.32,-7.44,9.24
"NRS18_IA_10046","1",114880,-50.73,-7.94,12.83
"NRS18_IA_10048","1",129140,-33.78,-5.14,7.31
"NRS18_IA_10206","1",114900,-51.53,-8.15,13.71
"NRS18_IA_10356","1",129180,-40.84,-6.27,9.34
"NRS18_IA_10358","1",126800,-45.7,-7.49,14.19
"NRS18_IA_10507","1",136920,-57.77,-8.94,13.73
"NRS18_IA_10656","1",884940,-47.98,-7.55,12.45
"NRS18_IA_10658","1",115860,-35.34,-5.73,10.47
"NRS18_IA_10659","1",131160,-48.83,-7.01,7.23
"NRS18_IA_RF001","1",884860,-29.72,-4.08,2.95
"NRS18_IA_RF002","1",116520,-58.75,-9.12,14.23
"NRS18_IA_RF003","1",116720,-54.12,-8.24,11.84
"NRS18_ID_10001","1",100360,-124.03,-16.39,7.07
"NRS18_ID_10001","2",100200,-123.74,-16.61,9.15
"NRS18_ID_10002","1",119360,-124.9,-16.11,4.01
"NRS18_ID_10002","2",128620,-127.26,-16.58,5.41
"NRS18_ID_10003","1",101980,-123.92,-16.82,10.62
"NRS18_ID_10006","1",134560,-136.14,-17.51,3.93
"NRS18_ID_10007","1",130120,-130.62,-17.59,10.08
"NRS18_ID_10008","1",899760,-123.05,-16.7,10.56
"NRS18_ID_10009","1",123660,-117.7,-15.65,7.53
"NRS18_ID_10010","1",101720,-135.31,-17.31,3.18
"NRS18_ID_10011","1",890580,-109.28,-14.5,6.74
"NRS18_ID_10012","1",899780,-117.26,-15.53,7.01
"NRS18_ID_10013","1",134660,-132.49,-16.59,0.25
"NRS18_ID_10014","1",134780,-132.52,-17.82,10.08
"NRS18_ID_10015","1",890680,-128.09,-17.03,8.15
"NRS18_ID_10015","2",128720,-127.68,-17.19,9.86
"NRS18_ID_10016","1",899740,-130.04,-16.88,5.02
"NRS18_ID_10016","2",100240,-129.52,-16.92,5.8
"NRS18_ID_10018","1",120240,-123.91,-16.71,9.79
"NRS18_ID_10019","1",100380,-119.96,-16.3,10.42
"NRS18_ID_10020","1",119480,-125.27,-17.02,10.93
"NRS18_ID_10021","1",101780,-108.08,-14.54,8.21
"NRS18_ID_10022","1",894820,-135.21,-17.89,7.95
"NRS18_ID_10023","1",890600,-111.85,-14.47,3.95
"NRS18_ID_10024","1",129880,-127.8,-17.05,8.58
"NRS18_ID_10025","1",120220,-122.82,-16.37,8.15
"NRS18_ID_10026","1",890520,-134.46,-17.59,6.26
"NRS18_ID_10027","1",124980,-117.4,-15.62,7.55
"NRS18_ID_10028","1",890560,-132.9,-17.31,5.54
"NRS18_ID_10035","1",890280,-121.78,-16.18,7.63
"NRS18_ID_10036","1",124940,-130.85,-17.42,8.49
"NRS18_ID_10037","1",134460,-128.51,-17.1,8.3
"NRS18_ID_10041","1",123640,-116.83,-15.68,8.64
"NRS18_ID_10042","1",104820,-128.12,-16.76,5.93
"NRS18_ID_10049","1",894880,-111.03,-14.33,3.63
"NRS18_ID_10053","1",120280,-132.75,-17.87,10.17
"NRS18_ID_10056","1",129940,-131.13,-18.08,13.51
"NRS18_ID_10057","1",894900,-122.77,-16.48,9.04
"NRS18_ID_10080","1",890260,-122.68,-16.22,7.05
"NRS18_ID_10095","1",894840,-121.19,-16.26,8.92
"NRS18_ID_10110","1",134740,-110.61,-15.14,10.52
"NRS18_ID_10117","1",129960,-130.75,-17.18,6.68
"NRS18_ID_10120","1",134540,-134.61,-18.33,12.01
"NRS18_ID_10245","1",102040,-122.55,-16.36,8.36
"NRS18_ID_10280","1",102060,-108.65,-14.71,8.99
"NRS18_ID_10542","1",119500,-116.58,-15.68,8.86
"NRS18_ID_10547","1",134640,-109.82,-14.69,7.66
"NRS18_ID_10842","1",102000,-121.81,-15.69,3.75
"NRS18_ID_10843","1",129980,-121,-16.26,9.1
"NRS18_ID_10847","1",890540,-119.34,-15.41,3.94
"NRS18_ID_10992","1",102020,-134.45,-17.52,5.73
"NRS18_ID_11142","1",128640,-134.81,-17.65,6.4
"NRS18_IL_10001","1",889500,-38.02,-6.35,12.8
"NRS18_IL_10001","2",896840,-33.2,-5.6,11.59
"NRS18_IL_10002","1",898720,-39.26,-6.46,12.44
"NRS18_IL_10002","2",102360,-38,-5.41,5.31
"NRS18_IL_10003","1",889520,-36.16,-6.07,12.36
"NRS18_IL_10004","1",104040,-31.2,-5.13,9.82
"NRS18_IL_10005","1",896560,-45.56,-6.65,7.65
"NRS18_IL_10008","1",894680,-60.36,-7.98,3.48
"NRS18_IL_10009","1",889360,-50.61,-7.42,8.78
"NRS18_IL_10010","1",108360,-37.19,-5.32,5.37
"NRS18_IL_10011","1",100980,-50.19,-7.93,13.21
"NRS18_IL_10012","1",897240,-44.13,-6.78,10.13
"NRS18_IL_10013","1",889440,-21.45,-3.97,10.29
"NRS18_IL_10013","2",104580,-25.96,-4.5,10.01
"NRS18_IL_10014","1",114860,-48.5,-7.17,8.83
"NRS18_IL_10014","2",129240,-41.74,-6.31,8.73
"NRS18_IL_10015","1",896600,-42.42,-6.78,11.79
"NRS18_IL_10016","1",104540,-31.59,-5.67,13.75
"NRS18_IL_10017","1",895200,-48.75,-7.74,13.14
"NRS18_IL_10019","1",896220,-25.27,-3.58,3.4
"NRS18_IL_10020","1",896400,-42.41,-6.78,11.82
"NRS18_IL_10021","1",108640,-42.72,-6.77,11.45
"NRS18_IL_10022","1",107760,-32.02,-5.21,9.66
"NRS18_IL_10023","1",111260,-44.42,-7.02,11.72
"NRS18_IL_10024","1",897260,-43.5,-6.84,11.19
"NRS18_IL_10025","1",101940,-24.87,-0.16,-23.59
"NRS18_IL_10026","1",104480,-24.72,-3.95,6.9
"NRS18_IL_10027","1",104560,-27.87,-5.19,13.62
"NRS18_IL_10030","1",889460,-23.1,-4.46,12.59
"NRS18_IL_10031","1",106560,-27.13,-4.24,6.75
"NRS18_IL_10033","1",104060,-36.42,-5.39,6.74
"NRS18_IL_10035","1",111780,-43.36,-6.88,11.64
"NRS18_IL_10036","1",106460,-29.43,-4.68,7.98
"NRS18_IL_10037","1",887340,-26.61,-4.29,7.74
"NRS18_IL_10040","1",107780,-33.63,-5.22,8.14
"NRS18_IL_10041","1",896240,-41.08,-6.86,13.77
"NRS18_IL_10042","1",106600,-45.3,-7.05,11.13
"NRS18_IL_10044","1",104500,-22.57,-3.77,7.59
"NRS18_IL_10054","1",898840,-36.71,-6.44,14.81
"NRS18_IL_10363","1",889380,-37.93,-6.8,16.46
"NRS18_IL_10364","1",889420,-40.71,-6.2,8.87
"NRS18_IL_10366","1",889480,-43.53,-7.4,15.7
"NRS18_IL_10514","1",889400,-46.45,-7.38,12.62
"NRS18_IL_10968","1",111300,-40.11,-6.44,11.43
"NRS18_IL_10971","1",896580,-37.1,-5.89,10.03
"NRS18_IL_11563","1",886700,-24.86,-3.42,2.47
"NRS18_IL_11565","1",107400,-34.75,-4.63,2.31
"NRS18_IL_11715","1",136900,-46.07,-7.5,13.96
"NRS18_IN_10001","1",898580,-40.5,-6.01,7.56
"NRS18_IN_10001","2",103800,-28.9,-5.19,12.62
"NRS18_IN_10002","1",124080,-38.67,-6.05,9.75
"NRS18_IN_10002","2",133560,-38.8,-6.01,9.32
"NRS18_IN_10003","1",103600,-30.76,-4.91,8.48
"NRS18_IN_10005","1",103820,-42.29,-6.65,10.91
"NRS18_IN_10006","1",124040,-48.33,-7.12,8.6
"NRS18_IN_10007","1",124160,-37.22,-6.21,12.45
"NRS18_IN_10008","1",898500,-48.4,-7.32,10.13
"NRS18_IN_10008","2",103840,-48.04,-7.43,11.4
"NRS18_IN_10009","1",124000,-40.45,-6.4,10.78
"NRS18_IN_10009","2",133740,-41.05,-6.47,10.68
"NRS18_IN_10010","1",103640,-42.14,-6.86,12.71
"NRS18_IN_10012","1",133720,-36.25,-5.62,8.71
"NRS18_IN_10013","1",103660,-41.39,-6.38,9.61
"NRS18_IN_10014","1",124020,-44.54,-7.21,13.15
"NRS18_IN_10015","1",124900,-39.47,-6.44,12.08
"NRS18_IN_10017","1",124120,-47.51,-7.43,11.94
"NRS18_IN_10019","1",134220,-38.3,-6.24,11.59
"NRS18_IN_10021","1",898460,-48.18,-7.85,14.61
"NRS18_IN_10025","1",899020,-48.32,-7.43,11.08
"NRS18_IN_10026","1",898560,-49.97,-8.16,15.31
"NRS18_IN_10027","1",124060,-37.18,-5.97,10.56
"NRS18_IN_10028","1",133580,-32.27,-4.98,7.56
"NRS18_IN_10030","1",113140,-45.16,-6.57,7.36
"NRS18_IN_10032","1",123960,-36.51,-5.96,11.17
"NRS18_IN_10033","1",113160,-48.39,-7.22,9.37
"NRS18_IN_10036","1",133680,-44.24,-7.01,11.85
"NRS18_IN_10040","1",133660,-33.05,-5.5,10.92
"NRS18_IN_10046","1",124140,-39,-6.68,14.41
"NRS18_IN_10053","1",898480,-34.73,-5.28,7.48
"NRS18_IN_10347","1",898540,-47.9,-7.68,13.52
"NRS18_IN_10498","1",898520,-33.41,-5.26,8.63
