"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_UNITS","ANC_RESULT","ANC_UNITS","CALCIUM_RESULT","CALCIUM_UNITS","CHLORIDE_RESULT","CHLORIDE_UNITS","COLOR_RESULT","COLOR_UNITS","COND_RESULT","COND_UNITS","DOC_RESULT","DOC_UNITS","MAGNESIUM_RESULT","MAGNESIUM_UNITS","NITRATE_N_RESULT","NITRATE_N_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_UNITS","NITRITE_N_RESULT","NITRITE_N_UNITS","NTL_RESULT","NTL_UNITS","PH_RESULT","PH_UNITS","POTASSIUM_RESULT","POTASSIUM_UNITS","PTL_RESULT","PTL_UNITS","SILICA_RESULT","SILICA_UNITS","SODIUM_RESULT","SODIUM_UNITS","SULFATE_RESULT","SULFATE_UNITS","TSS_RESULT","TSS_UNITS","TURB_RESULT","TURB_UNITS"
"NRS18_VA_RF008",1,0.026,"mg N/L",366.46,"uEQ/L",4.611,"mg/L",4.827,"mg/L",89,"APHA PT-CO",64.8,"uS/cm at 25 C",11.13,"mg/L",1.93,"mg/L",0.1581,"mg N/L",NA,"","7.00E-04","mg N/L",0.653,"mg N/L",7.36,"Std. Units",2.186,"mg/L",66.469,"ug/L",14.062,"mg/L",4.432,"mg/L",1.954,"mg/L","7.2","mg/L",10.68,"NTU"
"NRS18_VA_10021",1,0.028,"mg N/L",342.96,"uEQ/L",4.591,"mg/L",4.781,"mg/L",87,"APHA PT-CO",63.4,"uS/cm at 25 C",11.16,"mg/L",1.844,"mg/L",0.1509,"mg N/L",NA,"","8.00E-04","mg N/L",0.639,"mg N/L",7.31,"Std. Units",2.178,"mg/L",68.033,"ug/L",13.914,"mg/L",4.301,"mg/L",1.963,"mg/L","7.9","mg/L",11.64,"NTU"
"NRS18_GA_10025",1,0.009,"mg N/L",1688.69,"uEQ/L",30.604,"mg/L",2.689,"mg/L",5,"APHA PT-CO",183.9,"uS/cm at 25 C",1.54,"mg/L",3.261,"mg/L",0.0698,"mg N/L",NA,"","2.00E-04","mg N/L",0.213,"mg N/L",8.12,"Std. Units",1.162,"mg/L",11.348,"ug/L",7.857,"mg/L",2.496,"mg/L",3.205,"mg/L","1.6","mg/L",2.42,"NTU"
"NRS18_WY_11306",1,0.03,"mg N/L",3538.12,"uEQ/L",49.462,"mg/L",18.623,"mg/L",98,"APHA PT-CO",1182.4,"uS/cm at 25 C",13.44,"mg/L",29.879,"mg/L",0.0472,"mg N/L",NA,"","9.00E-04","mg N/L",1.524,"mg N/L",8.09,"Std. Units",11.924,"mg/L",182.219,"ug/L",12.661,"mg/L",150.19,"mg/L",392.538,"mg/L","671.8","mg/L",850,"NTU"
"NRS18_MI_10001",1,0.441,"mg N/L",6652.22,"uEQ/L",102.441,"mg/L",24.66,"mg/L",27,"APHA PT-CO",772.7,"uS/cm at 25 C",4.36,"mg/L",33.103,"mg/L",0.7382,"mg N/L",NA,"","0.0024","mg N/L",1.938,"mg N/L",8.33,"Std. Units",4.145,"mg/L",89.688,"ug/L",12.625,"mg/L",11.783,"mg/L",57.788,"mg/L","9.2","mg/L",6.72,"NTU"
"NRS18_TX_10034",1,0.064,"mg N/L",1564.48,"uEQ/L",13.086,"mg/L",27.052,"mg/L",29,"APHA PT-CO",313.3,"uS/cm at 25 C",5.72,"mg/L",5.593,"mg/L",0.2357,"mg N/L",NA,"","2.00E-04","mg N/L",0.806,"mg N/L",7.95,"Std. Units",6.657,"mg/L",188.408,"ug/L",8.92,"mg/L",38.645,"mg/L",25.65,"mg/L","29.7","mg/L",32.01,"NTU"
"NRS18_WY_10035",1,0.01,"mg N/L",2571.64,"uEQ/L",45.567,"mg/L",6.658,"mg/L",11,"APHA PT-CO",450.1,"uS/cm at 25 C",4.95,"mg/L",13.205,"mg/L",NA,"",NA,"","","",0.416,"mg N/L",7.99,"Std. Units",3.065,"mg/L",46.296,"ug/L",4.23,"mg/L",25.992,"mg/L",84.704,"mg/L","30.9","mg/L",21.55,"NTU"
"NRS18_WY_11896",1,0.012,"mg N/L",2901.3,"uEQ/L",55.665,"mg/L",11.86,"mg/L",15,"APHA PT-CO",612.2,"uS/cm at 25 C",5.06,"mg/L",18.691,"mg/L",0.0084,"mg N/L",NA,"","","",0.395,"mg N/L",8.4,"Std. Units",3.652,"mg/L",30.871,"ug/L",4.423,"mg/L",44.521,"mg/L",142.952,"mg/L","0.2","mg/L",8.57,"NTU"
"NRS18_WY_11908",1,0.015,"mg N/L",2890.69,"uEQ/L",55.475,"mg/L",11.703,"mg/L",18,"APHA PT-CO",600.1,"uS/cm at 25 C",5.07,"mg/L",18.664,"mg/L",0.0052,"mg N/L",NA,"","","",0.456,"mg N/L",8.59,"Std. Units",3.636,"mg/L",35.931,"ug/L",4.376,"mg/L",44.514,"mg/L",142.605,"mg/L","11.3","mg/L",10.21,"NTU"
"NRS18_CT_10002",2,0.028,"mg N/L",508.68,"uEQ/L",11.281,"mg/L",35.268,"mg/L",34,"APHA PT-CO",195.9,"uS/cm at 25 C",4.03,"mg/L",2.7,"mg/L",0.3759,"mg N/L",NA,"","7.00E-04","mg N/L",0.694,"mg N/L",7.66,"Std. Units",1.58,"mg/L",51.439,"ug/L",7.046,"mg/L",20.714,"mg/L",5.728,"mg/L","3","mg/L",2.77,"NTU"
"NRS18_ID_10011",1,0.005,"mg N/L",375.39,"uEQ/L",5.487,"mg/L",1.697,"mg/L",4,"APHA PT-CO",52.6,"uS/cm at 25 C",1.29,"mg/L",1.549,"mg/L",0.1617,"mg N/L",NA,"","0.001","mg N/L",0.295,"mg N/L",7.7,"Std. Units",0.759,"mg/L",4.024,"ug/L",8.662,"mg/L",2.075,"mg/L",2.456,"mg/L","1.2","mg/L",0.92,"NTU"
