"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_UNITS","ANC_RESULT","ANC_UNITS","CALCIUM_RESULT","CALCIUM_UNITS","CHLORIDE_RESULT","CHLORIDE_UNITS","COLOR_RESULT","COLOR_UNITS","COND_RESULT","COND_UNITS","DOC_RESULT","DOC_UNITS","MAGNESIUM_RESULT","MAGNESIUM_UNITS","NITRATE_N_RESULT","NITRATE_N_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_UNITS","NITRITE_N_RESULT","NITRITE_N_UNITS","NTL_RESULT","NTL_UNITS","PH_RESULT","PH_UNITS","POTASSIUM_RESULT","POTASSIUM_UNITS","PTL_RESULT","PTL_UNITS","SILICA_RESULT","SILICA_UNITS","SODIUM_RESULT","SODIUM_UNITS","SULFATE_RESULT","SULFATE_UNITS","TSS_RESULT","TSS_UNITS","TURB_RESULT","TURB_UNITS"
"NRS18_OK_10062",1,NA,"",6380,"uEQ/L",65.2,"mg/L",24.5,"mg/L",60,"APHA PT-CO",632,"uS/cm",5.49,"mg/L",12.3,"mg/L",1.57,"mg N/L",NA,"","0.01","mg N/L",3.24,"mg N/L",8.06,"Std. Units",2.32,"mg/L",223,"ug/L",30.5,"mg/L",55.9,"mg/L",20.4,"mg/L","264","mg/L",123,"NTU"
"NRS18_OK_10431",1,0.099,"mg N/L",3270,"uEQ/L",92.1,"mg/L",5.7,"mg/L",20,"APHA PT-CO",959,"uS/cm",4.45,"mg/L",39.4,"mg/L",0.133,"mg N/L",NA,"","0.024","mg N/L",0.257,"mg N/L",7.84,"Std. Units",4.53,"mg/L",55,"ug/L",6.65,"mg/L",23.7,"mg/L",365,"mg/L","23","mg/L",15.8,"NTU"
"NRS18_OK_10025",1,NA,"",5130,"uEQ/L",43.5,"mg/L",5.7,"mg/L",28,"APHA PT-CO",450,"uS/cm",2.18,"mg/L",28.1,"mg/L",0.033,"mg N/L",NA,"","","",0.305,"mg N/L",8.42,"Std. Units",1.76,"mg/L",50,"ug/L",8.65,"mg/L",6.55,"mg/L",8.2,"mg/L","18","mg/L",15.6,"NTU"
"NRS18_WI_10091",1,0.0454,"mg N/L",NA,"",86,"mg/L",36,"mg/L",20,"APHA PT-CO",NA,"",3.52,"mg/L",43.8,"mg/L",7.93,"mg N/L",7.95,"mg N/L","","",8.62,"mg N/L",NA,"",5.19,"mg/L",199,"ug/L",15.8,"mg/L",9.64,"mg/L",22.2,"mg/L","8","mg/L",7.68,"NTU"
"NRS18_WI_10006",1,0.0183,"mg N/L",2460,"uEQ/L",29.8,"mg/L",4.03,"mg/L",30,"APHA PT-CO",267,"uS/cm",4.88,"mg/L",14.1,"mg/L",NA,"",0.0922,"mg N/L","","",0.278,"mg N/L",8.17,"Std. Units",1.25,"mg/L",17.9,"ug/L",10.8,"mg/L",3.06,"mg/L",7.23,"mg/L","","",2.29,"NTU"
"NRS18_OK_10001",2,NA,"",6880,"uEQ/L",34.5,"mg/L",14.4,"mg/L",20,"APHA PT-CO",606,"uS/cm",5.93,"mg/L",34.6,"mg/L",0.071,"mg N/L",NA,"","0.028","mg N/L",0.609,"mg N/L",8.54,"Std. Units",3.8,"mg/L",54,"ug/L",13.3,"mg/L",39.3,"mg/L",10.3,"mg/L","<5.0","mg/L",9.4,"NTU"
"NRS18_OK_11085",1,NA,"",7130,"uEQ/L",66.8,"mg/L",217,"mg/L",49,"APHA PT-CO",1500,"uS/cm",3.54,"mg/L",32.9,"mg/L",0.144,"mg N/L",NA,"","0.031","mg N/L",1.175,"mg N/L",8.53,"Std. Units",8.35,"mg/L",249,"ug/L",10.4,"mg/L",191,"mg/L",142,"mg/L","16","mg/L",18.7,"NTU"
"NRS18_WI_10053",1,0.0462,"mg N/L",1606,"uEQ/L",24,"mg/L",5.82,"mg/L",25,"APHA PT-CO",204,"uS/cm",3.06,"mg/L",9.13,"mg/L",1.39,"mg N/L",1.41,"mg N/L","","",1.96,"mg N/L",8.03,"Std. Units",1.54,"mg/L",140,"ug/L",23.5,"mg/L",6.21,"mg/L",4.94,"mg/L","12.3","mg/L",14.5,"NTU"
"NRS18_OK_10053",1,0.02,"mg N/L",3320,"uEQ/L",212,"mg/L",5220,"mg/L",25,"APHA PT-CO",16000,"uS/cm",0.8,"mg/L",72.5,"mg/L",0.0637,"mg N/L",NA,"","0.002","mg N/L",0.9557,"mg N/L",8.59,"Std. Units",10.7,"mg/L",84,"ug/L",10.2,"mg/L",3120,"mg/L",639,"mg/L","40","mg/L",15.6,"NTU"
"NRS18_OK_10050",2,NA,"",3190,"uEQ/L",66.5,"mg/L",508,"mg/L",15,"APHA PT-CO",2380,"uS/cm",1.02,"mg/L",37.7,"mg/L",0.087,"mg N/L",NA,"","0.002","mg N/L",0.379,"mg N/L",8.57,"Std. Units",5.66,"mg/L",5,"ug/L",11.7,"mg/L",340,"mg/L",260,"mg/L","<5.0","mg/L",5.5,"NTU"
"NRS18_WI_10036",1,0.0379,"mg N/L",882,"uEQ/L",22.7,"mg/L",16.9,"mg/L",40,"APHA PT-CO",217,"uS/cm",4.14,"mg/L",7.19,"mg/L",4.66,"mg N/L",4.68,"mg N/L","","",5.68,"mg N/L",7.27,"Std. Units",3.54,"mg/L",659,"ug/L",13.3,"mg/L",5.94,"mg/L",14.3,"mg/L","23.3","mg/L",18.2,"NTU"
"NRS18_WI_10038",1,NA,"",4900,"uEQ/L",74.3,"mg/L",7.48,"mg/L",15,"APHA PT-CO",555,"uS/cm",1.84,"mg/L",30.7,"mg/L",2.57,"mg N/L",2.58,"mg N/L","","",2.98,"mg N/L",8.1,"Std. Units",1.53,"mg/L",34,"ug/L",12.9,"mg/L",3.97,"mg/L",29.6,"mg/L","","",3.39,"NTU"
"NRS18_WI_10019",1,0.0262,"mg N/L",2480,"uEQ/L",49.7,"mg/L",23.3,"mg/L",15,"APHA PT-CO",421,"uS/cm",2.07,"mg/L",18.2,"mg/L",9.77,"mg N/L",9.8,"mg N/L","","",10.1,"mg N/L",8.03,"Std. Units",3.8,"mg/L",296,"ug/L",16.6,"mg/L",6.03,"mg/L",17.9,"mg/L","29.8","mg/L",15.8,"NTU"
"NRS18_NC_10014",1,0.01,"mg N/L",NA,"",5.3,"mg/L",3.9,"mg/L",14,"APHA PT-CO",70.8,"uS/cm at 25 C",1.6,"mg/L",1.8,"mg/L",NA,"",0.73,"mg N/L","0.002","mg N/L",1,"mg N/L",7.63,"Std. Units",1.6,"mg/L",54,"ug/L",16.7,"mg/L",4.8,"mg/L",2.7,"mg/L","18.8","mg/L",11,"NTU"
"NRS18_OK_10023",1,NA,"",1540,"uEQ/L",9.26,"mg/L",4.69,"mg/L",32,"APHA PT-CO",262,"uS/cm",5.67,"mg/L",7.53,"mg/L",0.067,"mg N/L",NA,"","0.028","mg N/L",0.715,"mg N/L",7.83,"Std. Units",3.51,"mg/L",79,"ug/L",5.34,"mg/L",32.3,"mg/L",49.5,"mg/L","15","mg/L",15.2,"NTU"
"NRS18_OK_10029",1,NA,"",3320,"uEQ/L",84.5,"mg/L",286,"mg/L",10,"APHA PT-CO",1540,"uS/cm",1.87,"mg/L",28.1,"mg/L",0.072,"mg N/L",NA,"","0.002","mg N/L",0.744,"mg N/L",8.29,"Std. Units",6,"mg/L",71,"ug/L",6.14,"mg/L",185,"mg/L",205,"mg/L","26","mg/L",17.7,"NTU"
"NRS18_OK_10018",1,NA,"",1400,"uEQ/L",19,"mg/L",11.6,"mg/L",30,"APHA PT-CO",182,"uS/cm",6.47,"mg/L",4.44,"mg/L",0.056,"mg N/L",NA,"","0.002","mg N/L",0.758,"mg N/L",7.31,"Std. Units",3.76,"mg/L",30,"ug/L",4.69,"mg/L",7.03,"mg/L",3.55,"mg/L","8","mg/L",12.5,"NTU"
"NRS18_OK_10022",2,0.032,"mg N/L",283,"uEQ/L",2.67,"mg/L",1.5,"mg/L",25,"APHA PT-CO",41.4,"uS/cm",4.16,"mg/L",1.62,"mg/L",0.073,"mg N/L",NA,"","0.025","mg N/L",0.438,"mg N/L",6.86,"Std. Units",1.24,"mg/L",27,"ug/L",6.32,"mg/L",3.03,"mg/L",2.77,"mg/L","<5.0","mg/L",2.8,"NTU"
"NRS18_DE_10002",1,0.081,"mg N/L",1197.24,"uEQ/L",27.804,"mg/L",76.994,"mg/L",18,"APHA PT-CO",444,"uS/cm at 25 C",3.28,"mg/L",10.408,"mg/L",1.8909,"mg N/L",NA,"","0.0029","mg N/L",2.319,"mg N/L",7.93,"Std. Units",4.861,"mg/L",83.188,"ug/L",9.59,"mg/L",37.866,"mg/L",18.532,"mg/L","7.8","mg/L",12.65,"NTU"
"NRS18_OK_10003",1,NA,"",2680,"uEQ/L",30.4,"mg/L",63.4,"mg/L",30,"APHA PT-CO",473,"uS/cm",5.58,"mg/L",16.5,"mg/L",0.057,"mg N/L",NA,"","0.025","mg N/L",0.482,"mg N/L",7.19,"Std. Units",3.67,"mg/L",25,"ug/L",9.47,"mg/L",28.5,"mg/L",6.59,"mg/L","14","mg/L",0.3,"NTU"
"NRS18_OK_10830",1,NA,"",242,"uEQ/L",1.65,"mg/L",1.5,"mg/L",1,"APHA PT-CO",33.4,"uS/cm",1.72,"mg/L",1.24,"mg/L",0.07,"mg N/L",NA,"","","",0.232,"mg N/L",7.85,"Std. Units",0.97,"mg/L",15,"ug/L",7.19,"mg/L",2.71,"mg/L",1.67,"mg/L","6","mg/L",0.5,"NTU"
"NRS18_OK_10034",1,NA,"",336,"uEQ/L",2.34,"mg/L",1.5,"mg/L",25,"APHA PT-CO",49.6,"uS/cm",5.17,"mg/L",1.82,"mg/L",0.052,"mg N/L",NA,"","0.002","mg N/L",0.534,"mg N/L",7.02,"Std. Units",1.66,"mg/L",58,"ug/L",8.69,"mg/L",3.89,"mg/L",3.38,"mg/L","13","mg/L",1,"NTU"
"NRS18_DE_10002",2,0.061,"mg N/L",1033.94,"uEQ/L",18.073,"mg/L",22.83,"mg/L",71,"APHA PT-CO",222.8,"uS/cm at 25 C",7.87,"mg/L",6.524,"mg/L",1.4217,"mg N/L",NA,"","0.0053","mg N/L",2.375,"mg N/L",7.9,"Std. Units",8.829,"mg/L",291.831,"ug/L",10.087,"mg/L",10.783,"mg/L",11.802,"mg/L","48.9","mg/L",45.19,"NTU"
"NRS18_OK_11422",1,0.0294,"mg N/L",3530,"uEQ/L",44.7,"mg/L",8.54,"mg/L",55,"APHA PT-CO",378,"uS/cm",5.55,"mg/L",8.69,"mg/L",0.7,"mg N/L",NA,"","0.056","mg N/L",1.72,"mg N/L",7.93,"Std. Units",4.07,"mg/L",188,"ug/L",17.6,"mg/L",13.2,"mg/L",7.35,"mg/L","16","mg/L",14,"NTU"
"NRS18_OK_10340",1,NA,"",1990,"uEQ/L",35,"mg/L",5.1,"mg/L",31,"APHA PT-CO",253,"uS/cm",3.98,"mg/L",5.18,"mg/L",0.22,"mg N/L",NA,"","","",0.75,"mg N/L",8.07,"Std. Units",3.09,"mg/L",73,"ug/L",6.04,"mg/L",5.64,"mg/L",15.7,"mg/L","10","mg/L",13.1,"NTU"
"NRS18_KS_10098",1,0.064,"mg N/L",7130,"uEQ/L",226.829,"mg/L",138.944,"mg/L",36,"APHA PT-CO",1716.7,"uS/cm at 25 C",11.56,"mg/L",48.891,"mg/L",NA,"",NA,"","","",1.219,"mg N/L",8.24,"Std. Units",16.42,"mg/L",830.475,"ug/L",32.925,"mg/L",95.402,"mg/L",389.023,"mg/L","20.2","mg/L",9.59,"NTU"
"NRS18_KS_10086",1,0.012,"mg N/L",5832.1,"uEQ/L",65.913,"mg/L",25.728,"mg/L",38,"APHA PT-CO",782.9,"uS/cm at 25 C",6.82,"mg/L",25.025,"mg/L",NA,"",NA,"","","",0.633,"mg N/L",8.63,"Std. Units",10.954,"mg/L",33.985,"ug/L",26.751,"mg/L",73.688,"mg/L",77.782,"mg/L","2.8","mg/L",2.74,"NTU"
"NRS18_OH_10050",1,0.041,"mg N/L",4738.41,"uEQ/L",77.261,"mg/L",28.898,"mg/L",4,"APHA PT-CO",646.9,"uS/cm at 25 C",3.28,"mg/L",30.243,"mg/L",5.7451,"mg N/L",NA,"","","",6.219,"mg N/L",8.34,"Std. Units",2.575,"mg/L",129.598,"ug/L",8.357,"mg/L",13.974,"mg/L",34.311,"mg/L","15.9","mg/L",14.47,"NTU"
"NRS18_KS_10103",1,0.306,"mg N/L",5671.23,"uEQ/L",622.156,"mg/L",30.429,"mg/L",3,"APHA PT-CO",2690.8,"uS/cm at 25 C",3.19,"mg/L",82.797,"mg/L",0.6754,"mg N/L",NA,"","0.0958","mg N/L",1.319,"mg N/L",8.03,"Std. Units",5.512,"mg/L",198.764,"ug/L",32.287,"mg/L",45.393,"mg/L",1298.923,"mg/L","10.9","mg/L",6.26,"NTU"
"NRS18_OH_10023",1,0.021,"mg N/L",5170.66,"uEQ/L",105.092,"mg/L",97.424,"mg/L",3,"APHA PT-CO",919.9,"uS/cm at 25 C",3.76,"mg/L",18.955,"mg/L",0.7494,"mg N/L",NA,"","","",1.155,"mg N/L",8.23,"Std. Units",3.034,"mg/L",223.221,"ug/L",8.758,"mg/L",63.749,"mg/L",57.317,"mg/L","13.8","mg/L",12.06,"NTU"
"NRS18_KY_10006",1,0.075,"mg N/L",4478.48,"uEQ/L",87.464,"mg/L",13.487,"mg/L",3,"APHA PT-CO",535.8,"uS/cm at 25 C",2.66,"mg/L",10.818,"mg/L",0.6305,"mg N/L",NA,"","","",1.13,"mg N/L",8.09,"Std. Units",5.102,"mg/L",202.514,"ug/L",8.59,"mg/L",8.305,"mg/L",31.264,"mg/L","26.7","mg/L",23.63,"NTU"
"NRS18_TX_10016",1,2.69,"mg N/L",3160.01,"uEQ/L",56.762,"mg/L",117.217,"mg/L",12,"APHA PT-CO",827.6,"uS/cm at 25 C",5.8,"mg/L",7.252,"mg/L",0.4145,"mg N/L",NA,"","0.0349","mg N/L",4.532,"mg N/L",7.75,"Std. Units",13.705,"mg/L",3922.25,"ug/L",30.996,"mg/L",105.725,"mg/L",62.582,"mg/L","9.5","mg/L",4.4,"NTU"
"NRS18_OH_10014",1,0.029,"mg N/L",4012.42,"uEQ/L",76.288,"mg/L",20.053,"mg/L",13,"APHA PT-CO",513.3,"uS/cm at 25 C",4.27,"mg/L",16.383,"mg/L",4.0682,"mg N/L",NA,"","0.0017","mg N/L",4.588,"mg N/L",8.43,"Std. Units",0.832,"mg/L",29.639,"ug/L",4.759,"mg/L",9.277,"mg/L",28.136,"mg/L","6.9","mg/L",9.78,"NTU"
"NRS18_KS_10100",1,0.408,"mg N/L",1912.8,"uEQ/L",41.869,"mg/L",13.126,"mg/L",14,"APHA PT-CO",320,"uS/cm at 25 C",2.31,"mg/L",5.431,"mg/L",7.6128,"mg N/L",NA,"","0.1578","mg N/L",8.378,"mg N/L",8,"Std. Units",2.25,"mg/L",130.014,"ug/L",26.311,"mg/L",15.34,"mg/L",9.319,"mg/L","10.8","mg/L",6.35,"NTU"
"NRS18_MI_10033",1,0.217,"mg N/L",6168.26,"uEQ/L",91.297,"mg/L",42.484,"mg/L",19,"APHA PT-CO",761.3,"uS/cm at 25 C",5.52,"mg/L",33.446,"mg/L",0.3869,"mg N/L",NA,"","","",1.168,"mg N/L",8.08,"Std. Units",2.559,"mg/L",57.139,"ug/L",8.583,"mg/L",27.995,"mg/L",44.55,"mg/L","3.7","mg/L",10.55,"NTU"
"NRS18_PA_10004",1,0.008,"mg N/L",240.53,"uEQ/L",4.757,"mg/L",0.478,"mg/L",2,"APHA PT-CO",40.5,"uS/cm at 25 C",0.86,"mg/L",1.005,"mg/L",0.1001,"mg N/L",NA,"","","",0.169,"mg N/L",7.35,"Std. Units",0.703,"mg/L",13.139,"ug/L",4.732,"mg/L",0.943,"mg/L",6.147,"mg/L","1.5","mg/L",1.76,"NTU"
"NRS18_IL_10363",1,0.034,"mg N/L",4665.02,"uEQ/L",73.19,"mg/L",34.149,"mg/L",2,"APHA PT-CO",630.8,"uS/cm at 25 C",1.37,"mg/L",32.539,"mg/L",11.6011,"mg N/L",NA,"","","",11.664,"mg N/L",8.29,"Std. Units",0.691,"mg/L",24.389,"ug/L",9.271,"mg/L",11.035,"mg/L",8.866,"mg/L","3.9","mg/L",4.05,"NTU"
"NRS18_GA_10003",1,0.034,"mg N/L",412.49,"uEQ/L",5.512,"mg/L",2.649,"mg/L",15,"APHA PT-CO",53.7,"uS/cm at 25 C",3.2,"mg/L",1.04,"mg/L",0.1339,"mg N/L",NA,"","8.00E-04","mg N/L",0.339,"mg N/L",6.99,"Std. Units",0.974,"mg/L",46.764,"ug/L",12.859,"mg/L",3.558,"mg/L",1.182,"mg/L","3","mg/L",4.22,"NTU"
"NRS18_OH_10029",1,0.053,"mg N/L",3973.16,"uEQ/L",77.234,"mg/L",54.964,"mg/L",23,"APHA PT-CO",649.9,"uS/cm at 25 C",5.98,"mg/L",16.436,"mg/L",4.2818,"mg N/L",NA,"","","",8.907,"mg N/L",8.27,"Std. Units",4.88,"mg/L",215.694,"ug/L",6.855,"mg/L",33.346,"mg/L",35.632,"mg/L","12.8","mg/L",14.28,"NTU"
"NRS18_KS_10043",1,1.81,"mg N/L",4941.9,"uEQ/L",198.728,"mg/L",74.898,"mg/L",31,"APHA PT-CO",1353.4,"uS/cm at 25 C",7.42,"mg/L",42.963,"mg/L",0.534,"mg N/L",NA,"","0.199","mg N/L",3.187,"mg N/L",8.17,"Std. Units",8.681,"mg/L",881.8,"ug/L",32.904,"mg/L",44.444,"mg/L",400.687,"mg/L","1.7","mg/L",2.01,"NTU"
"NRS18_WV_10010",1,0.009,"mg N/L",1584.79,"uEQ/L",31.022,"mg/L",2.839,"mg/L",2,"APHA PT-CO",361,"uS/cm at 25 C",1.2,"mg/L",22.368,"mg/L",0.3209,"mg N/L",NA,"","","",0.453,"mg N/L",8.13,"Std. Units",3.708,"mg/L",6.226,"ug/L",5.606,"mg/L",8.045,"mg/L",93.934,"mg/L","1.8","mg/L",1.92,"NTU"
"NRS18_OK_10001",1,0.13,"mg N/L",4640,"uEQ/L",29.1,"mg/L",8.96,"mg/L",50,"APHA PT-CO",420,"uS/cm",7.92,"mg/L",25.1,"mg/L",0.083,"mg N/L",NA,"","0.023","mg N/L",0.966,"mg N/L",7.81,"Std. Units",4.32,"mg/L",143,"ug/L",14,"mg/L",18.2,"mg/L",4.83,"mg/L","24","mg/L",29.6,"NTU"
"NRS18_VT_10034",1,0.013,"mg N/L",608.53,"uEQ/L",14.181,"mg/L",63.581,"mg/L",13,"APHA PT-CO",291,"uS/cm at 25 C",2.74,"mg/L",2.689,"mg/L",0.4071,"mg N/L",NA,"","","",0.554,"mg N/L",7.7,"Std. Units",1.962,"mg/L",32.514,"ug/L",8.749,"mg/L",39.273,"mg/L",5.076,"mg/L","9","mg/L",6.34,"NTU"
"NRS18_OK_10002",1,0.12,"mg N/L",2230,"uEQ/L",26.2,"mg/L",178,"mg/L",25,"APHA PT-CO",812,"uS/cm",3.87,"mg/L",10.1,"mg/L",0.073,"mg N/L",NA,"","0.002","mg N/L",0.795,"mg N/L",7.4,"Std. Units",2.43,"mg/L",44,"ug/L",6.49,"mg/L",54.4,"mg/L",6.38,"mg/L","19","mg/L",19.2,"NTU"
"NRS18_VT_10011",1,0.009,"mg N/L",164.8,"uEQ/L",2.754,"mg/L",12.816,"mg/L",20,"APHA PT-CO",69.7,"uS/cm at 25 C",3.81,"mg/L",1.056,"mg/L",0.042,"mg N/L",NA,"","","",0.39,"mg N/L",7.1,"Std. Units",0.699,"mg/L",14.389,"ug/L",3.645,"mg/L",9.416,"mg/L",3.191,"mg/L","0","mg/L",1.34,"NTU"
"NRS18_OK_10045",1,NA,"",5290,"uEQ/L",39.9,"mg/L",38.9,"mg/L",30,"APHA PT-CO",675,"uS/cm",6.88,"mg/L",32.2,"mg/L",0.046,"mg N/L",NA,"","0.002","mg N/L",0.488,"mg N/L",7.95,"Std. Units",3.42,"mg/L",20,"ug/L",0.69,"mg/L",48.6,"mg/L",59.3,"mg/L","5","mg/L",7.3,"NTU"
"NRS18_CA_10048",1,0.052,"mg N/L",4092.2,"uEQ/L",44.042,"mg/L",60.259,"mg/L",19,"APHA PT-CO",708.4,"uS/cm at 25 C",9.02,"mg/L",16.012,"mg/L",0.1137,"mg N/L",NA,"","","",1.086,"mg N/L",8.38,"Std. Units",4.944,"mg/L",167.514,"ug/L",10.244,"mg/L",86.479,"mg/L",64.243,"mg/L","7.6","mg/L",7.08,"NTU"
"NRS18_WI_10030",1,0.122,"mg N/L",6340,"uEQ/L",83.7,"mg/L",40,"mg/L",40,"APHA PT-CO",783,"uS/cm",3.66,"mg/L",45.1,"mg/L",6.6,"mg N/L",6.65,"mg N/L","","",7.5,"mg N/L",8.04,"Std. Units",2.31,"mg/L",167,"ug/L",14.5,"mg/L",16.7,"mg/L",26.9,"mg/L","52.3","mg/L",30.6,"NTU"
"NRS18_SD_10038",1,0.016,"mg N/L",3413.7,"uEQ/L",100.445,"mg/L",67.484,"mg/L",32,"APHA PT-CO",2002.4,"uS/cm at 25 C",9.96,"mg/L",44.677,"mg/L",0.7997,"mg N/L",NA,"","","",1.219,"mg N/L",8.48,"Std. Units",11.052,"mg/L",151.264,"ug/L",7.987,"mg/L",310.669,"mg/L",804.193,"mg/L","78.5","mg/L",65.03,"NTU"
"NRS18_TX_10055",1,0.02,"mg N/L",3429.98,"uEQ/L",50.621,"mg/L",40.823,"mg/L",3,"APHA PT-CO",542.2,"uS/cm at 25 C",3.43,"mg/L",22.576,"mg/L",1.7452,"mg N/L",NA,"","","",2.588,"mg N/L",8.99,"Std. Units",5.388,"mg/L",456.264,"ug/L",8.659,"mg/L",32.133,"mg/L",42.725,"mg/L","50.3","mg/L",29.55,"NTU"
"NRS18_MI_10056",1,0.066,"mg N/L",4298.31,"uEQ/L",76.508,"mg/L",41.354,"mg/L",63,"APHA PT-CO",584,"uS/cm at 25 C",12.96,"mg/L",19.479,"mg/L",0.6838,"mg N/L",NA,"","","",1.494,"mg N/L",8.43,"Std. Units",2.672,"mg/L",136.264,"ug/L",11.192,"mg/L",24.406,"mg/L",23.614,"mg/L","7.7","mg/L",6.76,"NTU"
"NRS18_PA_10021",1,0.019,"mg N/L",1143.8,"uEQ/L",26.017,"mg/L",19.433,"mg/L",13,"APHA PT-CO",212.9,"uS/cm at 25 C",2.22,"mg/L",3.682,"mg/L",0.9442,"mg N/L",NA,"","0.002","mg N/L",1.181,"mg N/L",8.02,"Std. Units",1.909,"mg/L",66.514,"ug/L",4.166,"mg/L",11.423,"mg/L",10.233,"mg/L","2.8","mg/L",2.7,"NTU"
"NRS18_CA_10011",1,0.012,"mg N/L",6231.91,"uEQ/L",259.877,"mg/L",95.388,"mg/L",1,"APHA PT-CO",2277.6,"uS/cm at 25 C",2.6,"mg/L",97.853,"mg/L",4.6293,"mg N/L",NA,"","0.0468","mg N/L",4.119,"mg N/L",7.57,"Std. Units",6.659,"mg/L",45.764,"ug/L",29.163,"mg/L",163.073,"mg/L",876.892,"mg/L","1.8","mg/L",1.25,"NTU"
"NRS18_GA_10001",1,0.033,"mg N/L",885.01,"uEQ/L",13.144,"mg/L",5.368,"mg/L",11,"APHA PT-CO",120.7,"uS/cm at 25 C",1.86,"mg/L",4.078,"mg/L",0.426,"mg N/L",NA,"","0.0024","mg N/L",0.603,"mg N/L",7.92,"Std. Units",2.051,"mg/L",18.264,"ug/L",15.474,"mg/L",5.247,"mg/L",3.431,"mg/L","2.8","mg/L",4.91,"NTU"
"NRS18_WV_10031",1,0.014,"mg N/L",1202.58,"uEQ/L",25.249,"mg/L",13.411,"mg/L",2,"APHA PT-CO",191.8,"uS/cm at 25 C",1.73,"mg/L",3.627,"mg/L",0.2713,"mg N/L",NA,"","3.00E-04","mg N/L",0.358,"mg N/L",8,"Std. Units",1.736,"mg/L",13.639,"ug/L",5.559,"mg/L",8.802,"mg/L",11.158,"mg/L","3","mg/L",5.38,"NTU"
"NRS18_TN_10006",1,0.033,"mg N/L",1079.56,"uEQ/L",18.758,"mg/L",5.779,"mg/L",3,"APHA PT-CO",151.3,"uS/cm at 25 C",1.74,"mg/L",4.416,"mg/L",0.2897,"mg N/L",NA,"","0.0049","mg N/L",0.604,"mg N/L",8,"Std. Units",1.575,"mg/L",39.389,"ug/L",4.224,"mg/L",5.263,"mg/L",9.266,"mg/L","6.9","mg/L",9.03,"NTU"
"NRS18_OH_10033",1,0.027,"mg N/L",3216.69,"uEQ/L",65.92,"mg/L",60.891,"mg/L",14,"APHA PT-CO",667.7,"uS/cm at 25 C",5.46,"mg/L",26.395,"mg/L",3.2074,"mg N/L",NA,"","0.0101","mg N/L",3.557,"mg N/L",8.47,"Std. Units",4.473,"mg/L",173.764,"ug/L",4.346,"mg/L",39.047,"mg/L",82.74,"mg/L","29.4","mg/L",34.62,"NTU"
"NRS18_IL_10054",1,0.104,"mg N/L",5458.58,"uEQ/L",94.952,"mg/L",23.896,"mg/L",2,"APHA PT-CO",740.8,"uS/cm at 25 C",1.85,"mg/L",41.196,"mg/L",4.4837,"mg N/L",NA,"","","",4.981,"mg N/L",8.35,"Std. Units",0.975,"mg/L",58.764,"ug/L",9.755,"mg/L",8.697,"mg/L",70.751,"mg/L","27.6","mg/L",19.39,"NTU"
"NRS18_LA_10002",1,0.066,"mg N/L",733.01,"uEQ/L",9.111,"mg/L",14.407,"mg/L",34,"APHA PT-CO",178.2,"uS/cm at 25 C",6.48,"mg/L",2.173,"mg/L",0.0954,"mg N/L",NA,"","0.0036","mg N/L",0.669,"mg N/L",7.7,"Std. Units",2.789,"mg/L",108.139,"ug/L",6.087,"mg/L",25.006,"mg/L",24.063,"mg/L","15.7","mg/L",22.49,"NTU"
"NRS18_TN_10026",1,0.033,"mg N/L",1034.76,"uEQ/L",18.349,"mg/L",5.952,"mg/L",10,"APHA PT-CO",148.6,"uS/cm at 25 C",1.59,"mg/L",4.382,"mg/L",0.2828,"mg N/L",NA,"","0.0047","mg N/L",0.538,"mg N/L",8.02,"Std. Units",1.577,"mg/L",41.639,"ug/L",4.256,"mg/L",5.465,"mg/L",9.205,"mg/L","6.8","mg/L",8.08,"NTU"
"NRS18_NY_10010",1,0.02,"mg N/L",1177.61,"uEQ/L",23.443,"mg/L",16.887,"mg/L",19,"APHA PT-CO",191.7,"uS/cm at 25 C",2.91,"mg/L",3.31,"mg/L",0.4351,"mg N/L",NA,"","0.003","mg N/L",0.656,"mg N/L",8.08,"Std. Units",1.118,"mg/L",85.041,"ug/L",3.591,"mg/L",12.231,"mg/L",6.662,"mg/L","1","mg/L",3,"NTU"
"NRS18_WV_10015",1,0.009,"mg N/L",1395.49,"uEQ/L",48.745,"mg/L",6.803,"mg/L",0,"APHA PT-CO",575.7,"uS/cm at 25 C",0.63,"mg/L",32.806,"mg/L",0.4631,"mg N/L",NA,"","0.0017","mg N/L",0.369,"mg N/L",8.15,"Std. Units",6.322,"mg/L",10.751,"ug/L",10.823,"mg/L",21.696,"mg/L",207.527,"mg/L","2.6","mg/L",2.08,"NTU"
"NRS18_OH_10012",1,0.02,"mg N/L",4125.78,"uEQ/L",75.893,"mg/L",35.75,"mg/L",23,"APHA PT-CO",610.7,"uS/cm at 25 C",7.37,"mg/L",19.459,"mg/L",2.3858,"mg N/L",NA,"","","",3.325,"mg N/L",8.38,"Std. Units",4.229,"mg/L",233.764,"ug/L",7.163,"mg/L",22.274,"mg/L",44.812,"mg/L","42.4","mg/L",42.91,"NTU"
