"SITE_ID","VISIT_NO","RT_WQI","CL_pt","SO4_pt","PTL_pt","NTL_pt","TURB_pt","ENTERO_PT","DO_PT","PH_PT","NUMVARN","WQII"
"NRS18_AL_10002",1,"S",9.116547988,10,0,0,0,10,10,10,8,61.4
"NRS18_AL_10002",2,"S",8.023883123,10,0,0,0,10,10,10,8,60.03
"NRS18_AL_10006",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_10004",1,"S",10,10,10,10,0,10,0.6,10,8,75.75
"NRS18_AL_10004",2,"S",10,10,10,6.795698925,0,10,0,10,8,70.99
"NRS18_AL_10007",1,"T",6.76265988,9.451711781,8.902040816,0,6.681922197,10,10,10,8,77.25
"NRS18_AL_10008",1,"S",10,10,10,8.193548387,10,10,10,10,8,97.74
"NRS18_AL_10005",1,"R",10,7.341808007,8.632228571,10,0,10,7.15,10,8,78.91
"NRS18_AL_10031",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_10009",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_10009",2,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_10013",1,"R",0,1.517047783,0,7.76344086,10,10,0,10,8,49.1
"NRS18_AL_10014",1,"S",0,1.011560052,10,10,10,10,10,10,8,76.26
"NRS18_AL_10010",1,"S",10,5.503589324,10,10,10,NA,10,10,7,93.58
"NRS18_AL_10010",2,"S",10,6.782544985,10,2.150537634,10,10,10,10,8,86.17
"NRS18_AL_10017",1,"S",1.749860451,0,10,10,10,NA,10,10,7,73.93
"NRS18_AL_10018",1,"T",7.238689069,8.448682281,10,0.037735849,10,10,10,10,8,82.16
"NRS18_AL_10015",1,"S",10,8.934452863,0,0,9.158536585,0,10,10,8,60.12
"NRS18_AL_10016",1,"T",7.654579339,4.36317427,0,0,8.23798627,10,10,10,8,62.82
"NRS18_AL_10019",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_10020",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_10022",1,"R",10,10,0,0.430107527,0,10,0,10,8,50.54
"NRS18_AL_10023",1,"S",10,10,8.13819242,7.433962264,5.377574371,10,3.05,10,8,80
"NRS18_AL_10025",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_10039",1,"S",10,10,10,0,10,10,10,10,8,87.5
"NRS18_AL_10188",1,"S",9.964083231,2.305997361,5.532069971,9.547169811,0,10,6,10,8,66.69
"NRS18_AL_10189",1,"T",5.616632312,10,10,0,4.027459954,0,10,10,8,62.06
"NRS18_AL_10191",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_10638",1,"S",10,9.137006457,5.8504,10,0,10,9.05,10,8,80.05
"NRS18_AL_10938",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_11088",1,"S",9.344398258,10,0,5.660377358,0,10,10,10,8,68.76
"NRS18_AL_RF001",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_AL_RF002",1,"R",10,10,2.060349854,10,0,10,10,10,8,77.58
"NRS18_AR_10002",1,"S",0,0,0,0,0,10,10,10,8,37.5
"NRS18_AR_10002",2,"S",0,0,0,0,0,10,10,10,8,37.5
"NRS18_AR_10006",1,"T",7.752648647,0,0,6.817204301,0,10,10,10,8,55.71
"NRS18_AR_10007",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AR_10008",1,"S",10,2.04942316,10,10,9.292682927,10,10,10,8,89.18
