"SITE_ID","VISIT_NO","RT_WQI","CL_pt","SO4_pt","PTL_pt","NTL_pt","TURB_pt","ENTERO_PT","DO_PT","PH_PT","NUMVARN","WQII"
"NRS18_AR_10001",1,"S",10,10,10,0,4.233409611,10,10,10,8,80.29
"NRS18_AR_10001",2,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AR_10004",1,"S",9.555307988,10,8.7303207,7.886792453,9.473684211,10,10,10,8,94.56
"NRS18_AR_10009",1,"T",0.701148647,2.173106328,0,1.376344086,0,0,8,10,8,27.81
"NRS18_AR_10009",2,"T",0,3.738863539,0,0,0,10,4.4,10,8,35.17
"NRS18_AR_10014",1,"R",10,10,10,10,5.560640732,10,10,10,8,94.45
"NRS18_AR_10034",1,"S",9.885648529,10,10,10,9.244851259,10,10,10,8,98.91
"NRS18_AR_10010",1,"S",0,0,0,0,0,10,10,10,8,37.5
"NRS18_AR_10010",2,"S",0,0,0,0,0,10,10,10,8,37.5
"NRS18_AR_10018",1,"S",10,9.94632458,3.603885714,9.870967742,0,10,10,10,8,79.28
"NRS18_AR_10015",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_AR_10016",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AR_10017",1,"S",0,0,0,0,0,10,10,10,8,37.5
"NRS18_AR_10021",1,"T",0,0,2.578285714,8.838709677,0,10,10,10,8,51.77
"NRS18_AR_10022",1,"S",9.850073393,10,2.244606414,6.905660377,0,10,10,10,8,73.75
"NRS18_AR_10024",1,"S",5.041267368,0,0.3624,10,0,10,10,10,8,56.75
"NRS18_AR_10025",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AR_10026",1,"S",0,0,0,0,0,10,10,10,8,37.5
"NRS18_AR_10027",1,"S",4.289340961,7.718314326,2.142565598,0,2.974828375,10,10,10,8,58.91
"NRS18_AR_10039",1,"T",0,0,0,0,0,10,2,10,8,27.5
"NRS18_AR_10040",1,"S",10,7.374969436,10,10,7.280487805,10,6.2,10,8,88.57
"NRS18_AR_10046",1,"T",3.94908015,0,2.369371429,0.64516129,4.268292683,10,2.35,10,8,41.98
"NRS18_AR_10190",1,"S",10,10,10,10,10,0,10,10,8,87.5
"NRS18_AR_10191",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_AR_10192",1,"S",10,10,10,10,9.084668192,10,3.5,10,8,90.73
"NRS18_AR_10489",1,"S",10,10,10,10,7.231121281,0,10,10,8,84.04
"NRS18_AZ_10004",1,"S",5.290697164,8.065694579,0.531195335,8.72,0,NA,10,10,7,60.87
"NRS18_AZ_10005",1,"S",6.75532386,7.988168571,10,8.82,5.477145148,10,10,10,8,86.3
"NRS18_AZ_10001",1,"T",0,8.719787263,0,0,10,10,10,10,8,60.9
"NRS18_AZ_10002",1,"S",3.308697538,7.148308117,10,6.6,10,10,10,10,8,83.82
"NRS18_AZ_10003",1,"R",7.452691892,10,0,10,10,10,10,10,8,84.32
"NRS18_AZ_10006",1,"R",10,10,2.059475219,9.4,0,10,10,10,8,76.82
"NRS18_AZ_10010",1,"T",10,10,10,10,0,10,10,10,8,87.5
"NRS18_AZ_10011",1,"S",4.867847748,10,10,7.3125,10,10,10,10,8,90.23
"NRS18_AZ_10007",1,"S",4.447726718,7.227835514,10,5.98,10,10,10,10,8,84.57
"NRS18_AZ_10014",1,"S",5.448491193,8.332268411,10,9.28,3.785084202,10,10,10,8,83.56
"NRS18_AZ_10015",1,"S",10,10,7.633527697,10,5.902165196,10,10,10,8,91.92
"NRS18_AZ_10012",1,"S",8.411345175,10,10,10,10,10,10,10,8,98.01
"NRS18_AZ_10013",1,"R",0,5.468756497,0,10,10,10,10,10,8,69.34
"NRS18_AZ_10008",1,"S",10,10,7.229565217,3.75,0,10,10,10,8,76.22
"NRS18_AZ_10009",1,"S",8.967458559,10,0.002173913,0,0,10,10,10,8,61.21
"NRS18_AZ_10016",1,"S",9.358502703,9.783907345,1.92,0,3.797468354,10,10,10,8,68.57
"NRS18_AZ_10020",1,"S",4.810206911,7.480510814,10,5.9,10,10,10,10,8,85.24
"NRS18_AZ_10021",1,"T",5.954865766,10,10,10,10,10,10,10,8,94.94
"NRS18_AZ_10024",1,"T",0,1.790556497,6.805869565,10,0,10,10,10,8,60.75
"NRS18_AZ_10027",1,"S",0,10,0,0,0,10,10,10,8,50
"NRS18_AZ_10456",1,"T",3.876534818,10,0,0,0,10,10,10,8,54.85
"NRS18_AZ_10457",1,"T",0,0.332801896,10,0,10,10,9.55,10,8,62.35
"NRS18_AZ_10843",1,"T",0,10,6.852391304,8.8125,10,10,10,10,8,82.08
"NRS18_AZ_12037",1,"R",10,10,8.456462585,4.82,10,10,10,10,8,91.6
"NRS18_AZ_12038",1,"S",8.638643285,10,10,1.74,10,0,10,10,8,75.47
"NRS18_AZ_12837",1,"S",4.318256554,7.13021223,10,6.64,10,10,10,10,8,85.11
"NRS18_AZ_12844",1,"T",0.293665628,5.455105634,10,7.5,10,10,10,10,8,79.06
"NRS18_CA_10001",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10001",2,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10002",1,"S",7.917145045,10,7.617173913,9.5625,10,10,10,10,8,93.87
"NRS18_CA_10002",2,"S",6.96423964,10,7.434565217,6.875,10,10,10,10,8,89.09
"NRS18_CA_10011",1,"T",3.469900585,0,10,0,10,10,10,10,8,66.84
"NRS18_CA_10012",1,"T",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10013",1,"S",6.072037838,10,5.202173913,3.625,10,10,10,10,8,81.12
"NRS18_CA_10004",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10014",1,"S",7.674330631,10,10,9.6875,10,10,10,10,8,96.7
"NRS18_CA_10015",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10016",1,"T",10,10,10,0,10,10,10,10,8,87.5
"NRS18_CA_10018",1,"T",10,10,10,4.9,10,10,10,10,8,93.63
"NRS18_CA_10065",1,"S",6.115800901,10,0,0,9.367088608,10,10,10,8,69.35
"NRS18_CA_10005",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10006",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10007",1,"T",0,2.997410734,7.88173913,10,0,10,10,10,8,63.6
"NRS18_CA_10008",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10009",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10010",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10059",1,"T",9.066402552,10,10,10,8.692862871,10,10,10,8,97.2
"NRS18_CA_10019",1,"T",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10019",2,"T",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10025",1,"T",1.207527335,10,0,0,5.38893344,10,10,10,8,58.25
"NRS18_CA_10026",1,"S",6.897889189,10,10,10,10,10,10,10,8,96.12
"NRS18_CA_10027",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10028",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10020",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10020",2,"S",10,10,10,9.14,10,10,10,10,8,98.93
"NRS18_CA_10033",1,"T",8.494847991,10,0,0,0,10,10,10,8,60.62
"NRS18_CA_10034",1,"S",7.174584685,10,7.995,10,10,10,10,10,8,93.96
"NRS18_CA_10035",1,"T",0,9.111670254,0,0,0,10,10,10,8,48.89
"NRS18_CA_10036",1,"T",10,10,7.393002915,0.82,9.871692061,10,10,10,8,85.11
"NRS18_CA_10029",1,"T",10,10,9.107094266,2.78,10,10,10,10,8,89.86
"NRS18_CA_10030",1,"S",10,10,10,4.26,9.077786688,10,10,10,8,91.67
"NRS18_CA_10031",1,"T",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10032",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10021",1,"S",10,10,10,10,10,0,10,10,8,87.5
"NRS18_CA_10022",1,"S",0,10,4.44826087,10,10,10,10,10,8,80.56
"NRS18_CA_10024",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10066",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10048",1,"S",0,0,0,0,0,10,10,10,8,37.5
"NRS18_CA_10049",1,"S",10,10,10,5.04,10,10,10,10,8,93.8
"NRS18_CA_10052",1,"T",10,10,10,5.08,8.620689655,10,10,10,8,92.13
"NRS18_CA_10054",1,"T",0.526992986,10,0,0,4.186046512,NA,10,10,7,49.59
"NRS18_CA_10055",1,"T",10,10,10,10,5.204490778,10,10,10,8,94.01
"NRS18_CA_10056",1,"T",10,10,10,10,9.93584603,10,10,10,8,99.92
"NRS18_CA_10088",1,"S",10,10,4.825869565,10,8.797468354,10,10,10,8,92.03
"NRS18_CA_10094",1,"S",10,7.646034463,10,10,10,10,10,10,8,97.06
"NRS18_CA_10108",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10247",1,"T",0,0.881571509,10,4.34,10,10,9.75,10,8,68.71
"NRS18_CA_10322",1,"T",10,10,10,3.8,10,10,10,10,8,92.25
"NRS18_CA_10324",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10343",1,"S",10,10,8.241496599,10,10,10,10,10,8,97.8
"NRS18_CA_10352",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10389",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10548",1,"S",10,10,1.29776482,3.54,10,0,10,10,8,68.55
"NRS18_CA_10788",1,"T",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10795",1,"T",10,10,10,10,10,10,10,10,8,100
"NRS18_CA_10889",1,"S",5.301243243,10,0.96173913,0,10,10,10,10,8,70.33
"NRS18_CO_10002",1,"S",10,5.449435033,0,0,0,10,10,10,8,56.81
"NRS18_CO_10002",2,"S",10,4.470033324,10,0,0,10,10,10,8,68.09
"NRS18_CO_10003",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_10003",2,"R",10,10,10,3,10,10,10,10,8,91.25
"NRS18_CO_10009",1,"R",10,7.365379537,10,10,2.372641509,10,10,10,8,87.17
"NRS18_CO_10004",1,"S",10,10,0,0,3.670886076,10,10,10,8,67.09
"NRS18_CO_10005",1,"T",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_10010",1,"T",9.786573406,6.855649526,10,0,7.537735849,10,10,10,8,80.22
"NRS18_CO_10011",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_10012",1,"T",9.838934699,7.544609676,0,0,10,10,10,10,8,71.73
"NRS18_CO_10060",1,"S",10,10,10,10,0,10,10,10,8,87.5
"NRS18_CO_10061",1,"T",9.807437272,10,0,0,10,10,10,10,8,74.76
"NRS18_CO_10050",1,"S",10,10,3.077306122,4.021276596,3.339622642,10,10,10,8,75.55
"NRS18_CO_10053",1,"T",0,0,0,0,0,0,0,10,8,12.5
"NRS18_CO_10055",1,"R",10,10,10,10,9.430379747,10,10,10,8,99.29
"NRS18_CO_10013",1,"S",10,10,8.043695652,4.5,9.746835443,10,10,10,8,90.36
"NRS18_CO_10013",2,"S",10,10,8.616521739,10,10,10,10,10,8,98.27
"NRS18_CO_10018",1,"R",10,10,6.779347826,3.625,0,10,10,10,8,75.51
"NRS18_CO_10020",1,"S",10,10,4.541788144,4.48,0,0,10,10,8,61.28
"NRS18_CO_10068",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_10069",1,"T",8.978752252,10,10,10,10,10,10,10,8,98.72
"NRS18_CO_10014",1,"S",4.02450072,4.389004887,1.926530612,0,0,10,10,10,8,50.43
"NRS18_CO_10014",2,"S",3.135435995,4.587726088,10,4.58,0,10,10,10,8,65.38
"NRS18_CO_10024",1,"S",10,7.436070056,10,10,5.316455696,10,10,10,8,90.94
"NRS18_CO_10026",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_10071",1,"S",0,9.564873565,10,8.78,0,10,10,10,8,72.93
"NRS18_CO_10072",1,"S",10,10,10,10,0,10,10,10,8,87.5
"NRS18_CO_10021",1,"T",10,10,0,0,0,0,10,10,8,50
"NRS18_CO_10070",1,"T",10,10,0,0,0,0,10,10,8,50
"NRS18_CO_10016",1,"T",9.470167769,4.824181633,8.602122449,0,0.54245283,10,10,10,8,66.8
"NRS18_CO_10017",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_10063",1,"T",10,10,10,10,6.212264151,10,10,10,8,95.27
"NRS18_CO_10064",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_10065",1,"R",10,8.628220904,9.788043478,0.75,0,10,10,10,8,73.96
"NRS18_CO_10028",1,"S",10,0,0,0,0,0,5.15,10,8,31.44
"NRS18_CO_10033",1,"R",10,7.002822061,10,10,10,10,10,10,8,96.25
"NRS18_CO_10034",1,"S",10,10,0,10,1.64556962,10,10,10,8,77.06
"NRS18_CO_10042",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_10046",1,"S",3.286730631,0,1.531956522,0.625,0,10,10,10,8,44.3
"NRS18_CO_10048",1,"S",10,10,10,10,0,10,10,10,8,87.5
"NRS18_CO_10135",1,"S",10,10,4.554938776,10,0,NA,10,10,7,77.94
"NRS18_CO_10224",1,"T",6.50260991,9.929176836,10,0,5.82278481,10,10,10,8,77.82
"NRS18_CO_10374",1,"S",0,10,9.846452867,10,0,10,10,10,8,74.81
"NRS18_CO_10398",1,"S",10,10,10,10,0,10,10,10,8,87.5
"NRS18_CO_10523",1,"R",10,10,0,5.234042553,0,10,10,10,8,69.04
"NRS18_CO_10825",1,"S",10,10,10,10,0,10,10,10,8,87.5
"NRS18_CO_10974",1,"R",10,5.419277355,10,10,10,10,4.4,10,8,87.27
"NRS18_CO_10975",1,"S",10,7.203473419,0,0,0,NA,10,10,7,53.15
"NRS18_CO_10977",1,"T",10,10,10,10,10,0,10,10,8,87.5
"NRS18_CO_11124",1,"T",0,0,0,0,0,10,10,10,8,37.5
"NRS18_CO_11274",1,"R",7.694544674,10,10,8.8,0,0,10,10,8,70.62
"NRS18_CO_11276",1,"R",0,10,4.10058309,8.54,0,NA,10,10,7,60.92
"NRS18_CO_11278",1,"S",0,0.002267023,10,2.58,0.032076985,10,10,10,8,53.27
"NRS18_CO_11423",1,"T",9.781821545,10,0,0,10,10,10,10,8,74.73
"NRS18_CO_11424",1,"T",9.855424528,7.569118638,5.947959184,0,9.339622642,10,10,10,8,78.39
"NRS18_CO_11425",1,"T",9.842262455,8.075404627,1.008938776,0,9.113207547,0,10,10,8,60.05
"NRS18_CO_11725",1,"S",10,4.909254713,4.862682216,0,0,0,10,10,8,49.71
"NRS18_CO_RF001",1,"S",10,10,10,8.5625,10,10,10,10,8,98.2
"NRS18_CO_RF002",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_RF003",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_RF004",1,"R",10,0,10,0,10,0,10,10,8,62.5
"NRS18_CO_RF005",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_RF006",1,"S",10,0.386676836,10,7.5,10,10,10,10,8,84.86
"NRS18_CO_RF007",1,"S",10,10,10,0,10,10,10,10,8,87.5
"NRS18_CO_RF011",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_RF015",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_RF016",1,"S",10,10,10,6.9375,10,10,10,10,8,96.17
"NRS18_CO_RF017",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_RF018",1,"T",10,2.708048023,10,10,10,10,10,10,8,90.89
"NRS18_CO_RF019",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_CO_RF020",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CT_10001",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CT_10001",2,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_CT_10003",1,"T",0,0,0,0,9.709302326,10,10,10,8,49.64
"NRS18_CT_10002",1,"S",0,8.956272727,0,0.22875817,2.325581395,10,10,10,8,51.89
"NRS18_CT_10002",2,"S",0,7.953899814,1.172112676,0,3.953488372,0,10,10,8,41.35
"NRS18_CT_10004",1,"S",0,7.39380705,5.718873239,3.921568627,8.837209302,10,10,10,8,69.84
"NRS18_CT_10005",1,"S",0,2.770144712,0,1.503267974,5.174418605,10,10,10,8,49.31
"NRS18_CT_10006",1,"S",0,10,5.791267606,1.339869281,3.081395349,10,10,10,8,62.77
"NRS18_CT_10006",2,"S",0,10,6.589859155,3.85620915,1.686046512,10,10,10,8,65.17
"NRS18_CT_10009",1,"T",0,0,0,0,0,10,10,10,8,37.5
"NRS18_CT_10007",1,"S",0,2.463059369,0,1.666666667,2.26744186,10,10,10,8,45.5
"NRS18_CT_10007",2,"S",0,0,0,0,7.674418605,10,10,10,8,47.09
"NRS18_CT_10011",1,"S",0,3.355345083,0,1.699346405,3.255813953,10,10,10,8,47.89
"NRS18_CT_10010",1,"S",0,10,10,10,10,10,10,10,8,87.5
"NRS18_CT_10008",1,"S",0,0,0,0,0.755813953,0,10,10,8,25.94
"NRS18_CT_10017",1,"T",0,2.374217069,5.149295775,0,10,10,10,10,8,59.4
"NRS18_CT_10018",1,"S",0,8.276435993,8.956338028,6.699346405,1.860465116,10,10,10,8,69.74
"NRS18_CT_10019",1,"S",0,8.710990724,5.092112676,0.816993464,0.290697674,10,10,10,8,56.14
"NRS18_CT_10020",1,"S",0,0,0,0,7.151162791,10,10,10,8,46.44
"NRS18_CT_10030",1,"S",0,8.237808905,10,7.908496732,10,10,10,10,8,82.68
"NRS18_CT_10031",1,"T",0,0,8.570140845,0,10,10,10,10,8,60.71
"NRS18_CT_10032",1,"T",0,0.736428571,2.505352113,0,10,10,10,10,8,54.05
"NRS18_CT_10036",1,"T",0,0,0.25915493,0,3.255813953,10,10,10,8,41.89
"NRS18_CT_10037",1,"T",0,5.85644898,10,8.529411765,10,10,10,10,8,80.48
"NRS18_DE_10002",1,"T",0,0,7.978514286,0,8.597560976,10,10,10,8,58.22
"NRS18_DE_10002",2,"T",0,2.939404219,0,0,0,0,10,10,8,28.67
"NRS18_DE_10004",1,"T",0,8.786394062,0,0,10,10,10,10,8,60.98
"NRS18_DE_10003",1,"S",1.759403835,0,0,0,3.804878049,10,10,10,8,44.46
"NRS18_DE_10021",1,"T",0,9.991638549,3.981632653,0,10,10,10,10,8,67.47
"NRS18_DE_10021",2,"T",0,10,4.686880466,0,10,10,10,10,8,68.36
"NRS18_DE_10005",1,"T",0,0,10,0,10,10,10,10,8,62.5
"NRS18_DE_10005",2,"T",0,1.424733534,10,0,10,10,10,10,8,64.28
"NRS18_DE_10008",1,"S",2.491063233,0,8.414742857,0,10,10,10,10,8,63.63
"NRS18_DE_10006",1,"S",1.932245113,8.94879294,10,0,10,10,10,10,8,76.1
"NRS18_DE_10006",2,"S",2.573772556,9.292058545,10,0,10,10,10,10,8,77.33
"NRS18_DE_10009",1,"S",0,7.762151528,3.812,0,0.085365854,10,10,10,8,52.07
"NRS18_DE_10007",1,"T",0,10,10,0,10,10,10,10,8,75
"NRS18_DE_10010",1,"T",0,0,9.369257143,0,10,10,10,10,8,61.71
"NRS18_DE_10012",1,"S",0.510280977,0,1.291314286,0,10,10,10,10,8,52.25
"NRS18_DE_10014",1,"T",0,6.841068238,0,0,10,0,10,10,8,46.05
"NRS18_DE_10015",1,"T",0,9.266666918,6.762390671,0,10,0,10,10,8,57.54
"NRS18_DE_10016",1,"T",0,8.941317625,1.300874636,0,10,0,10,10,8,50.3
"NRS18_DE_10018",1,"T",0,8.489498115,0.546938776,0,10,10,10,10,8,61.3
"NRS18_DE_10019",1,"S",0,8.224619027,3.114514286,0,4.646341463,NA,10,10,7,51.41
"NRS18_DE_10020",1,"T",0,8.959468897,0,0,10,10,10,10,8,61.2
"NRS18_DE_10033",1,"S",5.459055489,5.622791218,10,0,10,10,10,10,8,76.35
"NRS18_DE_10037",1,"T",4.478207744,0.484562204,5.881371429,0,10,10,10,10,8,63.56
"NRS18_DE_10332",1,"T",0,0,10,0,10,10,10,10,8,62.5
"NRS18_FL_10003",1,"T",10,9.755422299,3.2456,9.806451613,0,10,2.15,10,8,68.7
"NRS18_FL_10002",1,"S",10,10,8.415885714,10,10,10,1.9,10,8,87.89
"NRS18_FL_10002",2,"S",10,10,10,10,10,10,0,10,8,87.5
"NRS18_FL_10004",1,"R",10,10,10,10,10,NA,6.35,10,7,94.79
"NRS18_FL_10021",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_FL_10021",2,"R",10,10,10,10,10,10,10,8.7,8,98.38
"NRS18_FL_10006",1,"S",9.91687594,9.672070598,7.771657143,10,10,NA,10,10,7,96.23
"NRS18_FL_10006",2,"S",8.910579173,6.406117951,10,10,10,10,10,10,8,94.15
"NRS18_FL_10009",1,"S",0,6.773582437,2.899085714,0,5.670731707,10,5.2,10,8,50.68
"NRS18_FL_10007",1,"S",10,9.414845458,10,10,10,10,10,10,8,99.27
"NRS18_FL_10007",2,"S",10,8.974784331,10,9.290322581,10,10,10,10,8,97.83
"NRS18_FL_10011",1,"S",8.96889985,1.637145932,1.1104,0,10,10,7.45,10,8,61.46
"NRS18_FL_10010",1,"S",8.421745865,7.986215239,1.171657143,5.376344086,0,10,10,10,8,66.19
"NRS18_FL_10008",1,"T",10,10,10,10,10,0,10,10,8,87.5
"NRS18_FL_10012",1,"T",0,0.875329316,10,9.978494624,10,10,1.5,10,8,65.44
"NRS18_FL_10017",1,"S",8.776971805,10,10,4.301075269,10,10,NA,10,7,90.11
"NRS18_FL_10020",1,"R",8.764247293,0.662916918,8.5664,10,7.097560976,10,10,10,8,81.36
"NRS18_FL_10035",1,"T",0,0,10,4.430107527,10,0,10,10,8,55.54
"NRS18_FL_10037",1,"T",0,3.020963409,0,0,10,10,1.15,10,8,42.71
"NRS18_FL_10042",1,"T",0,8.97657684,10,10,10,10,1.5,10,8,75.6
"NRS18_FL_10047",1,"S",5.610689248,0,9.984228571,10,0,10,10,10,8,69.49
"NRS18_FL_10183",1,"R",10,10,10,10,10,10,8.05,10,8,97.56
"NRS18_FL_10333",1,"T",0,7.273692639,10,0,10,10,4.25,10,8,64.4
"NRS18_FL_10334",1,"R",10,10,10,10,10,10,10,10,8,100
"NRS18_FL_RF001",1,"R",10,10,0.007428571,0,10,10,10,10,8,75.01
"NRS18_FL_RF002",1,"S",10,10,10,10,10,10,10,10,8,100
"NRS18_FL_RF003",1,"S",10,10,10,5.419354839,6.682926829,10,10,10,8,90.13
"NRS18_GA_10002",1,"S",8.950873459,10,0,10,10,10,NA,10,7,84.22
"NRS18_GA_10002",2,"S",8.116357594,9.121770125,0,10,10,10,10,10,8,84.05
"NRS18_GA_10001",1,"T",8.035741502,10,10,0.301886792,7.780320366,10,10,10,8,82.65
"NRS18_GA_10001",2,"T",8.520240961,10,9.08425656,2.075471698,7.597254005,10,10,10,8,84.1
"NRS18_GA_10007",1,"T",9.486363308,0,7.737828571,6.387096774,0.756097561,10,10,10,8,67.96
"NRS18_GA_10008",1,"T",10,8.731003013,10,10,10,10,10,10,8,98.41
"NRS18_GA_10003",1,"S",10,10,3.275801749,10,9.359267735,0,10,10,8,78.29
"NRS18_GA_10010",1,"T",5.177872312,10,10,0,10,10,10,10,8,81.47
"NRS18_GA_10035",1,"S",10,10,10,0,10,10,10,10,8,87.5
"NRS18_GA_10004",1,"R",10,10,10,10,10,0,10,10,8,87.5
"NRS18_GA_10005",1,"T",9.876331231,10,10,10,10,0,10,10,8,87.35
"NRS18_GA_10006",1,"S",10,10,9.558017493,1.962264151,7.00228833,0,10,10,8,73.15
"NRS18_GA_10011",1,"S",10,9.396920362,10,10,0,0,10,10,8,74.25
"NRS18_GA_10011",2,"S",10,9.984863539,10,10,3.146341463,0,10,10,8,78.91
"NRS18_GA_10015",1,"S",10,10,8.443731778,3.283018868,0,10,10,10,8,77.16
"NRS18_GA_10016",1,"S",7.358188797,9.753629789,10,10,10,10,10,10,8,96.39
"NRS18_GA_10012",1,"T",9.39198985,1.101185536,7.806514286,7.612903226,0,10,10,10,8,69.89
