"SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE_OLD"
"FW08UT011",1,59.92,0.945953225
"FW08UT012",1,12.43,0.663498117
"FW08UT013",1,45.77,1.24845905
"FW08UT021",1,7.7,0.801833885
"FW08UT026",1,58.57,1.029627516
"FW08UT028",1,59.18,1.41161116
"FW08UT032",1,60.02,1.241560595
"FW08UT051",1,39.87,0.443207143
"FW08UT053",1,30.93,0.780577601
"FW08UT041",1,12.72,0.319914342
"FW08UT059",1,45.18,0.872962406
"FW08UT067",1,46.07,0.73218944
"FW08UT080",1,38.15,1.181132811
"FW08UT099",1,35.53,0.926492266
"FW08NM002",2,10.05,0.454864943
"FW08ND079",1,0.95,0.236248911
"FW08OH038",1,13.12,0.804397975
"FW08VA007",1,69.6,1.175715655
"FW08VA022",1,63.12,1.149590124
"FW08VA026",1,7.33,0.385803127
"FW08VA026",2,26.07,0.462963752
"FW08VA001",1,39.4,0.748298702
"FW08VA001",2,35.47,0.748298702
"FW08VA005",1,68.03,0.949001061
"FW08VA006",1,40.4,0.71333855
"FW08VA008",1,21.23,0.617032076
"FW08VA018",1,52.28,1.15081465
"FW08VA030",1,38.33,0.803199767
"FW08VA034",1,68.33,1.191111361
"FW08VA037",1,63.83,1.176817399
"FW08VA042",1,27.67,0.761866465
"FW08VA014",1,54.05,1.260053586
"FW08VA010",1,45.15,0.866860938
"FW08TX001",1,39.72,0.773269876
"FW08TX002",1,27.68,0.807979089
"FW08TX013",1,27.12,0.463952915
"FW08TX014",1,67.87,0.889976902
"FW08TX047",1,18.62,0.270135
"FW08TX088",1,28.77,0.577067935
"FW08TX019",1,52.12,0.651784484
"FW08TX025",1,29.43,0.58313029
"FW08TX032",1,34.63,1.325309296
"FW08VT001",1,61.18,1.067627933
"FW08VT002",1,55.03,0.892279483
"FW08VT006",1,24.17,0.48208621
"FW08VT006",2,24.72,0.771337937
"FW08VT009",1,70.02,1.11598756
"FW08VT011",1,11.77,0.554970464
"FW08VT011",2,42.45,1.01744585
"FW08VT013",1,50.55,1.070310892
"FW08VT014",1,67.52,1.199810521
"FW08VT016",1,59.57,0.856252471
"FW08VT018",1,56.2,0.49474739
"FW08VT022",1,70.1,0.869477865
"FW08VT010",1,55.57,0.947279595
"FW08WA007",1,57.53,1.171649309
"FW08WA009",1,23.18,0.861808215
"FW08WA046",1,67.35,1.139810254
"FW08WA032",1,41.57,0.635084372
"FW08LA006",1,62.6,1.015296931
"FW08LA011",2,25.6,0.70527291
"FW08LA013",1,12.67,0.34483954
"FW08LA014",1,52.88,1.023397308
"FW08LA017",1,23.27,0.456761472
"FW08LA018",1,28.38,0.688291145
"FW08LA022",1,0,0.093464802
"FW08LA029",1,10.42,0.323234662
"FW08LA030",1,20.9,0.701154398
"FW08LA032",1,35.67,0.899959051
"FW08LA033",1,9.15,0.112668548
"FW08LA037",1,35.7,0.691029037
"FW08LA045",1,30.12,0.809889314
"FW08RLA900",1,40.08,0.839951694
"FW08NM001",2,47.1,1.306479994
"FW08VT005",2,NA,NA
"FW08PA001",1,61.78,1.096858073
"FW08PA001",2,62.43,0.9923954
"FW08PA005",1,57,1.227754367
"FW08PA018",1,24.28,0.691405585
