"SITE_ID","VISIT_NO","SAMPLE_ID","dD..vsmow.","d18O..vsmow.","d.excess"
"FW08AL001","1",550851,-24.13,-4.54,12.15
"FW08AL001","1",548721,-24.72,-4.69,12.84
"FW08AL001","2",552051,-24.85,-4.83,13.81
"FW08AL002","2",552991,-21.35,-3.81,9.13
"FW08AL002","1",548431,-21.37,-4.15,11.85
"FW08AL002","1",548731,-21.13,-4.13,11.94
"FW08AL003","1",553461,-10.68,-1.77,3.44
"FW08AL004","1",552981,-22.37,-4.05,10.06
"FW08AL006","1",543271,-23.42,-4.57,13.11
"FW08AL007","1",552391,-27.7,-5.08,12.91
"FW08AL008","1",552871,-27.13,-4.74,10.76
"FW08AL009","1",550861,-20.93,-3.85,9.89
"FW08AL011","1",548711,-26.71,-4.67,10.65
"FW08AL012","2",547911,-25.08,-3.89,6.07
"FW08AL012","1",548451,-26.58,-4.58,10.05
"FW08AL012","1",548441,-26.57,-4.62,10.42
"FW08AL013","1",552481,-24.55,-4.26,9.51
"FW08AL014","1",552491,-16.86,-2.8,5.58
"FW08AL015","1",549581,-17.88,-3.22,7.87
"FW08AL016","2",549421,-20.73,-3.65,8.49
"FW08AL016","2",550751,-21.17,-3.92,10.19
"FW08AL016","1",550501,-25.94,-4.57,10.62
"FW08AL018","1",543281,-24.55,-4.78,13.69
"FW08AL019","1",550881,-17.19,-3.53,11.01
"FW08AL020","1",550521,-23.57,-4.21,10.12
"FW08AL021","1",549571,-16.97,-3.4,10.2
"FW08AL022","1",554741,-17.65,-3.16,7.6
"FW08AL023","1",555521,-15.06,-3.19,10.45
"FW08AL024","1",551111,-18.48,-3.21,7.22
"FW08AL025","1",550141,-19.09,-3.2,6.54
"FW08AL026","1",550021,-18.26,-2.98,5.61
"FW08AL027","1",555561,-8.47,-1.95,7.1
"FW08AL028","1",548461,-27.2,-4.68,10.23
"FW08AL029","1",551101,-23.65,-4.09,9.08
"FW08AL030","1",553431,-18.86,-3.03,5.37
"FW08AL031","1",547921,-19.45,-3.32,7.14
"FW08AL032","1",548741,-27.58,-4.91,11.67
"FW08AL033","1",543291,-21.51,-4.19,12.01
"FW08AL034","1",549241,-8.49,-0.93,-1.04
"FW08AL035","1",550531,-20.52,-3.61,8.35
"FW08AL036","1",552951,-26.56,-4.84,12.12
"FW08AL046","1",552141,-24.15,-4.01,7.95
"FW08AL047","1",555541,-22.66,-4.08,9.95
"FW08AL051","1",553471,-17,-3.16,8.26
"FW08AR001","2",545651,-18.56,-3.22,7.19
"FW08AR001","1",551141,-24.56,-4.01,7.55
"FW08AR001","2",545921,-16.19,-3.11,8.66
"FW08AR002","1",551281,-16.65,-2.81,5.87
"FW08AR002","2",545661,-17.77,-3.22,8
"FW08AR002","2",543901,-18.24,-3.28,8.01
"FW08AR003","1",548341,-31.41,-4.9,7.81
"FW08AR003","2",541971,-33.28,-5.33,9.35
"FW08AR003","2",542001,-32.72,-5.38,10.31
"FW08AR004","1",530031,-31.02,-5.46,12.65
"FW08AR006","1",543391,-22.96,-3.74,6.93
"FW08AR007","1",530191,-37.66,-5.95,9.96
"FW08AR008","1",530051,-30.73,-4.73,7.13
"FW08AR009","1",530261,-31.87,-5.44,11.64
"FW08AR012","1",541371,-28.73,-4.74,9.21
"FW08AR012","2",547701,-26.82,-4.52,9.35
"FW08AR012","2",547591,-26.4,-4.48,9.41
"FW08AR013","1",540771,-17.58,-3.03,6.65
"FW08AR014","1",547841,-18,-3.76,12.07
"FW08AR016","1",548351,-28.7,-5.27,13.49
"FW08AR017","1",550411,-23.01,-3.68,6.44
"FW08AR019","1",542291,-22.68,-3.77,7.47
"FW08AR020","1",542901,-23.7,-4.17,9.69
"FW08AR022","1",547471,-21.23,-3.79,9.05
"FW08AR024","1",550471,-20.13,-3.63,8.94
"FW08AR025","1",543081,-29.77,-4.98,10.03
"FW08AR026","1",546471,-18.52,-4,13.49
"FW08AR027","1",545901,-25.42,-4.11,7.46
"FW08AR028","1",550451,-28.61,-5.01,11.5
"FW08AR030","1",550431,-24.11,-3.9,7.05
"FW08AR031","1",553351,-16.29,-3.07,8.29
"FW08AR032","1",548371,-25.92,-4.18,7.55
"FW08AR035","1",522481,-34.51,-6.09,14.23
"FW08AR036","1",548331,-15.91,-2.75,6.09
"FW08AR037","1",548361,-23.74,-4.23,10.06
"FW08AR041","1",548041,-30.31,-4.57,6.26
"FW08AR042","1",547881,-21,-3.73,8.86
"FW08AR043","1",552801,-28.92,-4.95,10.66
"FW08AR044","1",535531,-30.03,-4.91,9.28
"FW08AR052","1",548021,-13.4,-2.35,5.43
"FW08AR053","1",534991,-23.86,-4.85,14.92
"FW08AR057","1",541991,-28.41,-4.15,4.76
"FW08AR060","1",550311,-20.3,-2.96,3.36
"FW08AR069","1",540901,-25.81,-4.64,11.32
"FW08AR070","1",545671,-20.19,-3.91,11.12
"FW08AR072","1",545911,-15.54,-3,8.46
"FW08AR073","1",541311,-35.94,-6.3,14.47
"FW08AR080","1",553331,-24.94,-3.97,6.83
"FW08AR084","1",543001,-24.29,-4.3,10.13
"FW08AR088","1",545931,-19.29,-3.69,10.21
"FW08AR093","1",541171,-11.41,-2.11,5.47
"FW08AR094","1",540911,-25.01,-4.8,13.37
"FW08AR099","1",542581,-31.82,-5.5,12.15
"FW08AR111","1",542591,-26.13,-4.7,11.43
"FW08AR112","1",535981,-28.95,-5.45,14.69
"FW08AR114","1",535991,-23.9,-4.54,12.41
"FW08AR116","1",548001,-9.55,-1.27,0.63
"FW08AR122","1",543011,-13.5,-1.61,-0.58
"FW08AR124","1",535971,-23.48,-4.17,9.89
"FW08AR133","1",552341,-32.58,-5.5,11.4
"FW08AR141","1",543371,-16.94,-2.78,5.31
"FW08AR142","1",542601,-29.56,-5.27,12.58
"FW08AR145","1",543381,-21.89,-4.39,13.19
"FW08AR146","1",542611,-23.79,-4.18,9.66
"FW08AR147","1",535961,-27.9,-4.95,11.68
"FW08AR148","1",535951,-25.61,-4.84,13.08
"FW08AR151","1",541181,-12.92,-1.86,1.94
"FW08AR153","1",546161,-32.45,-5.72,13.28
"FW08AR161","1",546191,-30.84,-5.23,11.02
"FW08AR177","1",553321,-35.49,-5.56,9
"FW08AR179","1",544041,-22.83,-4.21,10.83
"FW08AR183","1",545941,-19.3,-2.93,4.12
"FW08AR188","1",543761,-16.61,-2.93,6.82
"FW08AR192","1",547451,-15.43,-2.79,6.87
"FW08AR218","1",542951,-23.37,-3.87,7.61
"FW08AR236","1",552811,-21.05,-2.71,0.63
"FW08AR255","1",544071,-19.88,-3.49,8
"FW08AR276","1",552791,-19.09,-2.64,2.06
"FW08AR303","1",552821,-12.7,-1.04,-4.4
"FW08AR307","1",552351,-24.18,-3.41,3.14
"FW08AR311","1",531841,-33.4,-5.05,6.96
"FW08AR320","1",553811,-28.44,-4.84,10.28
"FW08AZ003","1",551241,-74.99,-10.64,10.13
"FW08AZ004","1",540861,-55.89,-6.88,-0.87
"FW08AZ005","1",540381,-74.21,-10.36,8.66
"FW08AZ006","1",546841,-71.55,-9.88,7.52
"FW08AZ007","1",556971,-95.56,-13.29,10.78
"FW08AZ008","2",542691,-69.12,-9.07,3.41
"FW08AZ008","2",542741,-69.2,-9.16,4.06
"FW08AZ008","1",523881,-68.65,-9.9,10.58
"FW08AZ009","1",543411,-108.42,-14.27,5.77
"FW08AZ013","1",556991,-109.01,-14.02,3.15
"FW08AZ019","1",542751,-64.09,-8.44,3.44
"FW08AZ019","2",541091,-62.93,-8.39,4.16
"FW08AZ019","2",542881,-62.85,-8.4,4.38
"FW08AZ022","1",534731,-69.56,-9.43,5.91
"FW08AZ024","1",546221,-63.67,-7.39,-4.53
"FW08AZ028","1",540351,-76.22,-10.21,5.44
"FW08AZ034","1",557011,-107.74,-14.09,5.01
"FW08AZ044","1",534421,-59.42,-7.96,4.24
"FW08AZ045","1",557021,-108.96,-14.26,5.08
"FW08AZ048","1",545971,-73.76,-9.86,5.13
"FW08AZ050","1",552771,-90.25,-11.59,2.44
"FW08AZ057","1",557031,-109.02,-14.41,6.28
"FW08AZ062","2",553011,-96.07,-11.62,-3.11
"FW08AZ062","1",548581,-95.88,-11.9,-0.72
"FW08AZ062","2",543471,-95.88,-11.99,0.01
"FW08AZ073","1",557001,-108.38,-13.97,3.35
"FW08AZ074","2",553001,-95.63,-11.61,-2.74
"FW08AZ074","2",550031,-95.62,-11.67,-2.28
"FW08AZ074","1",548281,-95.84,-11.83,-1.17
"FW08AZ075","1",534781,-68.04,-8.94,3.49
"FW08AZ077","1",556761,-109.5,-14.62,7.45
"FW08AZ087","1",543481,-66.54,-8.46,1.18
"FW08AZ090","1",534971,-76.08,-8.61,-7.19
"FW08AZ093","1",556021,-109.38,-14.38,5.63
"FW08AZ098","1",556001,-108.1,-13.82,2.45
"FW08AZ100","1",551431,-65.12,-9.01,6.93
"FW08AZ107","1",534861,-64.3,-9.26,9.76
"FW08AZ109","1",556011,-108,-13.93,3.43
"FW08AZ134","1",532191,-61.84,-8.18,3.62
"FW08AZ139","1",535001,-68.62,-9.79,9.7
"FW08AZ155","1",534761,-67.13,-8.61,1.79
"FW08AZ171","1",534751,-71.13,-9.54,5.22
"FW08AZ194","1",542731,-51.58,-7.22,6.2
"FW08AZ260","1",551481,-69.03,-8.92,2.34
"FW08CA001","2",525011,-69.3,-9.79,9
"FW08CA001","2",522571,-69.21,-10.17,12.19
"FW08CA001","1",521311,-71.2,-10.56,13.32
"FW08CA002","1",535741,-37.92,-5.46,5.75
"FW08CA004","1",522551,-73.42,-9.56,3.03
"FW08CA004","2",522531,-75.89,-10.15,5.3
"FW08CA004","2",521301,-75.8,-10.17,5.54
"FW08CA005","1",547081,-72.19,-10.16,9.08
"FW08CA006","1",531061,-98.28,-13,5.7
"FW08CA007","1",521261,-42,-6.24,7.95
"FW08CA008","1",540691,-74.69,-10.66,10.6
"FW08CA009","1",547071,-102.14,-14.24,11.76
"FW08CA010","1",522301,-98.36,-13.63,10.7
"FW08CA011","1",524021,-126.32,-16.72,7.43
"FW08CA012","1",521271,-56.41,-8.24,9.55
"FW08CA013","1",527861,-44.48,-6.83,10.19
"FW08CA015","1",521321,-48.27,-7.78,13.95
"FW08CA016","1",521281,-47.73,-6.97,8.06
"FW08CA017","1",524141,-66.43,-8.68,3.03
"FW08CA020","1",546061,-82.88,-10.57,1.66
"FW08CA020","2",532451,-85.84,-11.02,2.31
"FW08CA020","1",547431,-83.09,-10.9,4.13
"FW08CA022","1",546591,-51.59,-7.28,6.69
"FW08CA031","1",548891,-52.12,-7.08,4.54
"FW08CA031","2",532721,-56.54,-7.86,6.35
"FW08CA031","1",549061,-53.33,-7.72,8.46
"FW08CA035","1",527071,-76.13,-10.36,6.77
"FW08CA036","1",547091,-84.78,-12.12,12.17
"FW08CA038","1",547001,-66.48,-8.64,2.65
"FW08CA040","1",526941,-87.35,-11.01,0.7
"FW08CA044","1",529581,-74.21,-6.4,-23.01
"FW08CA046","1",546581,-72.25,-10.21,9.4
"FW08CA054","1",544431,-80.82,-11.37,10.14
"FW08CA056","1",526821,-82,-10.77,4.16
"FW08CA059","1",526991,-83.38,-10.46,0.33
"FW08CA061","1",526981,-80.1,-10.41,3.2
"FW08CA063","1",527021,-48.32,-5.52,-4.17
"FW08CA067","1",526681,-78.2,-10.7,7.36
"FW08CA068","1",529121,-89.97,-11.07,-1.43
"FW08CA075","1",531791,-85.31,-12.18,12.17
"FW08CA097","1",547031,-122.81,-15.94,4.73
"FW08CA102","1",541581,-43.14,-6.67,10.23
"FW08CA116","1",547021,-87.79,-11.97,7.94
"FW08CA132","1",547041,-98.68,-13.43,8.76
"FW08CA139","1",535751,-75.86,-11.18,13.54
"FW08CA145","1",546571,-117.2,-14.9,2.03
"FW08CA155","1",540661,-34.13,-5.08,6.5
"FW08CA168","1",547061,-45.21,-7.52,14.95
"FW08CA170","1",546801,-86.8,-12.26,11.28
"FW08CA199","1",547051,-47.63,-7.34,11.09
"FW08CA207","1",540651,-45.94,-6.85,8.88
"FW08CA222","1",547011,-70.54,-10.35,12.26
"FW08CO001","2",522851,-91.3,-11.55,1.09
"FW08CO001","2",532901,-91.68,-11.85,3.15
"FW08CO001","1",522241,-92.11,-12.37,6.85
"FW08CO003","2",527901,-108.93,-14.61,7.94
"FW08CO003","2",524861,-108.6,-14.63,8.42
"FW08CO003","1",522281,-110.51,-14.87,8.45
"FW08CO004","1",552021,-107.14,-13.81,3.34
"FW08CO006","1",530231,-127.26,-16.96,8.46
"FW08CO007","1",552031,-68.73,-8.43,-1.3
"FW08CO010","1",525001,-108.28,-13.99,3.67
"FW08CO012","1",524991,-108.02,-13.84,2.73
"FW08CO013","1",532941,-53.28,-4,-21.3
"FW08CO014","1",524981,-111.83,-14.52,4.32
"FW08CO015","1",548801,-125.66,-16.94,9.83
"FW08CO017","1",524001,-120.55,-16.27,9.63
"FW08CO019","1",522431,-104.31,-13.53,3.95
"FW08CO020","1",525041,-26.16,-4.86,12.74
"FW08CO021","1",522421,-107.75,-13.7,1.88
"FW08CO023","1",553801,-114.51,-15.84,12.22
"FW08CO025","2",532301,-116.9,-15.45,6.71
"FW08CO025","2",528801,-116.84,-15.5,7.18
"FW08CO025","1",526551,-115.54,-15.39,7.58
"FW08CO027","1",524651,-120,-16.04,8.32
"FW08CO028","1",548821,-87.75,-11.4,3.45
"FW08CO029","1",556091,-99.89,-14.19,13.59
"FW08CO031","1",524131,-107.96,-13.6,0.82
"FW08CO032","1",552171,-87.08,-10.57,-2.51
"FW08CO033","1",555691,-89.86,-11.36,1.04
"FW08CO036","1",552761,-96.42,-11.96,-0.72
"FW08CO037","1",550151,-128.2,-17.27,9.96
"FW08CO038","1",524081,-124.96,-16.65,8.22
"FW08CO046","2",545571,-127.39,-16.9,7.78
"FW08CO046","1",545771,-128.32,-17.14,8.79
"FW08CO046","2",524871,-128.33,-17.2,9.26
"FW08CO047","1",553481,-103.68,-13.24,2.27
"FW08CO049","1",553301,-92.93,-11.66,0.37
"FW08CO050","1",556481,-124.89,-16.77,9.23
"FW08CO053","1",553491,-103.87,-12.17,-6.53
"FW08CO054","1",555501,-104.3,-13.11,0.61
"FW08CO055","1",550831,-111.37,-14.65,5.86
"FW08CO059","1",555861,-126,-16.91,9.24
"FW08CO060","1",548811,-71.6,-8.71,-1.96
"FW08CO062","1",545131,-128.63,-16.9,6.59
"FW08CO066","1",545151,-129.17,-17.53,11.03
"FW08CO072","1",555841,-79.66,-10.2,1.91
"FW08CO073","1",522651,-98.13,-13.61,10.76
"FW08CO076","1",525811,-46.98,-5.07,-6.41
"FW08CO083","1",554001,-98.97,-13.62,10.02
"FW08CO085","1",551401,-105.95,-13.91,5.3
"FW08CO086","1",524341,-108.52,-13.79,1.83
"FW08CO087","1",551411,-113.47,-15.02,6.67
"FW08CO103","1",524941,-118.58,-15.98,9.26
"FW08CO123","1",553171,-120.91,-16.18,8.54
"FW08CO125","1",551421,-102.66,-13.64,6.44
"FW08CO129","1",553581,-102.9,-13.35,3.92
"FW08CO136","1",552041,-58.06,-8.8,12.38
"FW08CO138","1",553311,-129.49,-16.97,6.3
"FW08CO143","1",555831,-131.94,-17.83,10.74
"FW08CO171","1",555801,-129.9,-18.07,14.69
"FW08CT002","2",556511,-42.26,-6.09,6.44
"FW08CT002","2",556171,-42.84,-6.26,7.22
"FW08CT002","1",554031,-46.28,-6.75,7.69
"FW08CT003","1",556581,-41.33,-6.77,12.82
"FW08CT004","1",556541,-40.96,-6.65,12.24
"FW08CT005","1",549621,-50.52,-7.82,12.07
"FW08CT005","2",551861,-46.82,-7.49,13.07
"FW08CT005","1",543931,-50.71,-8.05,13.66
"FW08CT006","1",555211,-43.07,-6.35,7.72
"FW08CT006","1",555181,-43.28,-6.7,10.35
"FW08CT007","1",556841,-59.45,-8.83,11.23
"FW08CT008","1",556061,-39.63,-6.44,11.88
"FW08CT009","1",531831,-42.01,-6.68,11.42
"FW08CT012","1",556781,-61.24,-9.03,10.96
"FW08CT015","1",549641,-52.61,-8.42,14.72
"FW08CT016","2",544281,-46.41,-7.21,11.24
"FW08CT016","1",549631,-50.91,-8.21,14.78
"FW08CT016","2",556791,-46.18,-7.77,15.97
"FW08CT017","1",555191,-44.62,-7,11.37
"FW08CT018","1",555061,-52.13,-7.81,10.38
"FW08CT020","1",527641,-45.36,-6.68,8.09
"FW08CT021","1",556911,-62.66,-9.22,11.12
"FW08CT022","1",555301,-42.72,-6.44,8.83
"FW08CT023","1",556741,-58.32,-8.6,10.45
"FW08CT024","1",555081,-36.64,-5.76,9.41
"FW08CT025","1",556771,-62.48,-9.04,9.88
"FW08CT027","1",556561,-38.1,-6.18,11.3
"FW08CT030","1",555481,-51.51,-7.84,11.24
"FW08CT030","2",556181,-48.47,-7.59,12.29
"FW08CT030","2",556341,-48.76,-7.74,13.13
"FW08CT032","1",545761,-46.41,-7.13,10.61
"FW08DE001","2",522101,-31.85,-4.76,6.21
"FW08DE001","2",532741,-31.79,-4.87,7.16
"FW08DE001","1",521001,-37.71,-6.17,11.63
"FW08DE002","1",525171,-36.74,-6.06,11.75
"FW08DE005","1",529551,-36.73,-6.01,11.38
"FW08DE005","2",529711,-41.13,-6.68,12.34
"FW08DE005","2",527141,-40.94,-6.69,12.59
"FW08DE008","1",521191,-30.7,-5.75,15.27
"FW08DE009","1",541631,-40.57,-6.79,13.77
"FW08DE010","2",529481,-32.12,-5.12,8.86
"FW08DE010","2",529331,-32.22,-5.17,9.14
"FW08DE010","1",525111,-32.18,-5.17,9.15
"FW08DE011","1",547381,-26.84,-4.84,11.86
"FW08DE012","1",551151,-37.94,-6.15,11.26
"FW08DE013","1",521161,-44.34,-6.9,10.82
"FW08DE014","1",529591,-37.47,-6.23,12.35
"FW08DE015","1",522161,-31.52,-5.3,10.85
"FW08DE021","1",521181,-33.94,-5.77,12.18
"FW08DE025","1",542911,-36.22,-6.36,14.69
"FW08DE025","2",522181,-37.83,-6.67,15.52
"FW08DE025","2",542961,-37.21,-6.96,18.47
"FW08DE028","1",547351,-106.56,-13.73,3.31
"FW08DE030","1",543191,-37.91,-6.36,13
"FW08DE034","1",543181,-20.95,-2.63,0.07
"FW08DE040","1",543171,-37.43,-6.36,13.44
"FW08DE043","1",543161,-36.05,-5.58,8.56
"FW08DE044","1",543711,-35.64,-6.14,13.48
"FW08DE046","1",529441,-37.41,-6.45,14.16
"FW08DE049","1",542941,-37.82,-6.53,14.39
"FW08FL002","1",521371,-17.37,-3.1,7.41
"FW08FL005","2",553601,-11.76,-2.03,4.49
"FW08FL005","1",542161,-15.93,-2.9,7.27
"FW08FL005","2",535571,-15.43,-3.19,10.13
"FW08FL005","2",545111,-15.33,-3.25,10.71
"FW08FL006","2",553611,-15.11,-2.87,7.88
"FW08FL006","2",545081,-18.02,-3.32,8.54
"FW08FL006","2",542131,-18.29,-3.36,8.6
"FW08FL006","1",545101,-18.57,-3.62,10.38
"FW08FL007","1",547311,3.03,0.45,-0.59
"FW08FL009","2",553781,-5.53,-1.23,4.33
"FW08FL009","1",550101,-7.76,-1.6,5.01
"FW08FL010","2",553771,-14.98,-2.71,6.68
"FW08FL010","1",542021,-15.24,-2.91,8.01
"FW08FL013","1",524281,-17.01,-3.52,11.16
"FW08FL015","1",547951,-3.15,-0.18,-1.72
"FW08FL015","1",553731,-6.86,-1.53,5.35
"FW08FL016","1",527241,-18.52,-3.31,7.94
"FW08FL017","1",528871,-16.65,-3.23,9.15
"FW08FL018","1",523501,-13.64,-3.09,11.06
"FW08FL021","1",524261,-6.88,-1.57,5.71
"FW08FL023","1",545481,-10.23,-2.06,6.25
"FW08FL025","1",521431,-16.71,-3.03,7.51
"FW08FL026","2",535701,-13.98,-2.72,7.74
"FW08FL026","1",550251,-15.9,-3.24,10.05
"FW08FL029","1",527261,-16.71,-3.2,8.92
"FW08FL031","2",553741,-6.98,-1.81,7.47
"FW08FL031","1",546091,-15.79,-3.21,9.85
"FW08FL032","1",550621,-16.28,-3.05,8.16
"FW08FL033","1",547441,-16.68,-3.27,9.46
"FW08FL048","2",553751,-10.74,-2.21,6.95
"FW08FL048","2",535881,-16.36,-2.99,7.52
"FW08FL048","2",551321,-16.35,-3.03,7.86
"FW08FL048","1",545091,-23.68,-4.12,9.24
"FW08FL064","2",549491,-9.32,-2.4,9.86
"FW08FL064","2",553871,-9.54,-2.46,10.16
"FW08FL064","1",551311,-19.85,-3.83,10.82
"FW08FL064","2",553761,-9.32,-2.59,11.4
"FW08FL075","2",553711,-6.37,-1.9,8.81
"FW08FL075","1",535561,-19.43,-3.76,10.65
"FW08FL081","1",535581,-11.44,-1.82,3.1
"FW08FL083","1",545311,-10.57,-2.21,7.13
"FW08FL091","1",551461,-16.28,-3.41,11
"FW08FL095","1",549321,-16.28,-2.87,6.69
"FW08FL096","1",553451,-19.39,-3.62,9.58
"FW08FL123","1",545641,-13.89,-3,10.13
"FW08FL124","1",553891,-14.94,-3.02,9.19
"FW08GA001","1",521111,-29.34,-5.34,13.37
"FW08GA002","1",554571,-12.21,-2.12,4.76
"FW08GA002","2",543521,-19.36,-3.63,9.66
"FW08GA002","2",556291,-19.87,-3.93,11.59
"FW08GA003","1",521381,-29.14,-5.52,15.06
"FW08GA006","1",542011,-14.03,-2.57,6.52
"FW08GA006","2",553791,-13.35,-2.5,6.64
"FW08GA006","2",535191,-15.28,-3.06,9.17
"FW08GA006","2",547771,-16.19,-3.26,9.87
"FW08GA008","1",545491,-21.72,-3.77,8.47
"FW08GA008","2",545631,-21.64,-3.87,9.31
"FW08GA008","2",553421,-21.68,-3.95,9.94
"FW08GA009","1",553411,-20.27,-3.41,6.99
"FW08GA010","1",547301,-15.45,-2.91,7.8
"FW08GA012","1",550641,-18.63,-2.92,4.75
"FW08GA015","1",522141,-15.06,-2.69,6.44
"FW08GA018","1",528361,-15.6,-2.31,2.85
"FW08GA020","1",553631,-17.84,-3.34,8.86
"FW08GA020","1",542171,-18.9,-3.55,9.5
"FW08GA022","1",542111,-15.13,-2.65,6.06
"FW08GA022","1",553641,-11.11,-2.42,8.26
"FW08GA023","1",528671,-11.93,-1.58,0.74
"FW08GA024","1",550551,-16.63,-2.75,5.4
"FW08GA025","1",545711,-18.04,-3.42,9.34
"FW08GA028","1",545431,-19.46,-2.89,3.65
"FW08GA029","1",545621,-17.98,-3.21,7.72
"FW08GA030","1",550581,-18.08,-3.42,9.3
"FW08GA041","1",543531,-17.38,-2.88,5.66
"FW08GA044","1",552011,-22.07,-3.67,7.3
"FW08GA054","1",557101,-11.14,-2.11,5.76
"FW08GA059","1",554561,-25.56,-4.77,12.63
"FW08GA064","1",554581,-30.59,-5.24,11.36
"FW08GA069","1",556891,-26.73,-4.67,10.64
"FW08GA071","1",556051,-26.98,-5.23,14.88
"FW08GA081","1",553051,-18.09,-3.47,9.7
"FW08GA091","1",556951,-24.97,-4.4,10.19
"FW08GA095","1",552071,-17.32,-2.89,5.77
"FW08GA095","2",555721,-20.32,-3.74,9.58
"FW08GA095","2",543611,-21.04,-4.01,11.03
"FW08GA113","1",556941,-29.28,-5.41,13.97
"FW08GA115","1",556961,-28.4,-4.98,11.42
"FW08GA123","1",557121,-35.16,-5.88,11.9
"FW08GA133","1",542891,-29.32,-5.46,14.38
"FW08GA155","1",553571,-30.67,-5.14,10.42
"FW08IA002","1",530171,-52.65,-8.02,11.51
"FW08IA002","2",531741,-52.23,-8,11.75
"FW08IA002","2",533811,-52.26,-8.18,13.2
"FW08IA003","1",535841,-49.69,-7.42,9.67
"FW08IA004","1",523561,-41.41,-6.16,7.9
"FW08IA004","2",534111,-36.52,-5.57,8.04
"FW08IA004","2",533911,-36.54,-5.58,8.14
"FW08IA005","1",526961,-43.79,-6.48,8.07
"FW08IA006","1",542091,-46.59,-7.29,11.75
"FW08IA008","1",524721,-50.18,-7.49,9.74
"FW08IA009","1",522261,-45.95,-6.61,6.96
"FW08IA010","1",556371,-47.98,-7.17,9.39
"FW08IA011","1",523421,-49.93,-7.28,8.31
"FW08IA013","1",526761,-49.12,-7.57,11.43
"FW08IA014","1",524051,-46.09,-7.01,9.99
"FW08IA015","1",546621,-47.13,-6.65,6.05
"FW08IA016","1",530061,-47.46,-6.95,8.13
"FW08IA017","1",533381,-53.82,-8.17,11.5
"FW08IA019","1",542031,-52.94,-6.99,3.01
"FW08IA019","2",554901,-57.34,-8.33,9.33
"FW08IA019","2",526751,-57.32,-8.45,10.3
"FW08IA021","1",541221,-45.9,-6.68,7.55
"FW08IA022","1",555291,-53.48,-7.23,4.35
"FW08IA023","1",530331,-43.53,-6.6,9.23
"FW08IA024","1",541411,-44.85,-5.99,3.08
"FW08IA027","1",534121,-39.84,-6.07,8.74
"FW08IA028","1",522801,-41.15,-6.36,9.72
"FW08IA029","1",554621,-47.13,-7.26,10.93
"FW08IA031","1",524071,-56.87,-8.21,8.82
"FW08IA034","1",541831,-51.52,-6.8,2.92
"FW08IA035","1",554471,-51.08,-7,4.9
"FW08IA036","1",528781,-45.37,-6.52,6.8
"FW08IA037","1",541521,-49.6,-7.15,7.63
"FW08IA038","1",541551,-50.43,-7.87,12.49
"FW08IA040","1",554491,-47.89,-6.26,2.21
"FW08IA041","1",527841,-49.52,-7.58,11.12
"FW08IA042","1",533921,-51.67,-7.84,11.07
"FW08IA043","1",530131,-44.44,-6.73,9.4
"FW08IA044","1",541891,-134.65,-17.69,6.88
"FW08IA046","1",546711,-51.98,-7.97,11.79
"FW08IA047","1",556591,-48.03,-6.88,7
"FW08IA047","2",555231,-49.53,-7.2,8.09
"FW08IA047","2",533361,-49.76,-7.25,8.25
"FW08IA048","1",523451,-42.42,-6.28,7.83
"FW08IA049","1",541841,-45.2,-6.84,9.49
"FW08IA052","1",530011,-45.12,-6.41,6.19
"FW08IA053","1",541531,-40.42,-5.77,5.75
"FW08IA054","1",533331,-53.77,-8.34,12.92
"FW08IA055","1",533931,-41.6,-6.35,9.19
"FW08IA057","1",541541,-49.12,-7.65,12.05
"FW08IA062","1",546721,-55.24,-8.19,10.28
"FW08IA063","1",535861,-45.54,-7.15,11.65
"FW08IA065","1",546731,-45.64,-6.88,9.43
"FW08IA083","1",535831,-55.87,-8.24,10.06
"FW08ID003","1",528271,-112.48,-15.29,9.85
"FW08ID003","2",522751,-112.63,-15.33,10.05
"FW08ID003","2",522741,-112.9,-15.4,10.3
"FW08ID004","2",524751,-116.29,-15.28,5.93
"FW08ID004","2",525411,-116.17,-15.33,6.5
"FW08ID004","1",523401,-119.83,-16.02,8.36
"FW08ID005","1",522461,-125.89,-16.52,6.27
"FW08ID006","1",528731,-121.35,-16.09,7.34
"FW08ID007","1",524241,-142.27,-18.89,8.87
"FW08ID008","1",522981,-122.01,-15.92,5.38
"FW08ID010","1",549361,-124.4,-16.09,4.32
"FW08ID013","2",554281,-125.24,-16.15,3.96
"FW08ID013","2",554291,-125.65,-16.28,4.57
"FW08ID013","1",550071,-127.1,-16.5,4.94
"FW08ID014","1",549851,-121.01,-16.1,7.83
"FW08ID016","2",554091,-107.39,-12.57,-6.81
"FW08ID016","2",554051,-107.59,-12.6,-6.79
"FW08ID016","1",551271,-112.54,-14.77,5.64
"FW08ID017","1",545181,-135,-17.41,4.28
"FW08ID019","1",546071,-109.2,-13.93,2.25
"FW08ID020","1",550321,-117.86,-15.58,6.79
"FW08ID021","1",554921,-133.4,-17.29,4.94
"FW08ID023","1",545221,-116.58,-15.87,10.34
"FW08ID024","1",523001,-123.94,-16.58,8.72
"FW08ID026","1",545171,-132.5,-17.12,4.49
"FW08ID029","1",550211,-113.68,-14.3,0.68
"FW08ID032","1",550381,-127.44,-16.68,6.02
"FW08ID033","1",540631,-136.08,-17.71,5.6
"FW08ID034","1",525091,-124.93,-16.93,10.55
