"SITE_ID","VISIT_NO","SAMPLE_ID","dD..vsmow.","d18O..vsmow.","d.excess"
"FW08TX025","1",524601,-11.96,-2.66,9.32
"FW08TX028","1",522061,-6.34,0,-6.35
"FW08TX030","1",523791,-12.24,-1.06,-3.75
"FW08TX031","1",532381,-5.35,0.14,-6.47
"FW08TX032","1",524931,-25.8,-4.26,8.27
"FW08TX033","1",534241,-39.74,-5.31,2.72
"FW08TX035","1",522891,0.71,1.36,-10.16
"FW08TX037","1",526021,-7.22,-1.33,3.44
"FW08TX038","1",530381,-14.83,-0.96,-7.12
"FW08TX042","1",526091,-14.86,-1.76,-0.78
"FW08TX043","1",526071,-20.89,-3.54,7.4
"FW08TX045","1",521151,-12.98,-2.9,10.22
"FW08TX046","1",545551,-12.2,0.81,-18.64
"FW08TX047","1",522561,-35.5,-5.1,5.27
"FW08TX050","1",522071,-32.81,-4.19,0.73
"FW08TX052","1",534411,-20.16,-2.77,2.02
"FW08TX053","1",522091,-6.75,-0.95,0.87
"FW08TX055","1",522631,-9.5,-0.95,-1.89
"FW08TX057","1",521401,-7.27,-1.44,4.25
"FW08TX059","1",526161,-7.5,-1.92,7.86
"FW08TX061","1",521591,-8.63,-1.62,4.34
"FW08TX062","1",549211,-67.74,-7.65,-6.52
"FW08TX063","1",526171,-10.23,-1.85,4.58
"FW08TX064","1",549301,-31.99,-4.86,6.9
"FW08TX065","1",534231,-60.39,-7.45,-0.82
"FW08TX066","1",553371,-20.04,-3.04,4.3
"FW08TX067","1",551591,-11.99,-1.47,-0.21
"FW08TX068","1",549821,10.22,3.4,-16.97
"FW08TX088","1",531861,-18.72,-2.46,0.93
"FW08TX104","1",552001,6.65,2.8,-15.79
"FW08TX118","1",549081,-0.82,1.26,-10.91
"FW08TX124","1",548981,-6.08,-0.67,-0.71
"FW08TX156","1",549041,-3.26,0.41,-6.5
"FW08TX165","1",534401,14.36,4.08,-18.31
"FW08TX168","1",545841,8.99,3.1,-15.83
"FW08TX172","1",551581,-1.52,0.54,-5.84
"FW08UT001","1",525531,-111.68,-14.12,1.26
"FW08UT001","2",522331,-116.49,-15.14,4.62
