"SITE_ID","CatAreaSqKm","WsAreaSqKm","CatAreaSqKmRp100","WsAreaSqKmRp100","HydrlCondWs","OMHWs","RdDensWs","RdDensWsRp100","RdDens_WS_PctFull","RdDens_RipBuf100_WS_PctFullRp100","DamDensWs","DamNIDStorWs","DamNrmStorWs","NABD_DensWs","NABD_NIDStorWs","NABD_NrmStorWs","MineDensWs","MineDensWsRp100","AgKffactWs","FertWs","ManureWs","NPDESDensWs","NPDESDensWsRp100","SuperfundDensWs","HUDen2010Ws","HUDen2010WsRp100","PopDen2010Ws","PopDen2010WsRp100","PctOw2008Ws","PctIce2008Ws","PctUrbOp2008Ws","PctUrbLo2008Ws","PctUrbMd2008Ws","PctUrbHi2008Ws","PctDecid2008Ws","PctConif2008Ws","PctMxFst2008Ws","PctShrb2008Ws","PctGrs2008Ws","PctHay2008Ws","PctCrop2008Ws","PctWdWet2008Ws","PctHbWet2008Ws","PctOw2008_WsRp100","PctIce2008_WsRp100","PctUrbOp2008_WsRp100","PctUrbLo2008_WsRp100","PctUrbMd2008_WsRp100","PctUrbHi2008_WsRp100","PctDecid2008_WsRp100","PctConif2008_WsRp100","PctMxFst2008_WsRp100","PctShrb2008_WsRp100","PctGrs2008_WsRp100","PctHay2008_WsRp100","PctCrop2008_WsRp100","PctWdWet2008_WsRp100","PctHbWet2008_WsRp100","PctFrstLoss2008Ws","PctFrstLoss2008WsRp100","PctFrstLoss2009Ws","PctFrstLoss2009WsRp100","PctImp2008Ws","PctImp2008WsRp100","BFIWs","BFI_WS_PctFull","PctNOT_PRINCIPLEWs","PctSANDSTONEWs","PctSEMICONSOL_SANDWs","PctVOLCANICWs","PctSANDSTONE_CARBONATEWs","PctUNCONSOL_SAND_GRAVELWs","PctCARBONATEWs","ClayWs","PctCarbResidWs","PctNonCarbResidWs","PctAlkIntruVolWs","PctSilicicWs","PctExtruVolWs","PctColluvSedWs","PctGlacTilClayWs","PctGlacTilLoamWs","PctGlacTilCrsWs","PctGlacLakeCrsWs","PctGlacLakeFineWs","PctHydricWs","PctEolCrsWs","PctEolFineWs","PctSalLakeWs","PctAlluvCoastWs","PctCoastCrsWs","PctWaterWs","ElevWs","PermWs","KffactWs","Kffact_PT","LSTFRZWs","LSTFRZ_PT","RDHWs","RDH_PT","RHMEANWs","RHMEAN_PT","RunoffWs","WDMAX_PT","WDMIN_PT","WDSUM_PT","PMAXWs","PMINWs","Precip8110Ws","Tmax8110Ws","Tmean8110Ws","Tmin8110Ws","Precip08Ws","Precip09Ws","TMEAN_S_2008Ws","TMEAN_S_2008_PT","TMEAN_S_2009Ws","TMEAN_S_2009_PT","TMEAN_W_2008Ws","TMEAN_W_2008_PT","TMEAN_W_2009Ws","TMEAN_W_2009_PT","TMEAN_PW_2008Ws","TMEAN_PW_2008_PT","TMEAN_PW_2009Ws","TMEAN_PW_2009_PT","TMEAN_SY_2008Ws","TMEAN_SY_2008_PT","TMEAN_SY_2009Ws","TMEAN_SY_2009_PT","PSUMPY_2008Ws","PSUMPY_2008_PT","PSUMPY_2009Ws","PSUMPY_2009_PT","MAST_2008","MAST_2009","MSST_2008","MSST_2009","MWST_2008","MWST_2009"
"FW08AL011",2.4903,2.4903,0.3951,0.3951,0.166870996355981,0,1.57477406818576,1.17227654644419,100,100,0,0,0,0,0,0,0,0,0.0896855800505963,11.9580773400795,45.5901698590531,0,0,0,7.94154832468377,7.94154832469248,17.3843756477412,17.3843756477449,0.180701120346946,0,9.43259848211059,1.51788941091435,1.3371882905674,0.46982291290206,38.7061799783159,0.867365377665341,6.28839898807373,5.92699674737983,1.19262739428984,33.610408384532,0.361402240693892,0.0361402240693892,0.0722804481387784,0,0,7.06150341685649,1.59453302961276,1.59453302961276,0,52.8473804100228,0,11.6173120728929,4.78359908883827,3.87243735763098,16.628701594533,0,0,0,1.0119262739429,4.1002277904328,3.07191904589808,0,2.24069389230213,1.97722095671982,38,100,0,0,0,0,100,0,0,25.8113299602458,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504.610520419227,4.94775569208529,0.239714492229852,24,0,112,0,42.4739990234375,0,68,736,12,7,119,0,0,1424.30425529093,19.63237280618,14.0647705227683,8.49648733418865,1260.54095465486,1519.35700281171,23.6868358959523,23.6835079193115,23.7206173060354,23.7213554382324,4.10334233942898,4.16921091079712,4.13665856270329,4.15710926055908,5.2835439641489,5.30978441238403,4.72285749457897,4.75508308410645,14.0222328894109,14.0252285003662,14.3817224044091,14.3776016235352,922.759726956993,949.162109375,1230.50661451753,1245.01599121094,14.328924779331,14.5143037044781,20.2936752844044,20.2966515125164,5.06060802669183,5.06610398250603
"FW08AL009",1.7082,18.3519,0.2331,3.6243,0.168593055658575,0,1.48587133501702,1.20711200870698,99.9999999999999,100,0,0,0,0,0,0,0,0,0.0004104752096513,0.0198617036928056,0,0,0,0,5.22613004303663,4.50357373719394,13.1811790514786,11.2850812085572,0.220685596586729,0,2.86400863125889,0.57868667549409,0.0392329949487518,0.0294247462115639,21.499681231916,45.7554803589819,11.1519788141827,7.37089892599676,3.69770977391987,0.171644352900789,0,1.10342798293365,0.0441371193173458,0.148994288552272,0,1.1671219269928,0.148994288552272,0,0,38.2666997765086,32.3317606158431,13.2853240625776,7.74770300471815,3.10404767817234,0,0,3.79935435808294,0,1.28978470894022,1.5147752669481,2.24608896081605,2.28457909113484,0.385856505320975,0.105785944872113,34.8531705164043,99.9999999999999,0,0,0,0,100,0,0,25.78,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.268788681281,4.08,0.31,31,0,86,0,40.3600006103516,0,69,664,10,5,100,0,0,1436.05044472414,23.6769268402128,17.2423929875043,0.99853621898877,1394.36473772007,2098.67875111814,26.8129553856535,26.8502216339111,25.8946121336099,25.9077396392822,7.73831452566524,7.7257776260376,7.9690071674631,7.93667364120483,8.69426197131235,8.6728048324585,8.56473660245795,8.52984714508057,17.4526088445711,17.4606475830078,17.2222207842872,17.2251777648926,1075.13808202109,1088.79650878906,1488.49380474758,1483.08837890625,16.1958185487873,16.1571417070431,22.8070110239562,22.4451756756711,7.96188159840642,8.0842192491137
"FW08AL004",0.0018,10.2771,0.0018,1.53,0.103638350650754,0,1.01989434509113,0.859918255530382,100,100,0,0,0,0,0,0,0,0,0.0885524126455906,6.4335756195814,32.7540064804274,0,0,0,11.1445099654858,11.1042149414605,26.3135632945706,26.2097068508834,0.455381381907347,0,4.45748314213153,0.569226727384184,0.148874682546633,0,52.5352482704265,5.92871529906297,3.67808039232858,4.62387249321307,0.849461423942552,25.0897626762414,0,1.66389351081531,0,1.47058823529412,0,3.29411764705882,0.294117647058823,0.117647058823529,0,47.9411764705882,5.82352941176471,5.17647058823529,1.58823529411765,0.705882352941176,24.5294117647059,0,9.05882352941176,0,0.0350293370697959,0,0.0875733426744898,0.0588235294117647,0.541728697784394,0.405294117647059,39.5940099833611,100,0,0,0,0,100,0,0,31.491165601191,67.4139591908223,32.5860408091777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.627384184254,4.71648305455819,0.304720203170155,34,0,98,0,57.7999992370605,0,69,639,9,5,92,0,0,1423.5419094012,22.116499393593,15.9592761320318,-0.294410714639933,1483.13873622943,1955.35602891374,25.7386630117403,25.9465923309326,24.7760944899592,24.9760360717773,5.6090986855452,5.77832365036011,5.96213063004462,6.18643188476562,6.7786372764159,6.94623041152954,6.55285495625355,6.76142406463623,15.8713369800521,16.0311222076416,15.7464727975756,15.8852024078369,1070.90063263778,1042.13269042969,1628.54028533114,1612.173828125,14.9509302962363,14.9327593908348,21.6965706368439,21.2618687606434,6.65603945651792,7.28711136752098
"FW08AL002",2.0916,19.7901,0.2448,3.7404,0.178883120432534,0,7.95551092179728,8.36920647308491,100,90.3994225216669,0.101060631325764,29855.1760728849,26177.8161808177,0.101060631325764,29855.1760728849,26177.8161808177,0,0,0.0026854336259038,0.157578789394697,0,0.0505303156628819,0.267351085445407,0,273.263597999363,309.101573402262,635.416635496385,698.540706561357,0.454772840965937,0,38.7284551366592,26.581472554459,7.87211787712038,1.91914138887626,10.6416844786029,3.16067124471326,7.73113829642094,0.568466051207422,0.459320569375597,1.80999590704443,0,0,0,0.409047160731473,0,36.8383060635226,20.0914340712223,9.11934552454283,1.63618864292589,16.939364773821,2.14148219441771,11.4292589027911,0.360923965351299,0.336862367661213,0.577478344562079,0,0,0,0.0045477284096593,0,0.0090954568193187,0,17.870071399336,15.9239653512993,34.3593160216472,100,0,0,0,0,100,0,0,26.8725189867661,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.220977761608,3.97810041384328,0.284959297830733,29,0,92,0,51.5999984741211,0,69,572,10,5,99,0,0,1437.46028004548,22.7408943628254,17.2187001845605,1.5063788887421,1412.42734598527,1963.33505952931,27.1092240294065,26.866828918457,25.9720944298898,25.8520660400391,8.3056104924081,8.00149917602539,8.3401611831348,8.10343456268311,9.26611447388835,8.95854949951172,8.90555907208728,8.67643260955811,17.797596132331,17.5479145050049,17.3757456618578,17.2072334289551,1030.17201349959,999.114929199219,1468.47335324842,1438.03015136719,16.167380874729,16.1242899362027,22.4420715341205,22.1661147917374,8.07196023883357,8.07354519216442
"FW08AL008",1.7676,10.9251,0.315,1.7928,0.0219966676507125,0,1.80626613540654,1.97054335445281,100,100,0,0,0,0,0,0,0,0,0.0112398055853035,1.61430101326304,2.07051651701129,0,0,0,42.6068739579043,42.9865124542169,87.7687769616113,87.9886235812751,0.140044484718675,0,6.74684899909383,0.832028997446248,0.057665376060631,0,67.8968613559601,11.4836477469314,5.24754922151742,4.25076200675509,1.3015899167971,2.03476398385369,0,0.0082379108658044,0,0.451807228915663,0,7.98192771084338,1.15461847389558,0.100401606425703,0,53.9156626506024,15.4116465863454,8.8855421686747,6.42570281124498,1.10441767068273,4.51807228915663,0,0.0502008032128514,0,0.0906170195238487,0.0502008032128514,0,0,0.557541807397644,0.838855421686747,47.3005189883846,100,0,0,0,0,100,0,0,33.9934170854271,57.3935250020595,42.6064749979405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.635751709367,6.00442211055276,0.286436279759453,37,0,97,0,52.4970970153809,0,68,639,10,6,101,0,0,1350.91791829228,21.6822529060713,15.4705757365846,0.617680891844468,1360.34859419969,1767.49020524343,24.9333565706648,25.2717437744141,24.2227289776505,24.5462093353271,5.75841718717604,5.88515281677246,5.84885631624434,6.01961898803711,6.92338115382651,7.03914165496826,6.55969091729961,6.71356964111328,15.4119126470385,15.6767692565918,15.3341961952632,15.5731840133667,1035.81642441634,985.780578613281,1408.27586174067,1376.14660644531,14.5688298861557,14.5464012162587,20.7265169546816,20.3718469905654,6.33034815775009,6.58637869219928
"FW08AL007",0.8883,0.8883,0.2457,0.2457,3.58418642989868,0,2.24589771854103,1.75730814230769,100,100,0,0,0,0,0,0,0,0,0.112208713272543,9.42553191489362,17.0557244174265,0,0,0,2.88506783013171,2.36090373157509,5.45077385317123,4.48605810945055,0,0,3.3434650455927,1.51975683890578,0,0,41.6413373860182,1.62107396149949,4.25531914893617,0.506585612968592,0.810536980749747,46.3019250253293,0,0,0,0,0,2.93040293040293,1.83150183150183,0,0,66.6666666666667,0,12.4542124542125,0.366300366300366,1.46520146520147,14.2857142857143,0,0,0,0.405268490374873,0,0,0,0.70516717325228,0.783882783882784,37.9604863221885,100,0,100,0,0,0,0,0,22.5014285714286,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.46905775076,6.28227963525836,0.25,25,0,98,0,56.7999992370605,0,69,623.191489361702,10,6,103,0,0,1502.51685399189,22.1604588111449,15.8410153422492,9.51739383879432,1564.70349121581,2192.47607421479,25.8094711303951,25.8094711303711,24.6392307281662,24.6392307281494,4.76040363312057,4.76040363311768,5.30885553359676,5.30885553359985,6.1146750450152,6.11467504501343,5.69633388519757,5.69633388519287,15.3159084320162,15.3159084320068,15.375027656535,15.3750276565552,1301.4803466768,1301.48034667969,1707.35412597771,1707.35412597656,14.7671996886214,14.7743439750807,22.219040710153,21.5484392490654,6.22820838767283,6.3254164589859
"FW08AL003",3.3381,5.4099,0.3771,0.8253,0.920307490777907,0,0.879740594746299,0.912369983472192,100,100,0,0,0,0,0,0,0,0,0.0087689236399933,2.46032274164033,0,0,0,0,1.6446446538363,1.62077070934569,2.62518054719847,2.55399943740458,2.49542505406754,0,2.07952087838962,0.532357344867742,0.0166361670271169,0,5.95574779570787,36.266844119115,17.3182498752287,19.9800365995675,4.97421394110797,2.92796539677258,2.37897188487772,5.07403094327067,0,13.5223555070883,0,0.218102508178844,0,0,0,5.77971646673937,15.8124318429662,20.3925845147219,26.8266085059978,1.19956379498364,0,0,16.2486368593239,0,0.648810514057561,0.54525627044711,0.615538180003327,0.436205016357688,0.326401597072035,0.0021810250817884,38.850274496756,100,0,0,100,0,0,0,0,26.4576110464149,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.533217434703,6.19194643154217,0.21,21,0,79,0,60,0,70,568.952586923973,11,4,88,0,0,1462.86813345866,24.2809950511729,18.2848962102645,8.73666340808518,1513.29042943936,2257.52388065713,26.0911984457162,26.1407222747803,25.6274831032773,25.6761608123779,8.54673765471635,8.54392147064209,9.05096277035435,9.07263469696045,9.40773524423557,9.41734027862549,9.70110937403094,9.69954872131348,17.7431771340709,17.7166557312012,17.6730933715355,17.6767387390137,1239.19145565796,1258.35656738281,1663.3478669639,1632.6572265625,17.3417913094727,17.3153204610584,22.704780811508,22.6536019765215,8.00377910949288,8.59109921240677
"FW08AL006",0.2034,26.1252,0.0711,6.0084,0.259737657439755,0,1.0268817357874,0.94167704870349,100,100,0,0,0,0,0,0,0,0,0.0208447016673556,1.36792062835883,0,0,0,0,1.45510653481008,1.45510653480827,2.1570755114888,2.15707551149011,0.0688989940746865,0,2.56648752928207,0.182582334297919,0.0034449497037343,0,27.9971062422489,39.5032382527215,7.29295852280557,9.6148546231225,1.79137384594185,8.57792476229847,0,2.14275871572275,0.248036378668871,0.0599161174355901,0,1.79748352306771,0.134811264230078,0.0149790293588975,0,38.5560215698023,23.6668663870581,7.81905332534452,4.56860395446375,1.57279808268424,12.567405632115,0,8.68783702816058,0.554224086279209,0.427173763263056,0.029958058717795,1.35731018327132,0.539245056920312,0.168630287997795,0.133313361294188,44.7235083367783,100,0,0,0,100,0,0,0,31.0153968582059,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.633690574618,6.62721441366956,0.272127256442056,28,0,94,0,53.2000007629395,0,69,577,10,5,98,0,0,1364.66218918909,23.3742494600031,16.9067059445708,0.111546552899166,1392.0663114394,2078.63545568465,25.9709058138514,25.9929943084717,25.2705390199983,25.3236236572266,7.44649875532245,7.44290065765381,7.68338306539686,7.69401550292969,8.39802325391588,8.3846960067749,8.3349539379723,8.34392261505127,16.8880159489066,16.9031143188477,16.7322361188463,16.7600498199463,999.055612009542,1022.28076171875,1452.34553479675,1422.56115722656,15.5877525675431,15.3890137068144,22.0011100044673,21.754578289318,7.9292773193049,8.0050005533889
"FW08AL001",1.0008,1.0008,0.2682,0.2682,0.135557994246403,0,0.531465336090827,0.735931187067114,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4466740690647,16.4466740690604,40.2158956035072,40.2158956033557,0,0,0.179856115107914,0,0,0,16.5467625899281,71.2230215827338,9.35251798561151,0.26978417266187,2.42805755395683,0,0,0,0,0,0,0,0,0,0,31.5436241610738,54.6979865771812,13.758389261745,0,0,0,0,0,0,1.07913669064748,0,0.449640287769784,0,0.0071942446043165,0,34,100,0,0,0,0,100,0,0,25.78,3.59712230215827,96.4028776978417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.949460431655,4.08,0.31,31,0,89,0,40.3600006103516,0,69,572,9,5,90,0,0,1419.16640774281,23.5184324010791,17.2405901692446,10.9575251958633,1394.92774315647,2028.78169261691,26.8512663395683,26.8494396209717,25.921490003777,25.9178886413574,7.5963294746223,7.5985426902771,7.88086420511691,7.88702535629272,8.62438064341727,8.62867641448975,8.45236818053058,8.45654678344727,17.4153981928957,17.4176235198975,17.1634743231115,17.1652183532715,946.621811681655,945.064392089844,1511.60200379496,1515.85046386719,15.8824925993982,15.8287750190667,21.9116888434778,21.3304571758981,7.58648548094957,7.64553345361479
"FW08AL012",0.3051,4785.6267,0.0107999999999999,967.8258,5.48599180514327,0,1.71342978911347,1.74443065162277,100,98.4169051910043,0.0056418942998625,28192.861210842,21241.172087242,0.0045970990591472,184804.460406408,105072.547727135,0.0014627133370014,0,0.139021612780621,14.2434255475882,4.66809074347567,0.0010447952407152,0.0030997313772788,0.000208959048143,11.1999901199941,10.1526225548547,24.3477657360304,21.9634148236284,1.37912344897273,0,5.02241430573764,1.57448344226264,0.545589985111041,0.179807171336619,39.2228629115597,2.15257073854089,3.55151604282047,1.25770988363969,1.85862804551805,33.3653354115564,8.70736114874986,1.01601113183358,0.110957254563963,0.721152504923923,0,6.78664486935562,1.50907322371443,0.48467399815132,0.136419177914042,32.9906580295752,1.72974310046291,4.61342320074542,1.05452861455026,1.66771747560356,38.1263239727645,7.60506694489856,2.29522709561989,0.215090360269379,0.212436126704158,0.171384147849747,0.0807167011167001,0.0614676732114394,1.30045080616087,1.26752200654291,34.7460352057966,100,59.3008226069952,3.23355768639455,0,0,15.377302621619,0,22.0883170849912,34.0698482457496,88.3217677634572,3.42218501915329,0,0,0,3.4931224368169,0,0,0,0,0,0,0,0,0,2.3752186939278,0,2.38770608664483,288.462035247547,5.07562803050118,0.327853411550048,35,0,99,0,60,0,71,665.636338162356,10,6,104,0,0,1449.0340765914,20.9781888498597,14.7502527436797,-1.70289051958025,1350.5772874648,1545.77087261506,24.5551119529614,25.368091583252,23.7249518790617,24.4066524505615,4.02121577731913,4.58121585845947,4.05315788179139,4.94689702987671,5.3073917867855,5.8392162322998,4.38800136194275,5.26664352416992,14.3804179363585,15.0974712371826,14.4827423940562,15.1465930938721,1016.73932606684,999.051208496094,1294.18896129116,1337.01953125,15.4191397309668,15.4457110229157,24.7114400922996,24.3924352581603,5.3290169963131,6.38812788643367
