"UNIQUE_ID","DATE_COL","phdi_month","phdi_mean"
"NRS_LA-10082",2008-07-14,-2.19,0.775833333333333
"NRS_LA-10097",2008-07-18,-2.09,-0.0366666666666667
"NRS_LA-10098",2008-08-05,-1.21,-0.43
"NRS_LA-10100",2008-08-01,-1.61,-0.0366666666666667
"NRS_LA-10101",2008-08-02,-1.61,-0.0366666666666667
"NRS_LA-10104",2008-10-28,1.45,-0.468333333333333
"NRS_LA-10105",2008-07-19,-1.63,-0.06
"NRS_LA-10112",2008-08-18,1.77,0.775833333333333
"NRS_LA-10119",2008-11-10,0.61,-0.0375
"NRS_LA-10120",2008-10-27,1.45,-0.468333333333333
"NRS_LA-10130",2008-11-03,0.61,-0.0375
"NRS_LA-10131",2008-10-21,1.45,-0.468333333333333
"NRS_LA-10132",2008-12-02,-1.29,-0.0375
"NRS_LA-10140",2008-09-08,2.48,-0.0366666666666667
"NRS_LA-10144",2008-09-09,2.48,-0.0366666666666667
"NRS_LA-10148",2008-09-17,2.48,-0.0366666666666667
"NRS_LA-10150",2008-09-16,2.48,-0.0366666666666667
"NRS_LA-10152",2008-09-29,5.39,0.775833333333333
"NRS_LA-10161",2008-11-05,0.61,-0.0375
"NRS_LA-10163",2008-11-19,0.61,-0.0375
"NRS_LA-10168",2008-11-12,0.61,-0.0375
"NRS_LA-10169",2008-09-15,2.48,-0.0366666666666667
"NRS_LA-10179",2008-11-11,0.61,-0.0375
"NRS_LA-10183",2008-10-20,1.45,-0.468333333333333
"NRS_LA-10184",2008-11-18,0.61,-0.0375
"NRS_LA-10185",2008-11-04,0.61,-0.0375
"NRS_LA-10186",2008-12-03,-1.29,-0.0375
"NRS_LA-10187",2008-10-22,0.63,-0.750833333333333
"NRS_LA-10188",2008-10-29,1.45,-0.468333333333333
"NRS_MA-10047",2008-07-11,3.1,2.7
"NRS_MA-10047",2008-10-16,3.77,2.7
"NRS_MA-10053",2008-08-06,1.21,1.46083333333333
"NRS_MA-10054",2008-07-23,1.36,1.46083333333333
"NRS_MA-10060",2008-07-17,3.1,2.7
"NRS_MA-10064",2008-07-15,3.1,2.7
"NRS_MA-10065",2008-08-08,1.21,1.46083333333333
"NRS_MD-10013",2008-07-22,-0.75,-2.43166666666667
"NRS_MD-10013",2008-08-04,-1.37,-2.43166666666667
"NRS_MD-10017",2008-07-21,2.41,0.158333333333333
"NRS_MD-10014",2008-06-26,1.31,-0.136666666666667
"NRS_MD-10011",2008-06-25,1.18,-0.446666666666667
"NRS_MD-10008",2008-07-09,-1.25,-2.10166666666667
"NRS_MD-10019",2008-07-01,2.9,1.91583333333333
"NRS_MD-10024",2008-07-16,1.17,-0.446666666666667
"NRS_MD-10026",2008-07-23,-0.75,-2.43166666666667
"NRS_MD-10030",2008-07-24,-0.75,-2.43166666666667
"NRS_MD-10032",2008-07-14,1.51,-0.136666666666667
"NRS_MD-10036",2008-07-08,1.17,-0.446666666666667
"NRS_ME-10246",2008-08-19,4.94,4.42
"NRS_ME-10246",2008-09-09,4.98,4.42
"NRS_ME-10240",2008-08-27,4.94,4.42
"NRS_ME-10240",2008-09-10,4.98,4.42
"NRS_ME-10262",2008-09-20,4.77,3.17833333333333
"NRS_ME-10254",2008-09-16,4.98,4.42
"NRS_ME-10251",2008-08-22,3.11,3.00833333333333
"NRS_ME-10251",2008-09-08,4.36,3.00833333333333
"NRS_ME-10247",2008-08-28,4.94,4.42
"NRS_ME-10245",2008-09-03,4.98,4.42
"NRS_ME-10243",2008-08-20,4.94,4.42
"NRS_ME-10244",2008-08-29,4.94,4.42
"NRS_ME-10239",2008-08-25,4.94,4.42
"NRS_ME-10256",2008-09-02,4.36,3.00833333333333
"NRS_ME-10277",2008-09-18,4.36,3.00833333333333
"NRS_MI-10063",2008-10-16,2.73,2.10833333333333
"NRS_MI-10064",2008-08-14,1.48,2.7
"NRS_MI-10067",2008-07-17,1.8,0.974166666666667
"NRS_MI-10068",2008-09-14,1.88,0.531666666666667
"NRS_MI-10070",2008-09-09,3.98,2.7
"NRS_MI-10072",2008-09-15,1.88,0.531666666666667
"NRS_MI-10073",2008-07-24,-1.01,-2.13
"NRS_MI-10074",2008-07-22,1.69,-0.313333333333333
"NRS_MI-10076",2008-07-20,2.12,-0.0316666666666666
"NRS_MI-10083",2008-09-16,1.88,0.974166666666667
"NRS_MI-10084",2008-09-09,3.98,2.7
"NRS_MN-10089",2008-10-02,1.05,2.10166666666667
"NRS_MO-10018",2008-07-15,3.8,2.83083333333333
"NRS_MO-10025",2008-07-08,3.92,2.92833333333333
"NRS_MO-10024",2008-07-23,3.85,2.72916666666667
"NRS_MO-10027",2008-07-11,3.85,2.72916666666667
"NRS_MO-10032",2008-07-09,3.92,2.92833333333333
"NRS_MO-10055",2008-07-14,3.92,2.92833333333333
"NRS_MO-10062",2008-07-09,5.02,3.8875
"NRS_MO-10074",2008-09-30,1.29,1.18
"NRS_MO-10075",2008-07-16,1.9,1.18
"NRS_MO-10076",2008-10-02,1,1.18
"NRS_MO-10077",2008-07-17,1.9,1.18
"NRS_MS-10023",2008-10-01,3.96,0.2975
"NRS_MS-10031",2008-09-10,4.62,0.2975
"NRS_MS-10036",2008-08-12,1.28,0.00333333333333336
"NRS_MS-10087",2008-09-30,4.62,0.2975
"NRS_MS-10100",2008-08-10,1.28,0.00333333333333336
"NRS_MS-10111",2008-07-31,-1.78,0.268333333333333
"NRS_MS-10119",2008-08-24,1.28,0.00333333333333336
"NRS_MS-10120",2008-08-26,1.28,0.00333333333333336
"NRS_MS-10121",2008-07-29,-1.13,0.00333333333333336
"NRS_MS-10122",2008-08-14,1.28,0.00333333333333336
"NRS_MS-10123",2008-08-27,0.94,-0.3275
"NRS_MS-10124",2008-08-11,1.28,0.00333333333333336
"NRS_MS-10125",2008-07-27,-1.78,0.268333333333333
"NRS_MT-10021",2008-07-16,-0.83,-1.15833333333333
"NRS_MT-10021",2008-08-19,-0.98,-1.15833333333333
"NRS_MT-10145",2008-07-29,1.18,0.218333333333333
"NRS_MT-10145",2008-09-23,0.99,0.218333333333333
"NRS_MT-10141",2008-07-17,-1.35,-1.96833333333333
"NRS_MT-10017",2008-09-09,0.46,-0.945
"NRS_MT-10117",2008-09-29,0.46,-0.945
"NRS_MT-10083",2008-07-23,-0.83,-1.15833333333333
"NRS_MT-10156",2008-09-25,0.99,0.218333333333333
"NRS_MT-10201",2008-07-01,-0.83,-1.15833333333333
"NRS_ND-10152",2008-08-20,-1.89,-0.6125
"NRS_ND-10138",2008-09-11,-1.3,-1.16833333333333
"NRS_ND-10006",2008-09-06,2.29,1.74583333333333
"NRS_ND-10008",2008-07-30,-1.25,-0.6125
"NRS_ND-10008",2008-09-03,-1.47,-0.6125
"NRS_ND-10014",2008-08-06,-4.44,-3.06833333333333
"NRS_ND-10014",2008-09-29,-4.34,-3.06833333333333
"NRS_ND-10005",2008-09-18,1.46,1.16833333333333
"NRS_ND-10056",2008-07-21,-3.87,-2.99916666666667
"NRS_ND-10007",2008-08-19,-1.89,-0.6125
"NRS_ND-10150",2008-07-31,-3.92,-3.06833333333333
"NRS_ND-10143",2008-07-09,-3.87,-2.99916666666667
"NRS_ND-10035",2008-07-17,-3.87,-2.99916666666667
"NRS_ND-10120",2008-07-22,-3.87,-2.99916666666667
"NRS_ND-10261",2008-08-13,-4.27,-2.99916666666667
"NRS_ND-10271",2008-06-23,-1.22,-0.6125
"NRS_ND-10274",2008-09-17,1.46,1.16833333333333
"NRS_ND-10278",2008-09-16,1.46,1.16833333333333
"NRS_ND-10279",2008-07-07,-1.25,-0.6125
"NRS_ND-10283",2008-06-26,-1.22,-0.6125
"NRS_ND-10291",2008-07-29,-1.25,-0.6125
"NRS_ND-10294",2008-09-14,2.29,1.74583333333333
"NRS_ND-10295",2008-06-17,-1.22,-0.6125
"NRS_ND-10296",2008-08-07,-4.44,-3.06833333333333
"NRS_ND-10299",2008-08-21,-1.89,-0.6125
"NRS_ND-10300",2008-09-10,-3.86,-2.99916666666667
"NRS_ND-10302",2008-09-13,2.29,1.74583333333333
"NRS_ND-10318",2008-10-01,3.66,1.74583333333333
"NRS_NE-10009",2008-08-11,-2.38,-2.41
"NRS_NE-10020",2008-08-19,3.26,2.95333333333333
"NRS_NE-10024",2008-08-22,4.6,4.39833333333333
"NRS_NE-10027",2008-07-22,-3.05,-2.41
"NRS_NE-10036",2008-08-12,-2.38,-2.41
"NRS_NE-10055",2008-08-13,3.24,2.94416666666667
"NRS_NH-10077",2008-07-10,3.97,4.28583333333333
"NRS_NH-10079",2008-09-03,5.85,4.28583333333333
"NRS_NH-10080",2008-07-14,3.97,4.28583333333333
"NRS_NH-10081",2008-08-07,4.72,4.28583333333333
"NRS_NH-10083",2008-08-21,5.85,4.4825
"NRS_NJ-10008",2008-07-19,0.75,0.966666666666667
"NRS_NJ-10008",2008-10-11,0.87,0.966666666666667
"NRS_NJ-10015",2008-08-13,-1.44,0.966666666666667
"NRS_NJ-10016",2008-07-08,-0.53,0.0116666666666667
"NRS_NJ-10025",2008-07-25,0.75,0.966666666666667
"NRS_NJ-10026",2008-07-27,0.75,0.966666666666667
"NRS_NM-10037",2008-08-05,1.33,0.984166666666667
"NRS_NM-10037",2008-09-17,0.56,0.984166666666667
"NRS_NM-10046",2008-07-25,1.12,0.984166666666667
"NRS_NM-10046",2008-09-19,0.56,0.984166666666667
"NRS_NM-10029",2008-07-23,1.12,0.984166666666667
"NRS_NM-10062",2008-07-31,-2.15,-1.83416666666667
"NRS_NM-10067",2008-07-29,-1.7,-1.54916666666667
"NRS_NM-10074",2008-08-02,-1.37,-1.54916666666667
"NRS_NM-10102",2008-08-04,-0.61,0.179166666666667
"NRS_NV-10003",2008-06-16,-3.47,-3.68833333333333
"NRS_NV-10003",2008-08-05,-4.17,-3.68833333333333
"NRS_NV-10117",2008-07-09,-3.84,-3.68833333333333
"NRS_NV-10117",2008-08-07,-4.17,-3.68833333333333
"NRS_NV-10076",2008-06-12,-3.47,-3.68833333333333
"NRS_NV-10163",2008-06-24,-3.47,-3.68833333333333
"NRS_NV-10014",2008-07-15,-3.84,-3.68833333333333
"NRS_NV-10070",2008-06-10,-2.68,-2.82333333333333
"NRS_NV-10174",2008-06-25,-3.47,-3.68833333333333
"NRS_NV-10056",2008-06-25,-3.47,-3.68833333333333
"NRS_NV-10120",2008-06-03,-3.47,-3.64166666666667
"NRS_NV-10281",2008-06-27,-3.47,-3.68833333333333
"NRS_NV-10285",2008-07-22,-3.84,-3.68833333333333
"NRS_NV-10285",2008-08-11,-4.17,-3.68833333333333
"NRS_NV-10288",2008-06-04,-3.47,-3.64166666666667
"NRS_NV-10292",2008-06-05,-3.47,-3.64166666666667
"NRS_NV-10294",2008-06-17,-3.47,-3.64166666666667
"NRS_NV-10298",2008-06-10,-2.22,-2.31166666666667
"NRS_NV-10299",2008-06-11,-2.68,-2.82333333333333
"NRS_NV-10300",2008-07-24,-3.73,-3.64166666666667
"NRS_NV-10301",2008-06-17,-3.47,-3.68833333333333
"NRS_NV-10304",2008-06-03,-3.47,-3.64166666666667
"NRS_NV-10305",2008-06-05,-3.47,-3.64166666666667
"NRS_NV-10307",2008-07-08,-3.84,-3.68833333333333
"NRS_NV-10315",2008-07-31,-2.74,-2.82333333333333
"NRS_NV-10316",2008-07-22,-3.73,-3.64166666666667
"NRS_NV-10317",2008-07-23,-3.84,-3.68833333333333
"NRS_NV-10319",2008-06-24,-3.47,-3.68833333333333
"NRS_NV-10320",2008-07-08,-3.73,-3.64166666666667
"NRS_NV-10322",2008-07-01,-3.73,-3.64166666666667
"NRS_NV-10323",2008-07-16,-3.84,-3.68833333333333
"NRS_NV-10324",2008-07-24,-3.73,-3.64166666666667
"NRS_NV-10329",2008-07-10,-3.84,-3.68833333333333
"NRS_NV-10331",2008-07-17,-2.74,-2.82333333333333
"NRS_NV-10332",2008-07-28,-3.73,-3.64166666666667
"NRS_NY-10025",2008-09-03,1.78,2.16416666666667
"NRS_NY-10025",2008-10-08,2.42,2.16416666666667
"NRS_NY-10008",2008-08-07,2.46,2.93166666666667
"NRS_NY-10012",2008-08-30,4.73,3.98916666666667
"NRS_NY-10017",2008-08-01,2.79,2.91416666666667
"NRS_NY-10009",2008-08-31,3.17,2.31333333333333
"NRS_NY-10031",2008-08-03,2.46,2.93166666666667
"NRS_NY-10028",2008-07-29,2.94,2.91416666666667
"NRS_NY-10071",2008-10-06,2.99,1.91583333333333
"NRS_OH-10011",2008-09-08,1.13,1.39416666666667
"NRS_OH-10012",2008-06-25,3.13,0.7225
"NRS_OH-10009",2008-06-18,3.13,0.7225
"NRS_OH-10020",2008-09-10,3.23,3.6775
"NRS_OH-10054",2008-06-23,3.49,0.82
"NRS_OH-10055",2008-08-05,1.46,0.7225
"NRS_OH-10056",2008-07-11,3.12,2.54
"NRS_OH-10058",2008-07-30,3.64,2.345
"NRS_OH-10061",2008-09-09,3.23,3.6775
"NRS_OK-10024",2008-07-08,4.23,3.845
"NRS_OK-10024",2008-09-09,4.09,3.845
"NRS_OK-10040",2008-07-07,4.23,3.845
"NRS_OK-10037",2008-06-16,-2.52,-0.598333333333333
"NRS_OK-10022",2008-07-15,1.12,1.88916666666667
"NRS_OK-10022",2008-09-03,1.73,1.88916666666667
"NRS_OK-10031",2008-09-30,3.78,2.68916666666667
"NRS_OK-10016",2008-08-18,4.84,3.845
"NRS_OK-10074",2008-09-22,1.73,1.88916666666667
"NRS_OR-10205",2008-09-14,-2.14,-1.5825
"NRS_OR-10133",2008-07-22,0.71,0.193333333333333
"NRS_OR-10359",2008-07-23,-1.35,-1.72833333333333
"NRS_OR-10202",2008-07-21,0.74,-0.423333333333333
"NRS_OR-10312",2008-09-15,-1.44,-0.866666666666667
"NRS_OR-10138",2008-07-17,0.74,-0.423333333333333
"NRS_OR-10306",2008-07-09,-1.87,-1.5825
"NRS_OR-10499",2008-07-08,-1.87,-1.5825
"NRS_OR-10508",2008-08-13,-0.82,-0.866666666666667
"NRS_OR-10515",2008-09-29,-1.44,-0.866666666666667
"NRS_OR-10518",2008-08-20,-1.45,-1.5825
"NRS_OR-10522",2008-08-05,-0.82,-0.866666666666667
"NRS_OR-10522",2008-09-16,-1.44,-0.866666666666667
"NRS_OR-10523",2008-08-02,-1.53,-1.15333333333333
"NRS_OR-10524",2008-08-14,-0.82,-0.866666666666667
"NRS_PA-10022",2008-08-18,2.12,2.36083333333333
"NRS_PA-10022",2008-09-23,1.96,2.36083333333333
"NRS_PA-10034",2008-08-07,-1.85,0.154166666666667
"NRS_PA-10046",2008-08-21,-1.23,0.0116666666666667
"NRS_PA-10067",2008-09-09,-0.18,0.695
"NRS_IA-10101",2008-07-17,7.01,4.9175
"NRS_IA-10102",2008-07-22,5.01,4.08
"NRS_IA-10103",2008-07-17,7.01,4.9175
"NRS_IL-10072",2008-07-09,3.7,2.0575
"NRS_IL-10073",2008-07-10,4.13,2.70166666666667
"NRS_IL-10074",2008-08-21,2.08,1.105
"NRS_IL-10075",2008-07-08,3.77,2.1525
"NRS_IL-10076",2008-08-14,2.16,2.75083333333333
"NRS_IN-10053",2008-08-25,2.78,2.14416666666667
"NRS_IN-10054",2008-08-26,3.57,2.36166666666667
"NRS_KS-10088",2008-06-12,2.74,2.49416666666667
