UID,UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,YEAR,UNIQUE_ID,DSGN_CYCLE,SAMPLE_ID,H2O_dD,H2O_d18O,d-excess,LAT_DD83,LON_DD83,ELEVATION
2013697,1001274,4/7/2021,NRS18_AL_11088,6/4/2019,1,2019,NRS_AL-10108,2018-19,124520,-26.01,-4.5,10,34.12275721,-85.73654963,157.79
2013532,1001060,4/7/2021,NRS18_AL_RF001,9/18/2018,1,2018,NRS_AL-10109,2018-19,885860,-24.57,-4.54,11.78,34.2181,-87.3689,156.36
2013814,1001397,4/7/2021,NRS18_AL_RF002,6/17/2019,1,2019,NRS_AL-10110,2018-19,123120,-22.73,-4.53,13.55,32.91311,-86.280553,114.53
2013228,1000754,4/7/2021,NRS18_AR_10001,8/12/2018,1,2018,NRS_AR-10067,2018-19,890320,-17.71,-3.56,10.75,34.06488091,-93.44225956,94.72
2013452,1000980,4/7/2021,NRS18_AR_10001,9/9/2018,2,2018,NRS_AR-10067,2018-19,890240,-15.73,-2.85,7.04,34.06488091,-93.44225956,94.72
2012748,1000272,4/7/2021,NRS18_AR_10002,6/27/2018,1,2018,NRS_AR-10057,2018-19,899900,-40.25,-6.52,11.91,35.62598092,-89.87932864,65.74
2013028,1000554,4/7/2021,NRS18_AR_10002,7/24/2018,2,2018,NRS_AR-10057,2018-19,102880,-46.49,-6.83,8.19,35.62598092,-89.87932864,65.74
2012895,1000420,4/7/2021,NRS18_AR_10004,7/15/2018,1,2018,NRS_AR-10109,2018-19,897800,-30.65,-5.49,13.23,36.11488648,-91.96699076,158.885
2012856,1000381,4/7/2021,NRS18_AR_10006,7/11/2018,1,2018,NRS_AR-10061,2018-19,897820,-25.29,-4.05,7.08,34.69500093,-90.64588479,47.83
2013017,1000543,4/7/2021,NRS18_AR_10007,7/24/2018,1,2018,NRS_AR-10063,2018-19,103140,-18.27,-3.02,5.9,35.67817479,-93.74408948,239.935
2012897,1000422,4/7/2021,NRS18_AR_10008,7/15/2018,1,2018,NRS_AR-10064,2018-19,102080,-15.53,-2.5,4.48,33.55630442,-92.02261248,30.2
2013189,1000715,4/7/2021,NRS18_AR_10009,8/8/2018,1,2018,NRS_AR-10203,2018-19,103960,-13.64,-2.68,7.76,34.78806198,-91.87004886,67.03
2013522,1001050,4/7/2021,NRS18_AR_10009,9/18/2018,2,2018,NRS_AR-10203,2018-19,111580,-14.18,-1.86,0.71,34.78806198,-91.87004886,67.03
2012827,1000352,4/7/2021,NRS18_AR_10010,7/10/2018,1,2018,NRS_AR-10207,2018-19,100500,-48.32,-7.33,10.34,35.60183834,-89.9021205,64.17
2013029,1000555,4/7/2021,NRS18_AR_10010,7/24/2018,2,2018,NRS_AR-10207,2018-19,103040,-46.62,-6.86,8.24,35.60183834,-89.9021205,64.17
2013212,1000738,4/7/2021,NRS18_AR_10014,8/9/2018,1,2018,NRS_AR-10205,2018-19,890340,-21.86,-3.82,8.71,35.56232577,-93.28855047,183.31
2013221,1000747,4/7/2021,NRS18_AR_10015,8/10/2018,1,2018,NRS_AR-10212,2018-19,890420,-13.21,-1.55,-0.78,35.54235418,-93.16001748,149.095
2012925,1000450,4/7/2021,NRS18_AR_10016,7/17/2018,1,2018,NRS_AR-10213,2018-19,896380,-23.05,-3.94,8.5,35.51034155,-91.92887006,80.395
2012723,1000247,4/7/2021,NRS18_AR_10017,6/26/2018,1,2018,NRS_AR-10219,2018-19,896860,-41.99,-6.25,7.99,33.32930915,-91.16314434,31.3
2012840,1000365,4/7/2021,NRS18_AR_10018,7/10/2018,1,2018,NRS_AR-10209,2018-19,896340,-11.06,-1.75,2.93,33.63584995,-93.90637938,73.29
2012991,1000517,4/7/2021,NRS18_AR_10021,7/23/2018,1,2018,NRS_AR-10222,2018-19,103020,-28.72,-4.78,9.51,36.43411563,-90.34879978,91.76
2012975,1000501,4/7/2021,NRS18_AR_10022,7/19/2018,1,2018,NRS_AR-10223,2018-19,103080,-25.57,-4.04,6.74,36.35540034,-90.95286554,85.73
2012979,1000505,4/7/2021,NRS18_AR_10024,7/22/2018,1,2018,NRS_AR-10225,2018-19,103000,-24.86,-4.37,10.07,36.42940821,-90.75765669,81.07
2012903,1000428,4/7/2021,NRS18_AR_10025,7/16/2018,1,2018,NRS_AR-10226,2018-19,100560,-30.56,-5.16,10.72,36.08300385,-91.54011977,107.29
2012893,1000418,4/7/2021,NRS18_AR_10026,7/13/2018,1,2018,NRS_AR-10227,2018-19,100900,-46.06,-6.96,9.63,33.13192811,-91.09571046,31.46
2012993,1000519,4/7/2021,NRS18_AR_10027,7/23/2018,1,2018,NRS_AR-10228,2018-19,102960,-13.12,-2.26,4.94,36.08893257,-94.02749288,344.6
2013062,1000588,4/7/2021,NRS18_AR_10034,7/29/2018,1,2018,NRS_AR-10206,2018-19,104160,-26.15,-4.21,7.49,36.10229524,-91.61969827,126.785
2012944,1000470,4/7/2021,NRS18_AR_10039,7/18/2018,1,2018,NRS_AR-10229,2018-19,899180,-15.89,-2.87,7.07,35.62876324,-90.9851249,70.68
2012879,1000404,4/7/2021,NRS18_AR_10040,7/12/2018,1,2018,NRS_AR-10230,2018-19,100960,-26.68,-4.33,7.95,34.64473299,-91.29251055,47.49
2012974,1000500,4/7/2021,NRS18_AR_10046,7/20/2018,1,2018,NRS_AR-10236,2018-19,103100,-17.28,-2.96,6.4,35.86551219,-90.84473388,77.32
2012859,1000384,4/7/2021,NRS18_AR_10190,7/11/2018,1,2018,NRS_AR-10238,2018-19,896300,-24.24,-4.16,9.06,34.28039517,-94.44835594,283.36
2012943,1000469,4/7/2021,NRS18_AR_10191,7/18/2018,1,2018,NRS_AR-10239,2018-19,102980,-33.89,-5.74,12.05,36.0964581,-92.11822359,110.81
2013052,1000578,4/7/2021,NRS18_AR_10192,7/27/2018,1,2018,NRS_AR-10240,2018-19,102900,-20.58,-3.76,9.53,35.62483536,-93.72112066,345.97
2012984,1000510,4/7/2021,NRS18_AR_10489,7/22/2018,1,2018,NRS_AR-10241,2018-19,103120,-16.29,-2.98,7.53,35.52203628,-94.07139992,122.16
2013606,1001158,4/7/2021,NRS18_AZ_10001,4/25/2019,1,2019,NRS_AZ-10432,2018-19,116140,-68.99,-9.09,3.74,32.40882122,-111.1606295,605.28
2013615,1001167,4/7/2021,NRS18_AZ_10002,4/28/2019,1,2019,NRS_AZ-10475,2018-19,116160,-95.49,-11.28,-5.25,33.47634212,-114.6053022,73.495
2013647,1001210,4/7/2021,NRS18_AZ_10003,5/12/2019,1,2019,NRS_AZ-10584,2018-19,112280,-68.92,-9.72,8.83,33.67588001,-109.0840924,1841.535
