UID,SITE_ID,VISIT_NO,SAMPLE_ID,DATE_COL,LAT_DD83,LON_DD83,STRAH_ORD,Chem_Lab_ID,H2O_dD,H2O_d18O,d-excess
11819,CTSS-1079,1,710840,8/28/2013,41.69945,-72.52501,2,1310719,-47.21,-7.28,11.07
11934,CTSS-1080,1,711060,9/4/2013,41.61153,-73.44651,1,1310744,-46.09,-7.29,12.19
10161,DELS-1036,1,704040,6/5/2013,38.85149,-75.66956,4,1310029,-37.06,-6.17,12.28
10761,DER9-0903,1,708220,7/15/2013,38.61816614,-75.63092164,5,1310269,-44.46,-7.07,12.09
11392,DER9-0903,2,719220,8/12/2013,38.61816614,-75.63092164,5,1310586,-35.75,-6.39,15.41
10834,DERO-1001,1,706080,7/17/2013,38.66194,-75.56498,5,1310313,-39.52,-6.4,11.72
11858,DERO-1002,1,708160,8/28/2013,38.57155,-75.67426,5,1310721,-35.23,-6.12,13.76
11420,DERO-1005,1,706060,8/13/2013,38.64932,-75.58961,5,1310595,-36.95,-6.34,13.79
11562,DES9-0908,1,707060,8/21/2013,39.20764401,-75.74852691,3,1310640,-39.95,-6.92,15.43
10679,DES9-0912,1,704120,7/10/2013,39.8061351,-75.46540517,2,1310240,-48.82,-7.49,11.14
11069,DES9-0912,2,704540,7/30/2013,39.8061351,-75.46540517,2,1310427,-36.77,-6.26,13.33
10541,DESS-1081,1,704080,7/1/2013,39.81091,-75.56715,1,1310186,-36.55,-6.03,11.65
10369,DESS-1085,1,704060,6/24/2013,39.72867,-75.68322,1,1310117,-47.2,-7.17,10.14
11517,DESS-1090,1,719200,8/19/2013,39.19811,-75.57552,2,1310624,-34.51,-5.58,10.16
11955,GALS-1051,1,730640,9/4/2013,32.40337,-84.84836,4,1310753,-20.16,-3.89,10.96
11936,GALS-1055,1,703200,9/3/2013,32.2973,-84.04997,3,1310737,-19.42,-3.42,7.97
11083,GAS9-0914,1,722280,7/30/2013,34.06954655,-84.53634847,3,1310438,-23.43,-4.05,8.96
11813,GAS9-0914,2,722800,8/28/2013,34.06954655,-84.53634847,3,1310700,-21.45,-3.94,10.09
10106,GAS9-0915,1,704940,5/23/2013,33.92673274,-85.05046408,1,1310013,-27.68,-5.29,14.62
10152,GAS9-0916,1,711220,6/4/2013,32.80115995,-82.92292172,1,1310027,-17.41,-3.24,8.53
10684,GAS9-0917,1,716480,7/11/2013,33.31357506,-84.17306649,4,1310249,-22.78,-4.15,10.43
10301,GAS9-0919,1,711260,6/19/2013,34.30314742,-84.47051375,2,1310094,-26.17,-4.84,12.55
10103,GAS9-0921,1,704920,5/21/2013,34.42897768,-82.90527557,2,1310011,-24.55,-4.64,12.55
10266,GAS9-0922,1,711240,6/18/2013,34.36679167,-85.08705529,1,1310070,-23.11,-4.24,10.81
10652,GAS9-0924,1,716800,7/10/2013,33.91141432,-84.31220042,3,1310263,-25.4,-4.75,12.61
11239,GAS9-0925,1,722820,8/6/2013,32.97839316,-84.87332035,4,1310514,-18.93,-3.62,9.99
11814,GAS9-0925,2,728560,8/27/2013,32.97839316,-84.87332035,4,1310707,-19.13,-4.02,13.02
12544,GASS-1077,1,736160,10/2/2013,34.6743,-85.48737,1,1310920,-29.73,-5.29,12.61
12150,GASS-1079,1,730660,9/17/2013,33.54325,-83.50925,2,1310832,-23.99,-4.29,10.34
12186,GASS-1081,1,732180,9/18/2013,33.92562,-85.34712,2,1310840,-25.07,-4.92,14.28
12543,GASS-1082,1,736140,10/1/2013,33.55278,-82.73688,1,1310921,-24.85,-4.49,11.11
11774,HIKS13-001,1,726740,8/27/2013,22.05667083,-159.4108109,NA,1310708,-9.32,-3.22,16.47
11398,HIKS13-002,1,715140,8/12/2013,21.95577941,-159.4609963,NA,1310588,-8.87,-2.97,14.89
11873,HIKS13-017,1,726760,8/28/2013,22.03783477,-159.3939995,NA,1310726,-9.65,-2.98,14.19
11421,HIKS13-027,1,716440,8/13/2013,21.93908584,-159.5250681,NA,1310603,-7.66,-2.53,12.55
12170,HIKS13-029,1,729440,9/17/2013,22.11628676,-159.3347555,NA,1310842,-6.88,-2.56,13.64
11070,HIKS13-043,1,716460,7/29/2013,21.96495414,-159.6557182,NA,1310439,-15.47,-3.46,12.19
11057,IALS-1051,1,707540,7/29/2013,42.43728,-93.34563,3,1310426,-49.02,-7.34,9.73
10972,IAR9-0905,1,719120,7/25/2013,42.24730753,-92.32474086,5,1310394,-49.03,-7.47,10.71
10986,IARF-0002,1,707560,7/25/2013,41.77722746,-94.49883166,NA,1310405,-48.5,-7.25,9.48
10912,IARF-0003,1,719740,7/23/2013,43.44451677,-92.61206048,NA,1310353,-55.31,-8.46,12.38
10971,IARF-0004,1,707580,7/24/2013,42.66349762,-93.22859425,NA,1310392,-48.63,-7.37,10.33
11010,IARF-0005,1,717100,7/24/2013,40.83546401,-93.85600155,NA,1310390,-43.88,-6.47,7.91
10943,IARO-1013,1,719080,7/24/2013,43.22527,-92.80638,5,1310379,-54.84,-8.12,10.12
11118,IAS9-0918,1,707100,7/31/2013,40.8737329,-95.59770401,1,1310460,-45.57,-7.01,10.53
11532,IAS9-0918,2,707500,8/19/2013,40.8737329,-95.59770401,1,1310634,-45.09,-6.96,10.58
11086,IAS9-0920,1,707520,7/30/2013,41.85046039,-94.0261349,4,1310444,-43.75,-5.9,3.45
10922,IAS9-0924,1,707080,7/23/2013,41.58755699,-94.39743921,3,1310358,-44.92,-6.79,9.4
11047,IAS9-0931,1,719060,7/29/2013,41.60742374,-91.67084764,4,1310421,-46.38,-7.14,10.76
10914,IASS-1088,1,719100,7/22/2013,42.40356,-91.06747,2,1310343,-50.7,-7.98,13.17
10899,IASS-1090,1,707120,7/22/2013,42.10432,-93.35417,1,1310342,-49.4,-7.59,11.32
11974,IDLS-1063,1,730520,9/6/2013,43.27598,-111.2419,4,1310765,-129.1,-17.14,7.98
10558,IDR9-0901,1,714700,7/3/2013,42.5756575,-113.6292099,7,1310195,-126.21,-16.41,5.1
11284,IDR9-0901,2,724460,8/7/2013,42.5756575,-113.6292099,7,1310555,-125.11,-16.06,3.39
10556,IDR9-0903,1,715060,7/2/2013,42.525315,-115.490775,5,1310191,-110.97,-13.65,-1.79
11790,IDR9-0904,1,724420,8/23/2013,45.36948405,-114.2899056,6,1310712,-133.87,-17.15,3.35
10981,IDR9-0905,1,721720,7/25/2013,47.69644765,-116.9152781,7,1310412,-105.43,-13.18,-0.01
10582,IDR9-0906,1,714660,7/8/2013,43.96347066,-116.1891543,6,1310203,-118.72,-15.47,5.06
10792,IDR9-0908,1,709740,7/16/2013,46.66522964,-115.5475071,5,1310297,-115.78,-15.69,9.72
12204,IDR9-0908,2,730420,9/18/2013,46.66522964,-115.5475071,5,1310850,-113,-15.29,9.35
10668,IDR9-0910,1,712200,7/9/2013,44.39606896,-116.0460788,6,1310216,-115.34,-14.96,4.31
11995,IDR9-0911,1,709380,9/8/2013,42.66148588,-114.6627054,7,1310766,-124.91,-15.85,1.93
11642,IDR9-0913,1,709420,8/22/2013,44.42427139,-114.2349763,6,1310680,-135.96,-17.63,5.09
10552,IDRM-1001,1,714720,7/1/2013,42.9393,-115.7014,7,1310185,-132.03,-17.24,5.92
11794,IDRM-1002,1,724480,8/24/2013,45.18622,-113.8928,6,1310705,-134.96,-17.78,7.25
