SITE_ID,YEAR,VISIT_NO,UNIQUE_ID,ECOWSA9,RT_WQI,CL_pt,SO4_pt,PTL_pt,NTL_pt,TURB_pt,ENTERO_PT,DO_PT,PH_PT,NUMVARN,WQII
FW08AL026,2009,1,NRS_AL-10045,CPL,S,9.800234586,0,10,10,3.134146341,10,,10,7,75.62
FW08AL027,2009,1,NRS_AL-10046,CPL,R,10,10,1.647497143,10,0,10,8.5,10,8,75.18
ALS9-0920,2013,1,NRS_AL-10046,CPL,S,10,6.106768833,7.314285714,10,0,10,9,10,8,78.03
NRS18_AL_10005,2018,1,NRS_AL-10046,CPL,R,10,7.341808007,8.632228571,10,0,10,7.15,10,8,78.91
FW08AL028,2009,1,NRS_AL-10047,SAP,S,8.135690691,9.956807729,0,0,10,10,10,10,8,72.62
FW08AL029,2009,1,NRS_AL-10048,SAP,S,10,10,5.004373178,10,7.231121281,10,10,10,8,90.29
FW08AL030,2009,1,NRS_AL-10049,CPL,R,10,10,10,10,2.585365854,10,10,10,8,90.73
ALS9-0921,2013,1,NRS_AL-10049,CPL,R,10,10,10,10,0,0,10,10,8,75.00
FW08AL031,2009,1,NRS_AL-10050,SAP,T,0,8.432100848,0,0,4.324942792,10,10,10,8,53.45
FW08AL032,2009,1,NRS_AL-10051,CPL,R,10,10,10,10,10,10,10,10,8,100.00
ALS9-0922,2013,1,NRS_AL-10051,CPL,R,10,10,10,10,10,10,10,10,8,100.00
NRS18_AL_10031,2019,1,NRS_AL-10051,CPL,S,10,10,10,10,10,10,10,10,8,100.00
FW08AL033,2009,1,NRS_AL-10052,SAP,R,10,10,7.385189504,10,0,10,1.5,10,8,73.61
ALS9-0923,2013,1,NRS_AL-10052,SAP,S,10,10,7.871720117,10,0,10,10,10,8,84.84
FW08AL034,2009,1,NRS_AL-10053,CPL,R,10,10,5.934708571,0,10,,0,10,7,65.62
FW08AL035,2009,1,NRS_AL-10054,CPL,S,6.809974436,0,10,10,10,10,5.5,10,8,77.89
FW08AL036,2009,1,NRS_AL-10055,CPL,S,10,10,10,10,10,10,10,10,8,100.00
FW08AL046,2009,1,NRS_AL-10057,SAP,S,10,10,4.951341108,10,0,10,10,10,8,81.19
FW08AL047,2009,1,NRS_AL-10058,CPL,S,10,10,10,10,10,10,10,10,8,100.00
FW08AL051,2009,1,NRS_AL-10061,CPL,R,10,0,10,10,10,0,,10,7,71.43
FW08RAL9016,2009,1,NRS_AL-10062,CPL,S,10,10,10,10,10,0,10,10,8,87.50
FW08RAL9025,2009,1,NRS_AL-10063,CPL,R,10,2.412406371,10,10,0,10,9.5,10,8,77.39
FW08RAL9038,2009,1,NRS_AL-10064,CPL,S,10,10,10,10,10,0,,8.05,7,82.93
FW08RAL9059,2009,1,NRS_AL-10065,CPL,S,10,10,10,10,4.817073171,10,10,10,8,93.52
FW08RAL9066,2009,1,NRS_AL-10066,CPL,R,10,10,10,10,0,0,10,10,8,75.00
ALLS-1037,2014,1,NRS_AL-10067,CPL,S,10,10,10,10,10,10,10,10,8,100.00
NRS18_AL_10009,2018,1,NRS_AL-10067,CPL,S,10,10,10,10,10,10,10,10,8,100.00
NRS18_AL_10009,2018,2,NRS_AL-10067,CPL,S,10,10,10,10,10,10,10,10,8,100.00
ALLS-1039,2014,1,NRS_AL-10069,CPL,S,10,9.821745157,10,6.580645161,7.426829268,10,10,10,8,92.29
NRS18_AL_10013,2019,1,NRS_AL-10069,CPL,R,0,1.517047783,0,7.76344086,10,10,0,10,8,49.10
ALLS-1041,2014,1,NRS_AL-10071,CPL,S,8.25314609,10,10,10,10,10,10,10,8,97.82
NRS18_AL_10014,2018,1,NRS_AL-10071,CPL,S,0,1.011560052,10,10,10,10,10,10,8,76.26
ALLS-1042,2014,1,NRS_AL-10072,SAP,R,10,10,9.329446064,10,10,10,10,10,8,99.16
ALRM-1001,2013,1,NRS_AL-10073,CPL,S,10,7.52195523,7.314285714,10,10,10,10,10,8,93.55
NRS18_AL_10010,2018,1,NRS_AL-10073,CPL,S,10,5.503589324,10,10,10,,10,10,7,93.58
NRS18_AL_10010,2018,2,NRS_AL-10073,CPL,S,10,6.782544985,10,2.150537634,10,10,10,10,8,86.17
ALRM-1002,2013,1,NRS_AL-10074,CPL,S,6.325382632,0,10,10,10,10,10,10,8,82.91
NRS18_AL_10017,2019,1,NRS_AL-10074,CPL,S,1.749860451,0,10,10,10,,10,10,7,73.93
