SITE_ID,YEAR,VISIT_NO,UNIQUE_ID,ECOWSA9,RT_WQI,CL_pt,SO4_pt,PTL_pt,NTL_pt,TURB_pt,ENTERO_PT,DO_PT,PH_PT,NUMVARN,WQII
FW08LA018,2008,1,NRS_LA-10086,CPL,S,0,0,8.268422857,8.64516129,10,10,,10,7,67.02
LAR9-0905,2014,1,NRS_LA-10086,CPL,S,2.281108797,0,5.6,10,10,10,10,10,8,72.35
NRS18_LA_10008,2018,1,NRS_LA-10086,CPL,S,0,0,9.822285714,10,10,10,10,10,8,74.78
FW08LA022,2008,1,NRS_LA-10090,CPL,S,0,1.247275075,10,8.47311828,10,10,,10,7,71.03
LAR9-0906,2014,1,NRS_LA-10090,CPL,S,0,0,3.771428571,2.623655914,7.219512195,10,10,10,8,54.52
FW08LA023,2009,1,NRS_LA-10091,CPL,S,0,10,0,5.268817204,10,10,0,10,8,56.59
LAS9-0944,2013,1,NRS_LA-10091,CPL,S,8.275413985,10,0,4.709677419,0,10,10,10,8,66.23
LAS9-0944,2013,2,NRS_LA-10091,CPL,S,10,9.368240207,0,1.290322581,0,10,0,10,8,50.82
NRS18_LA_10001,2018,1,NRS_LA-10091,CPL,S,0,9.741082221,0,0,0,10,9.5,10,8,49.05
NRS18_LA_10001,2018,2,NRS_LA-10091,CPL,S,0.665095865,7.405442101,0,0,0,10,3.5,10,8,39.46
FW08LA028,2008,1,NRS_LA-10096,CPL,S,0,0,0,0,,0,10,,6,
LAR9-0907,2014,1,NRS_LA-10096,CPL,S,0,0,0,0,0,10,10,10,8,37.50
FW08LA029,2008,1,NRS_LA-10097,CPL,S,0,0,9.962708571,10,10,10,10,10,8,74.95
FW08LA030,2008,1,NRS_LA-10098,CPL,S,0,9.152242789,10,10,10,10,10,10,8,86.44
FW08LA032,2008,1,NRS_LA-10100,CPL,T,0,8.130512269,2.112925714,10,10,10,10,10,8,75.30
FW08LA033,2008,1,NRS_LA-10101,CPL,S,0.04477594,0,1.85,10,1.682926829,10,8,10,8,51.97
FW08LA035,2009,1,NRS_LA-10103,CPL,S,0,0,0,0,0,10,,10,7,28.57
FW08LA036,2008,1,NRS_LA-10104,CPL,S,0,0,0,6.200451613,,10,10,,6,
FW08LA037,2008,1,NRS_LA-10105,CPL,S,0,0,10,10,10,10,10,10,8,75.00
FW08LA039,2009,1,NRS_LA-10107,CPL,T,5.569334586,10,10,10,8.817073171,10,10,10,8,92.98
FW08LA039,2009,2,NRS_LA-10107,CPL,T,9.789630827,10,0,9.483870968,0,10,10,10,8,74.09
LAR9-0915,2013,1,NRS_LA-10107,CPL,T,10,9.949013345,0,4.129032258,0,,10,10,7,62.97
LAR9-0915,2013,2,NRS_LA-10107,CPL,T,6.259639323,9.378995265,0,10,9.963414634,10,10,10,8,82.00
FW08LA040,2009,1,NRS_LA-10108,CPL,S,0,0,9.606,7.440860215,10,10,10,10,8,71.31
FW08LA044,2008,1,NRS_LA-10112,CPL,T,0,0,0,0,,0,10,,6,
FW08LA045,2008,1,NRS_LA-10113,CPL,S,9.174612782,10,0,10,0,10,0,10,8,61.47
LAS9-0945,2014,1,NRS_LA-10113,CPL,S,10,7.441292294,0,0,0,,0,10,7,39.20
LAS9-0945,2014,2,NRS_LA-10113,CPL,S,10,9.482064572,0,1.591397849,0,10,5,10,8,57.59
FW08LA049,2009,1,NRS_LA-10117,CPL,S,0,0,7.810502857,10,0,10,,10,7,54.02
FW08LA050,2009,1,NRS_LA-10118,CPL,S,1.412660902,10,0.817211429,7.978494624,4.780487805,10,0.5,10,8,56.86
FW08LA051,2008,1,NRS_LA-10119,CPL,S,0,0,1.828571429,0,,10,10,,6,
FW08LA052,2008,1,NRS_LA-10120,CPL,S,0,0,0.685714286,5.009010753,,10,10,,6,
FW08LA059,2009,1,NRS_LA-10124,CPL,S,0,1.811915626,0,0,0,10,0,10,8,27.26
LAS9-0946,2013,1,NRS_LA-10124,CPL,S,0,0,0,0,0,10,3,10,8,28.75
NRS18_LA_10003,2018,1,NRS_LA-10124,CPL,S,0,0,0,0,0,10,0,10,8,25.00
FW08LA062,2009,1,NRS_LA-10126,CPL,R,10,7.368695652,10,10,10,10,10,10,8,96.71
LAS9-0947,2014,1,NRS_LA-10126,CPL,R,10,7.574834266,2.171428571,10,1.06097561,10,10,10,8,76.01
NRS18_LA_10004,2018,1,NRS_LA-10126,CPL,R,10,7.171519587,8.524228571,10,0,10,10,10,8,82.12
FW08LA067,2008,1,NRS_LA-10130,CPL,S,0,0,2.171428571,8.753827957,,10,10,,6,
FW08LA068,2008,1,NRS_LA-10131,CPL,S,0,0,0,0,0,10,10,10,8,37.50
FW08LA070,2008,1,NRS_LA-10132,CPL,S,0,0,0,10,,0,10,,6,
FW08LA072,2009,1,NRS_LA-10133,CPL,T,0,0,0,0,10,10,5.106318613,10,8,43.88
LAS9-0948,2013,1,NRS_LA-10133,CPL,S,1.888769699,6.327247525,0,0,0,10,10,10,8,47.77
NRS18_LA_10005,2018,1,NRS_LA-10133,CPL,S,0,0,0,0,0,10,10,10,8,37.50
FW08LA073,2009,1,NRS_LA-10134,CPL,T,10,10,9.034708571,1.956989247,10,10,10,10,8,88.74
LAS9-0949,2014,1,NRS_LA-10134,CPL,T,10,10,10,10,10,,10,10,7,100.00
FW08LA079,2009,1,NRS_LA-10136,CPL,?,0,0,0,0,0,0,7.535887914,10,8,21.92
LAS9-0950,2013,1,NRS_LA-10136,CPL,T,0,0,0,0,10,0,0,10,8,25.00
FW08LA088,2008,1,NRS_LA-10140,CPL,S,0,0,0,4.80344086,,10,10,,6,
FW08LA092,2009,1,NRS_LA-10141,CPL,T,10,10,0,8.408602151,10,10,0.5,10,8,73.64
FW08LA094,2009,1,NRS_LA-10142,CPL,T,10,10,3.544285714,7.11827957,10,10,10,10,8,88.33
FW08LA096,2008,1,NRS_LA-10144,CPL,S,0,0,0,10,,10,0,,6,
FW08LA097,2009,1,NRS_LA-10145,CPL,T,0,10,0,0,10,0,,10,7,42.86
FW08LA099,2009,1,NRS_LA-10147,CPL,?,0,0.996323719,0.441931429,7.139784946,8.987804878,10,,10,7,53.67
FW08LA100,2008,1,NRS_LA-10148,CPL,S,0,0,0,7.157677419,,10,10,,6,
FW08LA102,2009,1,NRS_LA-10149,CPL,R,0,5.486560482,2.534068571,10,3.304878049,10,0,10,8,51.66
FW08LA104,2008,1,NRS_LA-10150,CPL,S,0,0,2.628571429,6.421290323,,10,10,,6,
FW08LA108,2008,1,NRS_LA-10152,CPL,S,1.629365978,0,0,0,,10,10,,6,
FW08LA131,2008,1,NRS_LA-10161,CPL,S,0,0,0.457142857,5.687032258,,0,10,,6,
FW08LA134,2008,1,NRS_LA-10163,CPL,S,0,0,0.228571429,10,,10,10,,6,
FW08LA140,2009,1,NRS_LA-10164,CPL,?,0,0,0,0,8.573170732,0,,10,7,26.53
FW08LA151,2008,1,NRS_LA-10168,CPL,S,0,0,0.457142857,10,,10,10,,6,
FW08LA152,2008,1,NRS_LA-10169,CPL,S,0,0,0,9.48088172,,10,10,,6,
FW08LA160,2009,1,NRS_LA-10174,CPL,T,0,10,0,8.623655914,0,10,,10,7,55.18
FW08LA164,2009,1,NRS_LA-10176,CPL,R,10,8.838553594,3.113714286,10,10,10,,10,7,88.50
FW08LA167,2008,1,NRS_LA-10179,CPL,S,0,0,10,10,,10,10,,6,
FW08LA173,2009,1,NRS_LA-10182,CPL,S,8.517179699,0,2.27328,10,0,10,,10,7,58.27
FW08LA180,2008,1,NRS_LA-10183,CPL,S,0,0,0,0,0,10,10,10,8,37.50
FW08LA182,2008,1,NRS_LA-10184,CPL,S,0,0,0,10,,10,10,,6,
FW08LA195,2008,1,NRS_LA-10185,CPL,S,0,0,2.857142857,6.939978495,,10,10,,6,
FW08LA198,2008,1,NRS_LA-10186,CPL,S,0,0,0,10,,10,10,,6,
FW08LA227,2008,1,NRS_LA-10187,CPL,S,0,0,0.228571429,1.419354839,,10,10,,6,
FW08LA228,2008,1,NRS_LA-10188,CPL,S,0,0,0,8.622731183,,10,10,,6,
FW08RLA900,2008,1,NRS_LA-10189,CPL,S,8.262689474,10,9.10536,10,10,10,10,10,8,96.71
LALS-1037,2014,1,NRS_LA-10190,CPL,T,8.141806617,9.845047783,0,10,10,10,5,10,8,78.73
LALS-1038,2013,1,NRS_LA-10191,CPL,S,7.121724962,9.162997848,0,0,0,0,0,10,8,32.86
NRS18_LA_10013,2018,1,NRS_LA-10191,CPL,S,7.589350752,10,0,0,3.451219512,0,0,10,8,38.80
NRS18_LA_10013,2018,2,NRS_LA-10191,CPL,S,8.509757068,10,0,0,5.62195122,10,0,10,8,55.16
LARM-1001,2014,1,NRS_LA-10192,CPL,S,0,0,0,0,4.158536585,10,10,10,8,42.70
NRS18_LA_10010,2018,1,NRS_LA-10192,CPL,S,0,0,0,0,0,10,10,10,8,37.50
NRS18_LA_10010,2018,2,NRS_LA-10192,CPL,S,0,0,0,0,0,10,10,10,8,37.50
LARM-1002,2014,1,NRS_LA-10193,CPL,S,0,0,0,0,0,10,10,10,8,37.50
NRS18_LA_10016,2018,1,NRS_LA-10193,CPL,S,0,0,0,0,0,10,10,10,8,37.50
LARM-1003,2014,1,NRS_LA-10194,CPL,S,0,2.397170039,7.2,10,10,10,10,10,8,74.50
LARO-1019,2013,1,NRS_LA-10195,CPL,S,1.861199925,0,7.428571429,10,10,10,10,10,8,74.11
NRS18_LA_10014,2018,1,NRS_LA-10195,CPL,S,0,0,6.779885714,10,10,10,10,10,8,70.97
LARO-1020,2013,1,NRS_LA-10196,CPL,S,9.369721955,7.3220904,0,10,0,10,0,10,8,58.36
NRS18_LA_10015,2018,1,NRS_LA-10196,CPL,S,0,0,0.279885714,2.88172043,5.195121951,10,10,10,8,47.95
LARO-1022,2014,1,NRS_LA-10198,CPL,T,7.204434286,8.089284546,0,1.161290323,0,10,2.5,10,8,48.69
LASS-1049,2014,1,NRS_LA-10199,CPL,R,5.965915188,1.983996556,0,4.709677419,0,0,3,10,8,32.07
NRS18_LA_10011,2018,1,NRS_LA-10199,CPL,S,0,8.286460611,5.5528,8.365591398,0.829268293,10,0,10,8,53.79
LASS-1050,2013,1,NRS_LA-10200,CPL,S,5.946828421,10,10,10,10,0,10,10,8,82.43
NRS18_LA_10012,2018,1,NRS_LA-10200,CPL,S,5.95743218,10,10,10,10,10,10,10,8,94.95
LASS-1051,2013,1,NRS_LA-10201,CPL,T,0,10,0,0,0,10,6.5,10,8,45.63
LARF-0001,2014,1,NRS_LA-10202,CPL,S,10,10,7.062857143,10,10,0,10,10,8,83.83
LARF-0002,2013,1,NRS_LA-10203,CPL,R,10,10,3.657142857,10,10,10,5,10,8,85.82
NRS18_LA_10018,2018,1,NRS_LA-10204,CPL,R,10,10,0,8.043010753,0,10,0,10,8,60.05
NRS18_LA_10019,2018,1,NRS_LA-10205,CPL,S,0,0,0,10,0,10,7.75,10,8,47.19
NRS18_LA_10020,2018,1,NRS_LA-10206,CPL,R,10,10,0,0,0,10,0,10,8,50.00
NRS18_LA_10021,2018,1,NRS_LA-10207,CPL,S,0,0,0,0,0,10,10,10,8,37.50
NRS18_LA_10022,2018,1,NRS_LA-10208,CPL,S,0,0,2.851314286,0,9.158536585,10,10,10,8,52.51
NRS18_LA_10181,2018,1,NRS_LA-10209,CPL,T,0,10,0,0,0,10,0,10,8,37.50
NRS18_LA_10481,2018,1,NRS_LA-10210,CPL,S,0,0,0.388228571,0,0,10,10,10,8,37.99
FW08MA001,2008,1,NRS_MA-10047,NAP,S,0,4.010074212,0,0,0,10,10,10,8,42.51
FW08MA001,2008,2,NRS_MA-10047,NAP,S,0,6.57877551,0,0,0,10,10,10,8,45.72
FW08MA002,2008,1,NRS_MA-10049,NAP,T,0,0,0,0,0,10,10,10,8,37.50
FW08MA002,2008,2,NRS_MA-10049,NAP,T,0,0,0,0,0,10,10,10,8,37.50
MAR9-0901,2014,1,NRS_MA-10049,NAP,T,0,0,0,0,2.209302326,10,10,10,8,40.26
MAR9-0901,2014,2,NRS_MA-10049,NAP,T,0,0,0,0,6.860465116,0,10,10,8,33.58
NRS18_MA_10002,2019,1,NRS_MA-10049,NAP,T,0,0,0,0,2.151162791,10,10,10,8,40.19
NRS18_MA_10002,2019,2,NRS_MA-10049,NAP,T,0,0,0,0,0,10,10,10,8,37.50
FW08MA003,2009,1,NRS_MA-10050,NAP,S,0,5.188200371,0,0,10,10,10,10,8,56.49
MAR9-0902,2014,1,NRS_MA-10050,NAP,T,0,9.825382189,0,0,10,10,10,10,8,62.28
MAR9-0902,2014,2,NRS_MA-10050,NAP,T,0,6.881998145,0,0,10,10,10,10,8,58.60
FW08MA004,2008,1,NRS_MA-10051,NAP,S,0,0,0.696816901,0,0,10,10,10,8,38.37
FW08MA004,2008,2,NRS_MA-10051,NAP,S,0,1.982152134,7.592957746,0,0,10,10,10,8,49.47
MAS9-0914,2014,1,NRS_MA-10051,NAP,S,0,9.232456401,2.422535211,0,5.697674419,10,10,10,8,59.19
MAS9-0914,2014,2,NRS_MA-10051,NAP,S,0,3.094612245,5.521126761,0,0,10,10,10,8,48.27
NRS18_MA_10001,2019,1,NRS_MA-10051,NAP,S,0,6.818263451,2.212676056,0,0,10,10,10,8,48.79
NRS18_MA_10001,2019,2,NRS_MA-10051,NAP,S,0,4.419521336,2.502816901,0,0,10,10,10,8,46.15
FW08MA005,2009,1,NRS_MA-10052,NAP,S,7.52416338,9.572374768,9.861605634,10,10,10,0,10,8,83.70
MAR9-0903,2014,1,NRS_MA-10052,NAP,S,4.218896901,8.539100186,10,9.836601307,10,0,10,10,8,78.24
NRS18_MA_10004,2019,1,NRS_MA-10052,NAP,S,1.627387887,7.830293135,10,10,10,10,10,10,8,86.82
FW08MA006,2008,1,NRS_MA-10053,NAP,T,0,0,0,0,5.523255814,0,10,10,8,31.90
FW08MA007,2008,1,NRS_MA-10054,NAP,S,0,3.932820037,0,0,6.104651163,0,10,10,8,37.55
FW08MA009,2009,1,NRS_MA-10056,NAP,S,6.094,10,10,10,10,,10,10,7,94.42
FW08MA009,2009,2,NRS_MA-10056,NAP,S,5.498098592,10,10,10,10,10,10,10,8,94.37
MAS9-0915,2014,1,NRS_MA-10056,NAP,S,3.410457324,10,10,10,10,10,10,10,8,91.76
MAS9-0915,2014,2,NRS_MA-10056,NAP,S,5.043227183,10,10,10,10,10,10,10,8,93.80
FW08MA012,2009,1,NRS_MA-10059,NAP,S,0,1.653821892,0,0,10,10,10,10,8,52.07
FW08MA013,2008,1,NRS_MA-10060,NAP,S,0,5.844860853,6.472535211,3.039215686,7.034883721,10,10,10,8,65.49
FW08MA015,2009,1,NRS_MA-10062,NAP,S,8.828525352,0,0,0,0,,10,10,7,41.18
MAS9-0916,2013,1,NRS_MA-10062,NAP,S,4.148050845,0,10,0,7.965116279,10,10,10,8,65.14
NRS18_MA_10003,2018,1,NRS_MA-10062,NAP,S,2.257719155,0,3.734929577,0,7.5,10,10,10,8,54.37
FW08MA016,2009,1,NRS_MA-10063,NAP,S,10,10,10,10,9.244186047,10,10,10,8,99.06
FW08MA017,2008,1,NRS_MA-10064,NAP,S,5.690111268,7.27406308,10,6.993464052,10,10,10,10,8,87.45
FW08MA018,2008,1,NRS_MA-10065,NAP,T,0,0,0,0,0,10,,10,7,28.57
FW08MA019,2009,1,NRS_MA-10066,NAP,S,0,4.917810761,0,0,10,10,10,10,8,56.15
FW08MA020,2009,1,NRS_MA-10067,NAP,S,4.756532394,6.79122449,10,9.477124183,10,10,10,10,8,88.78
FW08MA021,2009,1,NRS_MA-10068,NAP,S,7.510921127,9.977959184,9.440478873,10,2.38372093,10,10,10,8,86.64
FW08MA023,2009,1,NRS_MA-10070,NAP,S,0,4.010074212,0.366901408,0,10,0,10,10,8,42.97
FW08MA026,2009,1,NRS_MA-10071,NAP,T,0,10,0,0,0,10,3.5,10,8,41.88
MALS-1038,2014,1,NRS_MA-10073,NAP,T,0,0,4.957746479,4.281045752,5.23255814,10,10,10,8,55.59
NRS18_MA_10005,2018,1,NRS_MA-10073,NAP,T,0,6.974703154,0,0,0,10,10,10,8,46.22
NRS18_MA_10005,2018,2,NRS_MA-10073,NAP,T,0,0,7.856056338,0,8.488372093,10,10,10,8,57.93
MALS-1041,2014,1,NRS_MA-10076,NAP,T,0,0,0,0,3.546511628,10,10,10,8,41.93
NRS18_MA_10008,2018,1,NRS_MA-10076,NAP,T,0,0,0,0,6.395348837,10,10,10,8,45.49
MALS-1042,2014,1,NRS_MA-10077,NAP,T,0,3.256846011,5.521126761,2.549019608,10,10,10,10,8,64.16
MARM-1001,2014,1,NRS_MA-10078,NAP,S,6.472728451,9.624521336,10,10,10,10,10,10,8,95.12
NRS18_MA_10006,2018,1,NRS_MA-10078,NAP,S,4.218896901,9.593619666,10,10,4.88372093,10,10,10,8,85.87
NRS18_MA_10006,2018,2,NRS_MA-10078,NAP,S,5.34184,10,10,10,6.453488372,10,10,10,8,89.74
MARM-1002,2014,1,NRS_MA-10079,NAP,S,6.891183662,10,1.577464789,8.431372549,0,0,10,10,8,58.63
NRS18_MA_10010,2019,1,NRS_MA-10079,NAP,S,2.296783803,7.888233766,10,9.54248366,10,10,10,10,8,87.16
MARM-1003,2014,1,NRS_MA-10080,NAP,T,3.881881549,10,0,3.464052288,0,10,10,10,8,59.18
MARO-1019,2014,1,NRS_MA-10081,NAP,T,0,5.321463822,2.14084507,3.954248366,3.372093023,0,10,10,8,43.49
NRS18_MA_10009,2018,1,NRS_MA-10081,NAP,S,0,10,3.410140845,5.816993464,0.23255814,10,10,10,8,61.82
MARO-1020,2013,1,NRS_MA-10082,NAP,T,0,0,7.211267606,0,0,10,10,10,8,46.51
MARO-1021,2013,1,NRS_MA-10083,NAP,S,9.73098493,10,10,10,10,10,10,10,8,99.66
MASS-1072,2014,1,NRS_MA-10086,NAP,T,0,6.17125974,0,0,0,0,0,10,8,20.21
NRS18_MA_10007,2018,1,NRS_MA-10086,NAP,T,0,4.960300557,0,0,0,,0,10,7,21.37
MASS-1073,2013,1,NRS_MA-10087,NAP,T,0,9.682461967,4.957746479,10,0,10,10,10,8,68.30
MASS-1076,2014,1,NRS_MA-10090,NAP,S,9.916376479,10,0,0,1.802325581,0,0,10,8,39.65
MASS-1077,2014,1,NRS_MA-10091,NAP,T,0,6.107525046,6.929577465,5.751633987,10,10,10,10,8,73.49
MASS-1079,2014,1,NRS_MA-10093,NAP,T,0,0,3.267605634,0,4.011627907,0,10,10,8,34.10
NRS18_MA_10011,2018,1,NRS_MA-10094,CPL,S,5.819583308,10,10,10,10,0,10,10,8,82.27
NRS18_MA_10013,2018,1,NRS_MA-10096,NAP,S,9.373444085,10,1.601971831,5.032679739,6.802325581,10,10,10,8,78.51
NRS18_MA_10014,2018,1,NRS_MA-10097,NAP,S,10,10,9.615211268,6.209150327,10,0,10,8.95,8,80.97
NRS18_MA_10016,2018,1,NRS_MA-10099,NAP,T,0,10,7.642816901,4.31372549,10,10,10,10,8,77.45
NRS18_MA_10017,2018,1,NRS_MA-10100,NAP,T,0,7.78780334,3.846760563,0,1.860465116,0,10,10,8,41.87
NRS18_MA_10018,2019,1,NRS_MA-10101,NAP,S,0,7.165907236,0,0,0,10,10,10,8,46.46
NRS18_MA_10019,2018,1,NRS_MA-10102,NAP,S,7.755240704,10,10,10,10,10,10,10,8,97.19
NRS18_MA_10182,2018,1,NRS_MA-10105,NAP,S,10,10,0,0.261437908,0,10,10,10,8,62.83
NRS18_MA_10185,2018,1,NRS_MA-10108,NAP,T,0,10,0,0,0,0,8.95,10,8,36.19
NRS18_MA_10631,2019,1,NRS_MA-10109,NAP,S,1.973672817,7.644883117,10,9.411764706,10,10,10,10,8,86.29
FW08MD005,2008,1,NRS_MD-10008,CPL,S,10,3.550650022,10,0.408602151,10,,10,10,7,77.08
FW08MD004,2008,1,NRS_MD-10011,SAP,T,2.613074474,8.659727615,7.941690962,0,6.132723112,0,10,10,8,56.68
FW08MD001,2008,1,NRS_MD-10013,CPL,S,0,8.793740852,4.006137143,10,4.268292683,10,10,10,8,71.34
FW08MD001,2008,2,NRS_MD-10013,CPL,S,0,8.381463625,6.709931429,10,10,10,10,10,8,81.36
FW08MD003,2008,1,NRS_MD-10014,SAP,R,10,10,7.449708455,3.056603774,6.132723112,10,10,10,8,83.30
FW08MD002,2008,1,NRS_MD-10017,CPL,T,0,0,10,7.161290323,10,0,10,10,8,58.95
FW08MD006,2008,1,NRS_MD-10018,CPL,S,5.219410526,6.167714163,8.924,0,10,10,10,10,8,75.39
FW08MD006,2008,2,NRS_MD-10018,CPL,S,1.826207519,5.827137322,10,0,10,10,10,10,8,72.07
MDS9-0914,2013,1,NRS_MD-10018,CPL,T,2.616187594,5.362877314,7.657142857,0,10,,10,10,7,65.19
MDS9-0914,2013,2,NRS_MD-10018,CPL,T,3.95968391,5.874638829,1.828571429,0,10,,10,10,7,59.52
NRS18_MD_10001,2019,1,NRS_MD-10018,CPL,S,5.263946316,4.905787344,4.503314286,0,10,10,10,10,8,68.34
NRS18_MD_10001,2019,2,NRS_MD-10018,CPL,S,2.443346316,4.142178218,8.812,0,10,10,10,10,8,69.25
FW08MD007,2008,1,NRS_MD-10019,SAP,R,0,9.901863336,10,0,10,0,10,10,8,62.38
FW08MD008,2008,1,NRS_MD-10020,SAP,S,0,7.433290292,2.620612245,0,10,10,10,10,8,62.57
MDR9-0901,2014,1,NRS_MD-10020,SAP,S,0,7.318397644,2.040816327,0,10,10,10,10,8,61.70
MDR9-0901,2014,2,NRS_MD-10020,SAP,S,0,7.069676155,6.705539359,0,10,10,10,10,8,67.22
NRS18_MD_10002,2018,1,NRS_MD-10020,SAP,S,0,7.585074175,10,0,6.47597254,10,10,10,8,67.58
NRS18_MD_10002,2018,2,NRS_MD-10020,SAP,S,0,7.793077945,5.00728863,0,2.974828375,10,10,10,8,57.22
FW08MD009,2008,1,NRS_MD-10021,SAP,S,4.908517718,5.775147031,8.040816327,0,10,10,10,10,8,73.41
MDR9-0902,2013,1,NRS_MD-10021,SAP,S,3.46348961,6.805060038,6.997084548,0,10,0,,10,7,53.24
NRS18_MD_10004,2019,1,NRS_MD-10021,SAP,R,6.434013393,7.105390009,10,0,10,10,10,10,8,79.42
FW08MD010,2009,1,NRS_MD-10022,CPL,T,0,0,6.193851429,0,10,0,,10,7,37.42
FW08MD010,2009,2,NRS_MD-10022,CPL,T,0,0,9.41664,5.010752688,10,10,10,10,8,68.03
MDS9-0916,2014,1,NRS_MD-10022,CPL,T,0,0,10,4.193548387,10,10,10,10,8,67.74
MDS9-0916,2014,2,NRS_MD-10022,CPL,T,0,0,10,3.311827957,10,0,10,10,8,54.14
FW08MD011,2009,1,NRS_MD-10023,SAP,R,2.206501502,2.147836004,10,0,10,10,10,10,8,67.94
FW08MD012,2008,1,NRS_MD-10024,SAP,S,0,7.342043355,3.114431487,0,10,10,10,10,8,63.07
FW08MD013,2009,1,NRS_MD-10025,SAP,S,0,10,10,0,10,10,10,10,8,75.00
MDS9-0918,2014,1,NRS_MD-10025,SAP,S,0,10,10,0,10,0,10,10,8,62.50
NRS18_MD_10003,2018,1,NRS_MD-10025,SAP,S,0,10,10,0,10,10,10,10,8,75.00
FW08MD014,2008,1,NRS_MD-10026,CPL,T,0,0,7.018137143,0,0,10,10,10,8,46.27
FW08MD015,2009,1,NRS_MD-10027,SAP,S,4.722171772,5.942923657,7.235247813,0,10,0,10,10,8,59.88
FW08MD015,2009,2,NRS_MD-10027,SAP,S,1.283242042,0.731055608,7.525131195,6.226415094,10,,,10,6,
MDR9-0905,2013,1,NRS_MD-10027,SAP,R,0,3.742302639,7.288629738,4.603773585,10,10,10,10,8,69.54
MDR9-0905,2013,2,NRS_MD-10027,SAP,R,3.282225826,5.864039208,2.332361516,0,10,10,10,10,8,64.35
FW08MD016,2009,1,NRS_MD-10028,SAP,S,0,8.989393968,0,0,6.796338673,10,10,10,8,57.23
FW08MD018,2008,1,NRS_MD-10030,CPL,T,0,0,8.707714286,0,4.195121951,10,10,10,8,53.63
FW08MD019,2009,1,NRS_MD-10031,SAP,T,0,9.04139491,0,0,10,10,10,10,8,61.30
FW08MD020,2008,1,NRS_MD-10032,SAP,S,1.52040961,6.394252592,3.843644315,0,10,10,10,10,8,64.70
FW08MD021,2009,1,NRS_MD-10033,SAP,T,0,9.622235627,7.486501458,0,10,,10,10,7,67.30
FW08MD022,2009,1,NRS_MD-10034,CPL,S,8.294500752,10,7.010708571,10,0,10,0,10,8,69.13
FW08MD023,2009,1,NRS_MD-10035,SAP,S,0,0,10,0,10,10,10,10,8,62.50
FW08MD024,2008,1,NRS_MD-10036,SAP,S,0,5.599521206,5.424548105,0,8.032036613,10,10,10,8,61.32
FW08MD025,2009,1,NRS_MD-10037,SAP,S,0,9.260191329,0,0,10,0,10,10,8,49.08
FW08MD026,2009,1,NRS_MD-10038,CPL,S,2.430621805,3.936039604,10,4.860215054,10,10,10,10,8,76.53
FW08MD027,2009,1,NRS_MD-10039,SAP,S,9.804333934,10,10,10,10,0,10,10,8,87.26
FW08MD028,2009,1,NRS_MD-10040,SAP,T,0,10,10,0,10,0,10,10,8,62.50
FW08MD030,2009,1,NRS_MD-10042,CPL,T,0,0,2.470354286,6.709677419,10,10,10,10,8,61.48
FW08RMD9052,2009,1,NRS_MD-10043,CPL,S,6.74635188,8.596564787,5.227142857,10,10,10,10,10,8,88.21
MDLS-1038,2013,1,NRS_MD-10045,SAP,T,0,9.816601414,0,0,0,0,10,10,8,37.27
NRS18_MD_10005,2018,1,NRS_MD-10045,SAP,T,0,9.820526013,4.220116618,0,6.887871854,10,10,10,8,63.66
NRS18_MD_10005,2018,2,NRS_MD-10045,SAP,T,0,9.829748822,5.417201166,0,10,10,10,10,8,69.06
MDLS-1039,2014,1,NRS_MD-10046,SAP,S,0,9.788148068,0,0,0.457665904,0,10,10,8,37.81
NRS18_MD_10008,2018,1,NRS_MD-10046,SAP,S,2.630862042,10,0,0,0,10,10,10,8,53.29
MDLS-1041,2013,1,NRS_MD-10048,CPL,S,3.115624662,4.695167456,0,0,4.097560976,0,10,10,8,39.89
MDLS-1042,2014,1,NRS_MD-10049,SAP,T,0,9.895289632,9.329446064,0,10,10,10,10,8,74.03
MDRM-1003,2013,1,NRS_MD-10052,SAP,S,0,0,5.247813411,1.056603774,7.894736842,0,10,10,8,42.75
NRS18_MD_10006,2019,1,NRS_MD-10052,SAP,S,6.490764204,0.106848068,10,0,7.894736842,10,10,10,8,68.12
NRS18_MD_10006,2019,2,NRS_MD-10052,SAP,S,6.339146366,0,10,0,10,10,10,10,8,70.42
MDRM-1004,2013,1,NRS_MD-10053,SAP,S,2.958661502,9.276772762,0,0,10,10,10,10,8,65.29
NRS18_MD_10010,2018,1,NRS_MD-10053,SAP,S,0,9.224968049,10,0,10,10,10,10,8,74.03
MDRO-1013,2014,1,NRS_MD-10054,SAP,T,0,9.235270123,10,0,10,10,10,10,8,74.04
NRS18_MD_10009,2019,1,NRS_MD-10054,SAP,T,0,9.66952705,10,0,10,10,10,10,8,74.59
MDRO-1014,2013,1,NRS_MD-10055,SAP,T,0,9.247436381,0,0,3.318077803,10,10,10,8,53.21
MDRO-1015,2013,1,NRS_MD-10056,SAP,T,0,9.174046371,0,0,10,10,10,10,8,61.47
MDRO-1018,2013,1,NRS_MD-10059,SAP,S,0,9.381461451,0,0,7.757437071,10,10,10,8,58.92
MDSS-1081,2014,1,NRS_MD-10060,CPL,T,0.267454887,8.129616014,9.028571429,0,10,0,10,10,8,59.28
NRS18_MD_10007,2018,1,NRS_MD-10060,CPL,S,2.944904135,5.376321136,9.875885714,0,10,10,10,10,8,72.75
MDSS-1090,2014,1,NRS_MD-10069,SAP,T,0,10,10,0,10,0,10,10,8,62.50
