PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,YEAR,DATE_COL,AGGR_ECO9_2015,SAMPLE_TYPE,BENT_SAMPLE_TYPE,BENT_MMI_COND,OE_COND,SAMPLED_BENT,MMI_BENT,OE_SCORE,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,RICH_PT,TOLR_PT,BURRPTAX,CHIRPTAX,CLNGNTAX,CLNGPTAX,DOM5PIND,EPHENTAX,EPHEPTAX,EPT_NTAX,EPT_PIND,EPT_PTAX,HPRIME,INTLNTAX,NOINPIND,NTOLNTAX,NTOLPTAX,SCRPNTAX,SHRDNTAX,STOLPTAX,TOLRPTAX
9/2/2015,14384,FW08OK005,1,2009,15-Jun-09,SPL,BENT,BERWW,Fair,O/E<0.5,YES,24.62,0.378823367,5.61,4.17,0,0.89,2.67,1.43,33.33,,,,,,,5,37.29,,2.04,2,,,,0,,,
9/2/2015,14385,FW08OK013,1,2009,16-Jun-09,SPL,BENT,BERWW,Fair,O/E<0.8,YES,31.72,0.701002383,2.86,4.5,2.86,8.81,0,0,8.7,,,,,,,1,19.33,,2.11,0,,,,3,,,
9/2/2015,14386,FW08OK030,1,2009,6-Jul-09,TPL,BENT,BERWW,Poor,O/E<0.8,YES,13.45,0.68222182,0,4.32,3.75,0,0,0,,,3,,,0,,,0.33,,2.17,,,,,4,,50,
9/2/2015,14387,FW08OK051,1,2009,27-Jul-09,SPL,BENT,BERWW,Poor,O/E<0.8,YES,15.5,0.537012834,0.25,0.24,1.43,4.62,1.33,1.43,21.74,,,,,,,3,2.33,,1.21,2,,,,2,,,
9/2/2015,14388,FW08OK053,1,2009,19-May-09,SPL,BENT,BERWW,Poor,O/E<0.5,YES,2.15,0.118405872,1.29,0,0,0,0,0,75,,,,,,,1,9.09,,1.15,1,,,,1,,,
9/2/2015,14389,FW08OK055,1,2009,10-Aug-09,SPL,BENT,BERWW,Good,O/E<0.5,YES,55.12,0.47293181,5.49,5.17,4.29,7.83,6,4.29,11.76,,,,,,,10,36.54,,2.25,4,,,,4,,,
9/2/2015,14390,FW08OK064,1,2009,22-Jul-09,SPL,BENT,BERWW,Good,O/E>0.9,YES,61.95,1.118749589,8.62,5.59,5.71,4.11,6,7.14,23.33,,,,,,,10,57,,2.34,6,,,,5,,,
9/2/2015,14391,FW08OK094,1,2009,7-Jul-09,TPL,BENT,BERWW,Good,O/E>0.9,YES,56.97,1.135762113,3.68,7.33,3.75,7.65,4,7.77,,,16,,,5,,,30,,2.7,,,,,4,,10.81,
9/2/2015,14392,FW08OK099,1,2009,11-Aug-09,SPL,BENT,BERWW,Fair,O/E>0.9,YES,26.02,1.05497167,1.22,6.87,2.86,1.23,2,1.43,32.26,,,,,,,4,8.67,,2.61,2,,,,3,,,
9/2/2015,14415,FW08OK014,1,2008,18-Aug-08,SPL,BENT,BELGB,Fair,O/E>0.9,YES,33.83,0.932999622,4.23,5.59,4.29,0,3.33,2.86,36.36,,,,,,,6,28.3,,2.34,3,,,,4,,,
9/2/2015,14416,FW08OK018,1,2009,22-Sep-09,SPL,BENT,BELGB,Fair,O/E>0.9,YES,34.75,0.92725106,3.38,7.39,2.86,3.22,4,0,26.09,,,,,,,7,22.78,,2.72,1,,,,3,,,
9/2/2015,14417,FW08OK025,1,2009,21-Sep-09,SPL,BENT,BERWW,Poor,O/E<0.5,YES,8.85,0.378205682,0.94,3.7,0,0,0.67,0,50,,,,,,,2,6.82,,1.94,1,,,,1,,,
9/2/2015,14418,FW08OK062,1,2009,30-Sep-09,TPL,BENT,BELGB,Poor,O/E<0.5,YES,19.03,0.434197772,0.08,3.81,2.5,0,0,5.03,,,3,,,1,,,1.33,,2.08,,,,,3,,18.75,
9/2/2015,14419,FW08OK003,2,2009,20-Jul-09,SPL,BENT,BERWW,Fair,O/E<0.8,YES,32.62,0.626378502,0.36,5.78,4.29,4.95,1.33,2.86,20.69,,,,,,,3,3,,2.38,3,,,,4,,,
9/2/2015,14420,FW08OK005,2,2009,28-Jul-09,SPL,BENT,BERWW,Poor,O/E<0.8,YES,11.33,0.505097822,0.75,1.09,0,0,0.67,4.29,54.55,,,,,,,2,5.56,,1.39,4,,,,0,,,
9/2/2015,14421,FW08OK006,1,2009,21-Jul-09,SPL,BENT,BERWW,Good,O/E<0.8,YES,44.27,0.547291408,0.08,5.92,10,9.23,1.33,0,7.41,,,,,,,3,1.17,,2.41,1,,,,8,,,
9/2/2015,14422,FW08OK009,1,2009,9-Jun-09,SPL,BENT,BERWW,Poor,O/E>0.9,YES,5.88,0.96513571,0.25,1.85,1.43,0,0,0,36.84,,,,,,,1,2.33,,1.55,0,,,,2,,,
9/2/2015,14423,FW08OK017,1,2009,22-Jun-09,SPL,BENT,BERWW,Poor,O/E<0.5,YES,19.6,0.10774268,8.14,1.52,0,0,0.67,1.43,66.67,,,,,,,2,53.85,,1.48,2,,,,0,,,
9/2/2015,14424,FW08OK022,1,2009,8-Jul-09,SPL,BENT,BELGB,Fair,O/E<0.8,YES,26.25,0.751349695,0.78,4.83,0,3.95,3.33,2.86,23.81,,,,,,,6,5.76,,2.18,3,,,,1,,,
9/2/2015,14425,FW08OK024,1,2009,8-Jun-09,SPL,BENT,BERWW,Fair,O/E<0.5,YES,21.45,0.374104632,7.88,2.99,0,0,2,0,42.86,,,,,,,4,52.17,,1.79,0,,,,0,,,
9/2/2015,14426,FW08OK026,1,2009,2-Sep-09,SAP,BENT,BERWW,Fair,O/E>0.9,YES,44.12,1.059524508,5.28,6.83,3.33,3.41,6,1.62,17.65,,,,,,17.65,17,,,3,,,,,6,,,23.53
9/2/2015,14427,FW08OK027,1,2009,17-Aug-09,SPL,BENT,BERWW,Poor,O/E<0.5,YES,1.12,0.125109,0,0,0,0,0.67,0,50,,,,,,,2,0.67,,0.27,1,,,,0,,,
9/2/2015,14428,FW08OK028,1,2009,16-Jun-09,SPL,BENT,BERWW,Good,O/E<0.8,YES,44.42,0.643530155,4.13,7.3,8.57,1.89,3.33,1.43,30.23,,,,,,,6,27.67,,2.7,2,,,,7,,,
9/2/2015,14429,FW08OK031,1,2009,18-May-09,SPL,BENT,BERWW,Poor,O/E<0.9,YES,13.92,0.855148094,0,0.9,1.43,6.02,0,0,17.39,,,,,,,1,0.33,,1.35,1,,,,2,,,
9/2/2015,14430,FW08OK032,1,2009,20-Jul-09,SPL,BENT,BELGB,Poor,O/E<0.5,YES,13.17,0.46655468,0.77,0,0,4.46,2.67,0,22.22,,,,,,,5,5.67,,1.07,0,,,,1,,,
9/2/2015,14431,FW08OK034,1,2009,1-Sep-09,CPL,BENT,BELGB,Poor,O/E<0.9,YES,39.43,0.887388092,9.59,0,2.5,4.7,3.12,3.75,,,,33.33,,,,6,,,1.18,,3.67,,,,3,,33.33
9/2/2015,14432,FW08OK036,1,2009,23-Jun-09,SPL,BENT,BERWW,Good,O/E>0.9,YES,59.42,1.03230629,10,5.12,5.71,5.86,4.67,4.29,17.86,,,,,,,8,70.67,,2.24,4,,,,5,,,
9/2/2015,14433,FW08OK038,1,2009,10-Aug-09,SPL,BENT,BELGB,Fair,O/E<0.5,YES,29.13,0.47303297,2.65,7.87,1.43,0,2.67,2.86,36.36,,,,,,,5,17.95,,2.82,3,,,,2,,,
9/2/2015,14434,FW08OK039,1,2009,13-Jul-09,SPL,BENT,BERWW,Poor,O/E<0.5,YES,3.55,0.244738416,0,2.13,0,0,0,0,40,,,,,,,0,0,,1.61,0,,,,1,,,
9/2/2015,14435,FW08OK040,1,2009,23-Jun-09,SPL,BENT,BERWW,Good,O/E<0.5,YES,39.07,0.114790706,10,3.18,0,7.59,2.67,0,12.5,,,,,,,5,69.57,,1.83,1,,,,1,,,
9/2/2015,14436,FW08OK043,1,2009,26-Aug-09,SPL,BENT,BERWW,Fair,O/E<0.5,YES,23.73,0.12327205,10,0,0,3.57,0.67,0,25,,,,,,,2,83.33,,0.71,0,,,,1,,,
9/2/2015,14437,FW08OK047,1,2009,24-Aug-09,SPL,BENT,BERWW,Fair,O/E<0.5,YES,28.4,0.127187381,9.53,2.65,0,0,2,2.86,37.5,,,,,,,4,62.96,,1.72,3,,,,1,,,
9/2/2015,14438,FW08OK050,1,2009,9-Sep-09,CPL,BENT,BELGB,Poor,O/E<0.5,YES,38.27,0.498436922,6.78,5.98,3.75,0.37,3.12,2.96,,,,15.79,,,,6,,,2.63,,24,,,,4,,36.84
9/2/2015,14439,FW08OK052,1,2009,9-Jun-09,SPL,BENT,BERWW,Fair,O/E<0.8,YES,29.25,0.738740676,1.63,6.11,7.14,0,2.67,0,43.48,,,,,,,5,11.34,,2.45,1,,,,6,,,
9/2/2015,14440,FW08OK056,1,2009,15-Jun-09,SPL,BENT,BERWW,Poor,O/E<0.5,YES,12.62,0.378500747,2.68,3.46,0,0,0,1.43,42.86,,,,,,,1,18.18,,1.89,2,,,,0,,,
9/2/2015,14441,FW08OK057,1,2009,5-Aug-09,SPL,BENT,BERWW,Good,O/E<0.9,YES,36.75,0.869940211,2.4,8.72,1.43,1.21,4,4.29,32.35,,,,,,,7,16.33,,3,4,,,,2,,,
9/2/2015,14442,FW08OK058,1,2009,11-Aug-09,SAP,BENT,BELGB,Poor,O/E<0.8,YES,20.95,0.58465433,1.26,4.24,3.33,0,0.5,3.24,33.33,,,,,,8.33,6,,,2.64,,,,,6,,,19.44
9/2/2015,14443,FW08OK059,1,2009,14-Jul-09,SPL,BENT,BERWW,Fair,O/E<0.8,YES,29.68,0.619049803,10,0.19,0,4.19,2,1.43,23.08,,,,,,,4,85,,1.2,2,,,,1,,,
9/2/2015,14444,FW08OK074,1,2009,29-Jun-09,SAP,BENT,BERWW,Good,O/E>0.9,YES,47.58,1.019813408,5.28,5.18,3.33,6.14,3.5,5.12,11.76,,,,,,17.65,12,,,2.77,,,,,6,,,14.71
9/2/2015,14445,FW08RNM9061,1,2009,28-May-09,XER,BENT,BELGB,Fair,O/E>0.9,YES,52.63,1.083479465,10,0,1.43,9.34,3.53,7.28,,,,62.5,94.48,,,7,,,,,1,,,1,,,12.5
