SITE_ID,YEAR,VISIT_NO,EPT_RICH,UNIQUE_ID,MMI_BENT
NRS18_ID_10003,2018,1,11,NRS_ID-10218,61.55
FW08ID036,2008,1,17,NRS_ID-10220,63.43
IDS9-0923,2014,1,16,NRS_ID-10220,61.05
FW08ID037,2009,1,19,NRS_ID-10221,68.57
IDR9-0913,2013,1,16,NRS_ID-10221,66.03
FW08ID042,2009,1,16,NRS_ID-10226,54.94
FW08ID044,2008,1,14,NRS_ID-10228,63.31
IDS9-0924,2014,1,13,NRS_ID-10228,55.20
FW08ID045,2009,1,19,NRS_ID-10229,55.32
FW08ID047,,,,NRS_ID-10231,
FW08ID048,2009,1,4,NRS_ID-10232,29.59
FW08ID049,2009,1,17,NRS_ID-10233,55.01
FW08ID053,2008,1,10,NRS_ID-10236,38.78
IDS9-0925,2014,1,8,NRS_ID-10236,18.40
NRS18_ID_10006,2019,1,12,NRS_ID-10236,34.43
FW08ID057,2008,1,7,NRS_ID-10237,37.33
IDS9-0926,2014,1,9,NRS_ID-10237,24.08
NRS18_ID_10007,2019,1,8,NRS_ID-10237,37.17
FW08ID061,2008,1,18,NRS_ID-10241,54.25
IDS9-0927,2014,1,24,NRS_ID-10241,68.98
NRS18_ID_10008,2018,1,16,NRS_ID-10241,47.35
FW08ID071,2009,1,17,NRS_ID-10245,64.86
IDS9-0928,2014,1,20,NRS_ID-10245,49.92
FW08ID078,2009,1,19,NRS_ID-10249,48.52
IDS9-0929,2014,1,12,NRS_ID-10249,22.12
FW08ID085,2009,1,21,NRS_ID-10251,74.14
FW08RIDREF,2009,1,18,NRS_ID-10252,54.64
IDLS-1063,2013,1,7,NRS_ID-10255,30.57
NRS18_ID_10015,2019,1,17,NRS_ID-10255,60.15
NRS18_ID_10015,2019,2,12,NRS_ID-10255,34.90
IDLS-1064,2014,1,21,NRS_ID-10256,81.23
NRS18_ID_10020,2019,1,18,NRS_ID-10256,80.02
IDLS-1065,2014,1,19,NRS_ID-10257,68.32
NRS18_ID_10021,2018,1,20,NRS_ID-10257,71.08
IDLS-1068,2014,1,14,NRS_ID-10260,47.18
NRS18_ID_10022,2019,1,18,NRS_ID-10260,53.05
IDLS-1074,2014,1,16,NRS_ID-10266,57.28
IDLS-1077,2014,1,23,NRS_ID-10269,82.68
IDLS-1081,2014,1,22,NRS_ID-10273,73.47
IDLS-1082,2014,1,15,NRS_ID-10274,64.42
IDLS-1083,2014,1,14,NRS_ID-10275,41.45
IDLS-1086,2014,1,21,NRS_ID-10278,75.73
IDRM-1001,2013,1,0,NRS_ID-10279,7.15
NRS18_ID_10016,2018,1,2,NRS_ID-10279,15.25
NRS18_ID_10016,2018,2,2,NRS_ID-10279,14.35
IDRM-1002,2013,1,12,NRS_ID-10280,41.33
NRS18_ID_10026,2018,1,11,NRS_ID-10280,35.13
IDRM-1003,2014,1,17,NRS_ID-10281,57.80
NRS18_ID_10027,2019,1,8,NRS_ID-10281,26.35
IDRM-1005,2014,1,17,NRS_ID-10283,58.43
NRS18_ID_10028,2018,1,16,NRS_ID-10283,52.20
IDRM-1006,2014,1,5,NRS_ID-10284,29.03
NRS18_ID_10080,2018,1,5,NRS_ID-10284,33.13
IDRM-1007,2014,1,13,NRS_ID-10285,47.43
IDRM-1009,2013,1,11,NRS_ID-10287,38.72
IDRM-1010,2014,1,7,NRS_ID-10288,29.17
IDRM-1011,2013,1,5,NRS_ID-10289,15.02
IDRM-1013,2013,1,19,NRS_ID-10291,60.67
IDRM-1018,2014,1,11,NRS_ID-10296,46.50
IDRM-1019,2013,1,2,NRS_ID-10297,20.35
IDRM-1021,2013,1,14,NRS_ID-10299,50.85
IDRM-1022,2013,1,7,NRS_ID-10300,30.27
IDRM-1023,2013,1,10,NRS_ID-10301,53.05
IDRM-1024,2013,1,5,NRS_ID-10302,27.12
IDRO-1025,2013,1,17,NRS_ID-10303,51.25
NRS18_ID_10023,2018,1,21,NRS_ID-10303,66.85
IDRO-1029,2013,1,10,NRS_ID-10307,51.38
NRS18_ID_10024,2019,1,14,NRS_ID-10307,61.03
IDRO-1030,2013,1,13,NRS_ID-10308,55.77
NRS18_ID_10025,2019,1,12,NRS_ID-10308,70.77
IDRO-1031,2013,1,8,NRS_ID-10309,56.78
IDRO-1033,2013,1,14,NRS_ID-10311,42.48
IDRO-1034,2013,1,13,NRS_ID-10312,53.57
IDRO-1036,2013,1,9,NRS_ID-10314,48.27
IDRO-1039,2013,1,6,NRS_ID-10317,54.58
IDRO-1040,2014,1,13,NRS_ID-10318,59.22
IDRO-1041,2013,1,14,NRS_ID-10319,41.92
IDRO-1046,2014,1,9,NRS_ID-10324,38.55
IDRO-1047,2013,1,3,NRS_ID-10325,22.68
IDRO-1049,2013,1,1,NRS_ID-10327,2.92
IDRO-1050,2013,1,10,NRS_ID-10328,43.80
IDRO-1051,2014,1,11,NRS_ID-10329,62.42
IDRO-1052,2014,1,6,NRS_ID-10330,37.97
IDRO-1055,2014,1,12,NRS_ID-10333,69.17
IDRO-1056,2014,1,7,NRS_ID-10334,54.88
IDRO-1058,2014,1,19,NRS_ID-10336,59.75
IDSS-1111,2014,1,10,NRS_ID-10341,34.23
IDSS-1115,2014,1,14,NRS_ID-10345,64.82
NRS18_ID_10018,2019,1,14,NRS_ID-10345,68.38
IDSS-1128,2014,1,17,NRS_ID-10358,71.87
NRS18_ID_10019,2018,1,16,NRS_ID-10358,52.87
IDSS-1129,2014,1,15,NRS_ID-10359,44.88
NRS18_ID_10053,2019,1,17,NRS_ID-10359,58.22
IDSS-1132,2014,1,13,NRS_ID-10362,36.40
IDSS-1143,2014,1,1,NRS_ID-10373,7.15
IDSS-1147,2014,1,11,NRS_ID-10377,26.27
NRS18_ID_10056,2019,1,11,NRS_ID-10377,60.93
IDSS-1148,2014,1,3,NRS_ID-10378,8.15
NRS18_ID_10057,2018,1,22,NRS_ID-10378,68.82
IDRF-0101,2014,1,18,NRS_ID-10379,63.80
IDRF-0102,2014,1,12,NRS_ID-10380,36.17
IDRF-0103,2014,1,10,NRS_ID-10381,45.60
IDRF-0104,2014,1,16,NRS_ID-10382,51.82
IDRF-0105,2014,1,10,NRS_ID-10383,35.03
NRS18_ID_10035,2018,1,19,NRS_ID-10390,71.68
NRS18_ID_10036,2019,1,7,NRS_ID-10391,42.05
NRS18_ID_10037,2019,1,11,NRS_ID-10392,22.25
NRS18_ID_10041,2019,1,12,NRS_ID-10396,47.35
NRS18_ID_10042,2018,1,4,NRS_ID-10397,18.45
NRS18_ID_10095,2018,1,15,NRS_ID-10402,40.62
NRS18_ID_10110,2019,1,26,NRS_ID-10417,73.68
NRS18_ID_10117,2019,1,13,NRS_ID-10424,55.70
NRS18_ID_10120,2019,1,19,NRS_ID-10427,66.83
NRS18_ID_10245,2018,1,17,NRS_ID-10431,76.72
NRS18_ID_10280,2018,1,22,NRS_ID-10466,89.08
NRS18_ID_10542,2019,1,17,NRS_ID-10478,72.42
NRS18_ID_10547,2019,1,21,NRS_ID-10483,82.42
NRS18_ID_10842,2018,1,7,NRS_ID-10484,50.25
NRS18_ID_10843,2019,1,14,NRS_ID-10485,64.90
NRS18_ID_10847,2019,1,6,NRS_ID-10489,46.17
NRS18_ID_10992,2018,1,17,NRS_ID-10490,49.98
NRS18_ID_11142,2019,1,10,NRS_ID-10491,66.30
FW08IL005,2009,1,6,NRS_IL-10009,34.64
FW08IL001,2009,1,0,NRS_IL-10012,21.88
FW08IL001,2009,2,5,NRS_IL-10012,32.50
FW08IL006,2008,1,4,NRS_IL-10016,14.57
FW08IL004,2009,1,3,NRS_IL-10025,38.71
FW08IL002,2009,1,2,NRS_IL-10030,22.34
FW08IL002,2009,2,6,NRS_IL-10030,46.37
FW08IL007,2009,1,8,NRS_IL-10033,53.21
FW08IL008,2009,1,0,NRS_IL-10034,4.42
FW08IL009,2009,1,3,NRS_IL-10035,26.26
FW08IL009,2009,2,1,NRS_IL-10035,21.18
ILR9-0901,2014,1,1,NRS_IL-10035,1.07
ILR9-0901,2014,2,2,NRS_IL-10035,4.60
NRS18_IL_10002,2018,1,0,NRS_IL-10035,16.67
NRS18_IL_10002,2018,2,1,NRS_IL-10035,6.00
FW08IL010,2009,1,2,NRS_IL-10036,22.56
ILS9-0919,2014,1,3,NRS_IL-10036,36.40
ILS9-0919,2014,2,4,NRS_IL-10036,18.75
NRS18_IL_10001,2018,1,2,NRS_IL-10036,24.50
NRS18_IL_10001,2018,2,3,NRS_IL-10036,37.28
FW08IL011,2008,1,10,NRS_IL-10037,62.10
FW08IL011,2008,2,3,NRS_IL-10037,24.86
ILR9-0902,2013,1,5,NRS_IL-10037,36.80
ILR9-0902,2013,2,6,NRS_IL-10037,30.88
FW08IL012,2009,1,1,NRS_IL-10038,38.09
ILR9-0903,2014,1,1,NRS_IL-10038,17.53
NRS18_IL_10008,2018,1,2,NRS_IL-10038,18.47
FW08IL013,2009,1,5,NRS_IL-10039,31.93
ILR9-0904,2014,1,8,NRS_IL-10039,30.37
NRS18_IL_10009,2018,1,4,NRS_IL-10039,24.98
FW08IL017,2008,1,14,NRS_IL-10043,74.56
ILR9-0905,2014,1,17,NRS_IL-10043,73.12
NRS18_IL_10010,2018,1,10,NRS_IL-10043,51.03
FW08IL018,2008,1,17,NRS_IL-10044,75.14
ILR9-0906,2014,1,15,NRS_IL-10044,58.82
NRS18_IL_10011,2018,1,11,NRS_IL-10044,47.80
FW08IL020,2009,1,5,NRS_IL-10046,39.84
ILS9-0920,2013,1,1,NRS_IL-10046,13.47
NRS18_IL_10003,2018,1,0,NRS_IL-10046,6.53
FW08IL021,2009,1,9,NRS_IL-10047,44.40
ILS9-0921,2013,1,4,NRS_IL-10047,32.27
NRS18_IL_10004,2018,1,3,NRS_IL-10047,24.25
FW08IL022,2008,1,11,NRS_IL-10048,58.71
ILR9-0907,2014,1,10,NRS_IL-10048,46.58
NRS18_IL_10012,2018,1,5,NRS_IL-10048,8.65
FW08IL023,2009,1,1,NRS_IL-10049,20.28
ILS9-0922,2014,1,0,NRS_IL-10049,7.98
NRS18_IL_10005,2018,1,4,NRS_IL-10049,32.52
FW08IL024,2008,1,5,NRS_IL-10050,43.86
FW08IL025,2009,1,3,NRS_IL-10051,8.76
FW08IL027,2008,1,3,NRS_IL-10053,27.17
ILR9-0909,2014,1,4,NRS_IL-10053,27.27
FW08IL028,2008,1,6,NRS_IL-10054,44.12
FW08IL029,2008,1,12,NRS_IL-10055,57.57
FW08IL030,2009,1,5,NRS_IL-10056,41.27
FW08IL031,2008,1,11,NRS_IL-10057,62.39
FW08IL032,2009,1,1,NRS_IL-10058,14.16
ILS9-0924,2014,1,1,NRS_IL-10058,18.28
FW08IL035,2009,1,1,NRS_IL-10061,29.82
FW08IL036,2008,1,9,NRS_IL-10062,51.53
FW08IL038,2008,1,10,NRS_IL-10064,46.20
FW08IL040,2009,1,1,NRS_IL-10066,9.12
FW08IL041,2009,1,2,NRS_IL-10067,29.10
ILS9-0926,2014,1,2,NRS_IL-10067,34.33
FW08IL042,2009,1,0,NRS_IL-10068,0.94
FW08IL043,2009,1,3,NRS_IL-10069,13.58
ILS9-0928,2014,1,5,NRS_IL-10069,32.57
ILS9-0928,2014,2,5,NRS_IL-10069,17.45
FW08IL044,2009,1,,NRS_IL-10070,
FW08IL045,2009,1,3,NRS_IL-10071,4.87
FW08RIL2AK07,2008,1,9,NRS_IL-10072,28.89
FW08RIL2CA08,2008,1,3,NRS_IL-10073,22.00
FW08RIL2DJE02,2008,1,6,NRS_IL-10074,36.94
FW08RIL2ICE01,2008,1,12,NRS_IL-10075,55.38
FW08RIL9002,2008,1,14,NRS_IL-10076,80.72
ILLS-1067,2013,1,8,NRS_IL-10077,43.95
NRS18_IL_10013,2018,1,4,NRS_IL-10077,23.08
NRS18_IL_10013,2018,2,5,NRS_IL-10077,34.68
ILLS-1068,2014,1,3,NRS_IL-10078,19.98
ILLS-1069,2013,1,5,NRS_IL-10079,35.40
NRS18_IL_10019,2018,1,7,NRS_IL-10079,39.68
ILLS-1070,2014,1,3,NRS_IL-10080,21.18
NRS18_IL_10020,2018,1,3,NRS_IL-10080,27.10
ILLS-1071,2013,1,6,NRS_IL-10081,44.40
NRS18_IL_10054,2018,1,4,NRS_IL-10081,28.37
ILLS-1074,2013,1,8,NRS_IL-10084,55.15
ILLS-1075,2014,1,11,NRS_IL-10085,43.17
ILLS-1076,2014,1,8,NRS_IL-10086,48.95
ILRM-1001,2014,1,8,NRS_IL-10087,36.53
NRS18_IL_10014,2019,1,4,NRS_IL-10087,16.12
NRS18_IL_10014,2019,2,4,NRS_IL-10087,27.60
ILRM-1002,2014,1,8,NRS_IL-10088,50.67
NRS18_IL_10024,2018,1,4,NRS_IL-10088,21.43
ILRM-1003,2014,1,1,NRS_IL-10089,19.30
NRS18_IL_10025,2018,1,0,NRS_IL-10089,16.67
ILRO-1019,2014,1,8,NRS_IL-10090,18.83
NRS18_IL_10021,2018,1,2,NRS_IL-10090,5.80
ILRO-1022,2014,1,4,NRS_IL-10093,24.97
NRS18_IL_10022,2018,1,11,NRS_IL-10093,55.32
ILRO-1023,2014,1,3,NRS_IL-10094,3.35
NRS18_IL_10023,2018,1,3,NRS_IL-10094,17.67
ILRO-1024,2014,1,5,NRS_IL-10095,38.90
ILRO-1025,2013,1,8,NRS_IL-10096,26.47
ILRO-1026,2014,1,4,NRS_IL-10097,36.82
ILRO-1027,2013,1,7,NRS_IL-10098,23.47
ILRO-1028,2014,1,6,NRS_IL-10099,16.65
ILSS-1117,2014,1,0,NRS_IL-10102,1.97
NRS18_IL_10015,2018,1,0,NRS_IL-10102,5.12
ILSS-1118,2014,1,2,NRS_IL-10103,15.25
NRS18_IL_10016,2018,1,10,NRS_IL-10103,37.62
ILSS-1119,2014,1,2,NRS_IL-10104,25.68
NRS18_IL_10017,2018,1,4,NRS_IL-10104,28.87
ILSS-1120,2014,1,4,NRS_IL-10105,14.47
ILSS-1122,2014,1,4,NRS_IL-10107,4.45
ILSS-1124,2014,1,2,NRS_IL-10109,18.53
ILSS-1125,2013,1,3,NRS_IL-10110,24.47
ILSS-1128,2013,1,1,NRS_IL-10113,14.78
ILSS-1130,2013,1,1,NRS_IL-10115,21.62
ILRF-0001,2013,1,8,NRS_IL-10116,30.35
ILRF-0002,2013,1,10,NRS_IL-10117,61.30
ILRF-0003,2013,1,13,NRS_IL-10118,79.00
ILSS-1169,2014,1,2,NRS_IL-10119,18.67
NRS18_IL_10026,2018,1,0,NRS_IL-10120,2.08
NRS18_IL_10027,2018,1,3,NRS_IL-10121,20.53
NRS18_IL_10030,2018,1,2,NRS_IL-10124,25.52
NRS18_IL_10031,2018,1,2,NRS_IL-10125,6.82
NRS18_IL_10033,2018,1,9,NRS_IL-10127,49.75
NRS18_IL_10035,2018,1,7,NRS_IL-10129,46.57
NRS18_IL_10036,2018,1,4,NRS_IL-10130,32.08
NRS18_IL_10037,2018,1,3,NRS_IL-10131,9.83
NRS18_IL_10040,2018,1,6,NRS_IL-10134,32.98
NRS18_IL_10041,2018,1,11,NRS_IL-10135,61.00
NRS18_IL_10042,2018,1,3,NRS_IL-10136,12.95
NRS18_IL_10044,2018,1,5,NRS_IL-10138,31.68
NRS18_IL_10363,2018,1,2,NRS_IL-10139,28.62
NRS18_IL_10364,2018,1,6,NRS_IL-10140,41.55
NRS18_IL_10366,2018,1,4,NRS_IL-10142,30.87
NRS18_IL_10514,2018,1,2,NRS_IL-10144,3.82
NRS18_IL_10968,2018,1,4,NRS_IL-10150,31.00
NRS18_IL_10971,2018,1,10,NRS_IL-10153,52.68
NRS18_IL_11563,2018,1,3,NRS_IL-10155,24.53
NRS18_IL_11565,2018,1,9,NRS_IL-10157,49.50
NRS18_IL_11715,2019,1,7,NRS_IL-10160,31.10
FW08IN004,2008,1,2,NRS_IN-10009,19.77
FW08IN001,2009,1,5,NRS_IN-10012,46.71
FW08IN001,2009,2,6,NRS_IN-10012,50.68
FW08IN002,2008,1,7,NRS_IN-10015,56.93
FW08IN002,2008,2,4,NRS_IN-10015,37.75
FW08IN003,2008,1,3,NRS_IN-10016,33.45
FW08IN005,2008,1,1,NRS_IN-10021,9.13
FW08IN006,2009,1,,NRS_IN-10024,
FW08IN006,2009,2,,NRS_IN-10024,
INR9-0901,2014,1,5,NRS_IN-10024,40.08
INR9-0901,2014,2,7,NRS_IN-10024,24.95
NRS18_IN_10002,2019,1,5,NRS_IN-10024,42.32
NRS18_IN_10002,2019,2,4,NRS_IN-10024,12.67
FW08IN007,2009,1,2,NRS_IN-10025,9.62
FW08IN008,2008,1,10,NRS_IN-10026,34.20
FW08IN008,2008,2,7,NRS_IN-10026,17.16
FW08IN008,2009,1,,NRS_IN-10026,
FW08IN008,2009,2,,NRS_IN-10026,
INR9-0902,2014,1,10,NRS_IN-10026,35.15
INR9-0902,2014,2,7,NRS_IN-10026,21.65
FW08IN009,2008,1,9,NRS_IN-10027,43.08
INR9-0903,2014,1,7,NRS_IN-10027,32.28
NRS18_IN_10006,2019,1,3,NRS_IN-10027,27.75
FW08IN010,2009,1,,NRS_IN-10028,
INR9-0904,2014,1,5,NRS_IN-10028,30.18
NRS18_IN_10007,2019,1,2,NRS_IN-10028,30.87
FW08IN011,2008,1,11,NRS_IN-10029,67.52
FW08IN011,2009,1,,NRS_IN-10029,
FW08IN012,2009,1,0,NRS_IN-10030,6.86
INS9-0918,2013,1,4,NRS_IN-10030,29.38
INS9-0918,2013,2,3,NRS_IN-10030,31.97
NRS18_IN_10001,2018,1,2,NRS_IN-10030,24.45
NRS18_IN_10001,2018,2,5,NRS_IN-10030,40.68
FW08IN013,2008,1,6,NRS_IN-10031,37.77
FW08IN014,2008,1,11,NRS_IN-10032,60.72
FW08IN015,2008,1,17,NRS_IN-10033,66.06
FW08IN016,2008,1,8,NRS_IN-10034,26.53
INS9-0919,2014,1,8,NRS_IN-10034,32.60
NRS18_IN_10003,2018,1,2,NRS_IN-10034,15.20
FW08IN017,2008,1,15,NRS_IN-10035,58.27
FW08IN018,2008,1,0,NRS_IN-10036,12.74
INS9-0920,2013,1,1,NRS_IN-10036,14.35
FW08IN019,2009,1,4,NRS_IN-10037,53.20
INS9-0921,2014,1,7,NRS_IN-10037,55.05
NRS18_IN_10005,2018,1,6,NRS_IN-10037,43.43
FW08IN020,2008,1,9,NRS_IN-10038,63.35
FW08IN021,2009,1,13,NRS_IN-10039,41.47
INS9-0922,2014,1,24,NRS_IN-10039,72.20
NRS18_IN_10036,2019,1,9,NRS_IN-10039,44.97
FW08IN022,2009,1,,NRS_IN-10040,
FW08IN023,2008,1,8,NRS_IN-10041,40.88
INS9-0923,2013,1,3,NRS_IN-10041,40.25
FW08IN024,2009,1,,NRS_IN-10042,
FW08IN025,2008,1,14,NRS_IN-10043,43.71
FW08IN027,2009,1,0,NRS_IN-10045,9.98
INS9-0924,2014,1,1,NRS_IN-10045,16.87
FW08IN028,2008,1,4,NRS_IN-10046,32.36
INS9-0925,2014,1,9,NRS_IN-10046,25.63
FW08IN029,2008,1,4,NRS_IN-10047,22.44
FW08IN030,2008,1,9,NRS_IN-10048,53.23
FW08IN030,2009,1,,NRS_IN-10048,
FW08IN031,2009,1,9,NRS_IN-10049,40.42
INS9-0927,2014,1,13,NRS_IN-10049,76.48
INS9-0927,2014,2,11,NRS_IN-10049,62.50
FW08IN032,2009,1,,NRS_IN-10050,
FW08IN033,2008,1,11,NRS_IN-10051,47.54
FW08IN039,2009,1,6,NRS_IN-10052,52.60
FW08RIN9035,2008,1,12,NRS_IN-10053,70.49
FW08RIN9046,2008,1,6,NRS_IN-10054,53.13
INLS-1043,2014,1,11,NRS_IN-10055,43.92
NRS18_IN_10008,2018,1,13,NRS_IN-10055,30.53
NRS18_IN_10008,2018,2,9,NRS_IN-10055,19.63
INLS-1044,2013,1,8,NRS_IN-10056,49.72
NRS18_IN_10012,2019,1,6,NRS_IN-10056,50.20
INLS-1045,2014,1,8,NRS_IN-10057,58.78
NRS18_IN_10013,2018,1,9,NRS_IN-10057,65.08
INLS-1048,2014,1,9,NRS_IN-10060,55.87
INRM-1002,2014,1,8,NRS_IN-10062,47.80
NRS18_IN_10009,2019,1,9,NRS_IN-10062,45.63
NRS18_IN_10009,2019,2,7,NRS_IN-10062,22.57
INRM-1003,2014,1,2,NRS_IN-10063,4.73
INRM-1004,2014,1,11,NRS_IN-10064,48.63
NRS18_IN_10017,2019,1,10,NRS_IN-10064,35.45
INRM-1005,2014,1,9,NRS_IN-10065,55.68
NRS18_IN_10046,2019,1,7,NRS_IN-10065,32.12
INRO-1025,2014,1,7,NRS_IN-10066,32.52
INRO-1026,2014,1,10,NRS_IN-10067,21.95
NRS18_IN_10015,2019,1,6,NRS_IN-10067,22.28
INRO-1027,2013,1,15,NRS_IN-10068,79.00
INSS-1088,2013,1,3,NRS_IN-10070,36.40
NRS18_IN_10010,2018,1,4,NRS_IN-10070,51.13
INSS-1089,2013,1,4,NRS_IN-10071,32.50
INSS-1090,2014,1,0,NRS_IN-10072,15.22
NRS18_IN_10040,2019,1,2,NRS_IN-10072,17.85
INSS-1092,2014,1,10,NRS_IN-10074,68.15
INSS-1093,2014,1,1,NRS_IN-10075,27.55
INSS-1095,2014,1,5,NRS_IN-10077,41.10
INRF-0001,2013,1,14,NRS_IN-10078,79.25
INRF-0002,2013,1,8,NRS_IN-10079,61.32
NRS18_IN_10014,2019,1,8,NRS_IN-10080,24.93
NRS18_IN_10019,2019,1,2,NRS_IN-10082,16.32
NRS18_IN_10021,2018,1,6,NRS_IN-10084,24.60
NRS18_IN_10025,2018,1,2,NRS_IN-10088,23.60
NRS18_IN_10026,2018,1,4,NRS_IN-10089,27.82
NRS18_IN_10027,2019,1,8,NRS_IN-10090,30.07
NRS18_IN_10028,2019,1,,NRS_IN-10091,
NRS18_IN_10030,2019,1,3,NRS_IN-10093,26.03
NRS18_IN_10032,2019,1,5,NRS_IN-10095,30.25
NRS18_IN_10033,2019,1,4,NRS_IN-10096,16.30
NRS18_IN_10053,2018,1,4,NRS_IN-10103,20.97
NRS18_IN_10347,2018,1,5,NRS_IN-10104,19.53
NRS18_IN_10498,2018,1,5,NRS_IN-10106,19.23
NRS18_IN_10649,2019,1,6,NRS_IN-10109,22.22
NRS18_IN_10650,2019,1,10,NRS_IN-10110,58.48
NRS18_IN_11097,2019,1,3,NRS_IN-10111,24.45
NRS18_IN_11547,2019,1,6,NRS_IN-10112,31.23
FW08KS005,2008,1,3,NRS_KS-10007,17.32
FW08KS003,2008,1,6,NRS_KS-10008,50.93
FW08KS003,2009,1,9,NRS_KS-10008,66.61
FW08KS006,2008,1,4,NRS_KS-10011,15.68
FW08KS001,2008,1,6,NRS_KS-10018,39.64
FW08KS001,2009,1,3,NRS_KS-10018,27.56
FW08KS001,2009,2,4,NRS_KS-10018,22.78
FW08KS007,2009,1,8,NRS_KS-10035,47.45
FW08KS007,2009,2,16,NRS_KS-10035,66.81
KSR9-0901,2013,1,11,NRS_KS-10035,54.67
KSR9-0901,2013,2,6,NRS_KS-10035,38.38
NRS18_KS_10002,2019,1,9,NRS_KS-10035,50.38
FW08KS008,2008,1,10,NRS_KS-10036,54.39
KSR9-0902,2013,1,3,NRS_KS-10036,19.30
FW08KS009,2009,1,11,NRS_KS-10037,42.24
KSR9-0903,2013,1,8,NRS_KS-10037,50.28
FW08KS010,2009,1,10,NRS_KS-10038,68.57
FW08KS010,2009,2,13,NRS_KS-10038,65.54
KSR9-0904,2013,1,10,NRS_KS-10038,37.40
KSR9-0904,2013,2,8,NRS_KS-10038,30.18
FW08KS011,2009,1,7,NRS_KS-10039,41.74
KSR9-0905,2013,1,15,NRS_KS-10039,63.93
NRS18_KS_10009,2019,1,10,NRS_KS-10039,57.30
FW08KS012,2008,1,15,NRS_KS-10040,77.20
KSS9-0930,2014,1,7,NRS_KS-10040,50.72
KSS9-0930,2014,2,2,NRS_KS-10040,42.23
NRS18_KS_10001,2018,1,9,NRS_KS-10040,58.63
NRS18_KS_10001,2018,2,10,NRS_KS-10040,63.05
FW08KS015,2009,1,15,NRS_KS-10043,69.08
KSR9-0906,2013,1,10,NRS_KS-10043,56.73
FW08KS016,2009,1,6,NRS_KS-10044,39.90
FW08KS017,2009,1,2,NRS_KS-10045,25.36
KSR9-0907,2013,1,3,NRS_KS-10045,32.30
FW08KS018,2008,1,13,NRS_KS-10046,68.02
KSR9-0908,2013,1,8,NRS_KS-10046,50.08
NRS18_KS_10049,2019,1,8,NRS_KS-10046,44.93
FW08KS019,2009,1,1,NRS_KS-10047,18.32
FW08KS021,2008,1,3,NRS_KS-10049,18.16
KSS9-0932,2013,1,2,NRS_KS-10049,5.95
FW08KS022,2008,1,8,NRS_KS-10050,51.19
KSR9-0910,2013,1,3,NRS_KS-10050,22.40
NRS18_KS_10050,2019,1,10,NRS_KS-10050,48.82
FW08KS023,2009,1,3,NRS_KS-10051,18.00
KSR9-0911,2013,1,3,NRS_KS-10051,9.47
NRS18_KS_10051,2019,1,11,NRS_KS-10051,51.13
NRS18_KS_10051,2019,2,5,NRS_KS-10051,29.37
FW08KS024,2009,1,4,NRS_KS-10052,15.35
KSR9-0912,2013,1,8,NRS_KS-10052,27.05
FW08KS025,2009,1,5,NRS_KS-10053,28.42
FW08KS028,2009,1,18,NRS_KS-10056,76.72
KSS9-0933,2013,1,1,NRS_KS-10056,31.53
FW08KS029,2009,1,8,NRS_KS-10057,32.83
FW08KS031,2009,1,3,NRS_KS-10059,28.67
KSS9-0934,2013,1,7,NRS_KS-10059,38.63
NRS18_KS_10005,2018,1,4,NRS_KS-10059,22.38
FW08KS032,2009,1,10,NRS_KS-10060,61.20
KSR9-0915,2014,1,11,NRS_KS-10060,58.18
FW08KS033,2008,1,4,NRS_KS-10061,28.82
FW08KS036,2008,1,2,NRS_KS-10064,25.69
FW08KS037,2009,1,6,NRS_KS-10065,42.40
FW08KS038,2008,1,6,NRS_KS-10066,37.23
KSS9-0936,2013,1,3,NRS_KS-10066,29.47
NRS18_KS_10006,2018,1,5,NRS_KS-10066,36.13
FW08KS039,2008,1,4,NRS_KS-10067,25.60
FW08KS040,2008,1,9,NRS_KS-10068,61.23
FW08KS042,2008,1,0,NRS_KS-10070,16.80
KSS9-0938,2013,1,2,NRS_KS-10070,18.77
KSS9-0938,2013,2,5,NRS_KS-10070,30.93
FW08KS043,2008,1,10,NRS_KS-10071,63.43
FW08KS044,2009,1,11,NRS_KS-10072,38.08
FW08KS045,2009,1,8,NRS_KS-10073,35.39
FW08KS047,2009,1,5,NRS_KS-10075,42.45
FW08KS048,2009,1,8,NRS_KS-10076,40.72
FW08KS048,2009,2,8,NRS_KS-10076,54.27
FW08KS055,2009,1,4,NRS_KS-10079,20.92
FW08KS056,2009,1,7,NRS_KS-10080,33.70
FW08KS057,2009,1,1,NRS_KS-10081,21.76
FW08KS058,2009,1,11,NRS_KS-10082,57.30
FW08KS059,2009,1,15,NRS_KS-10083,72.25
FW08KS060,2009,1,9,NRS_KS-10084,48.62
FW08KS061,2009,1,7,NRS_KS-10085,25.43
FW08KS063,2009,1,8,NRS_KS-10087,62.68
FW08RKS9002,2008,1,9,NRS_KS-10088,63.20
FW08RKS9003,2008,1,1,NRS_KS-10089,29.22
FW08RKS9777,2008,1,4,NRS_KS-10090,27.24
FW08RKS9888,2008,1,0,NRS_KS-10091,19.82
FW08RKS9999,2008,1,12,NRS_KS-10092,59.92
KSRS-1255,2013,1,8,NRS_KS-10093,47.35
NRS18_KS_10012,2019,1,6,NRS_KS-10093,38.63
NRS18_KS_10012,2019,2,7,NRS_KS-10093,36.22
KSRS-1258,2013,1,8,NRS_KS-10096,39.82
KSRS-1260,2014,1,6,NRS_KS-10098,42.00
KSRS-1261,2013,1,2,NRS_KS-10099,16.97
