UID,O,E,OoverE,Onull,Enull,OoverE.null,BC,BC.null
2012551,4,9.650583874,0.414482694,3,7.693617021,0.389933628,0.614013602,0.604456825
2012552,14,13.08451366,1.069967166,14,12.1559322,1.15170106,0.251443582,0.265940902
2012553,12,8.057076063,1.489374049,11,7.693617021,1.429756637,0.196585181,0.233781015
2012554,4,11.01282277,0.363212964,3,7.693617021,0.389933628,0.610344176,0.566255472
2012555,5,8.924306048,0.560267653,6,7.693617021,0.779867257,0.491871559,0.415786203
2012556,4,8.280249858,0.48307721,4,7.693617021,0.519911504,0.60969556,0.58224163
2012557,4,9.240142302,0.432893766,2,9.059375,0.220765781,0.580141688,0.792314213
2012558,14,14.36700827,0.974454788,14,12.1559322,1.15170106,0.275827585,0.252980819
2012559,7,10.07494858,0.694792628,7,7.693617021,0.909845133,0.402597069,0.356501593
2012560,8,9.030943668,0.885843196,7,7.693617021,0.909845133,0.395308798,0.373298581
2012561,8,9.243509684,0.865472128,9,7.693617021,1.169800885,0.33036805,0.280652562
2012562,3,7.897435368,0.379870155,1,7.693617021,0.129977876,0.651001761,0.822809594
2012563,7,9.853771621,0.710387887,6,7.693617021,0.779867257,0.402626118,0.388440025
2012564,6,11.03844944,0.543554603,6,7.693617021,0.779867257,0.485520366,0.392169049
2012565,10,7.736184237,1.29262692,6,9.059375,0.662297344,0.186972356,0.397800374
2012566,12,15.61825363,0.768331741,10,12.1559322,0.822643614,0.418009481,0.358935129
2012567,5,6.684365508,0.748014152,5,7.693617021,0.649889381,0.419384763,0.477707006
2012568,12,8.951837158,1.340506958,9,7.693617021,1.169800885,0.254260345,0.274534795
2012569,12,10.56456824,1.13587226,8,7.693617021,1.039823009,0.283890817,0.315075922
2012570,5,8.442196897,0.592262898,3,9.059375,0.331148672,0.472144299,0.659497279
2012571,9,17.58575496,0.511777858,3,12.1559322,0.246793084,0.534859569,0.684186983
2012572,6,14.23708776,0.421434503,6,12.1559322,0.493586168,0.544882438,0.517176998
