UNIQUE_ID,IND_DOMAIN,DSGN_CYCLE,WGT_TP,SITE_ID
NRS_SD-10321,CORE,2008-09,48.99012996,FW08SD058
NRS_SD-10323,CORE,2008-09,48.99012996,FW08SD060
NRS_SD-10324,CORE,2008-09,147.2174767,FW08SD061
NRS_SD-10326,CORE,2008-09,48.99012996,FW08SD063
NRS_SD-10328,CORE,2008-09,199.7515681,FW08SD065
NRS_SD-10328,CORE,2013-14,199.7515681,SDS9-0939
NRS_SD-10328,CORE,2018-19,199.7515681,NRS18_SD_10005
NRS_SD-10330,CORE,2008-09,147.2174767,FW08SD067
NRS_SD-10333,CORE,2008-09,146.0065612,FW08SD070
NRS_SD-10334,CORE,2008-09,146.0065612,FW08SD071
NRS_SD-10334,CORE,2013-14,146.0065612,SDS9-0941
NRS_SD-10334,CORE,2018-19,146.0065612,NRS18_SD_10006
NRS_SD-10335,CORE,2008-09,48.99012996,FW08SD072
NRS_SD-10338,CORE,2008-09,48.99012996,FW08SD075
NRS_SD-10341,CORE,2008-09,48.99012996,FW08SD078
NRS_SD-10347,CORE,2008-09,48.99012996,FW08SD084
NRS_SD-10348,CORE,2008-09,324.6660261,FW08SD085
NRS_SD-10348,CORE,2013-14,324.6660261,SDS9-0942
NRS_SD-10348,CORE,2018-19,324.6660261,NRS18_SD_10001
NRS_SD-10352,CORE,2008-09,146.0065612,FW08SD089
NRS_SD-10354,CORE,2008-09,48.99012996,FW08SD091
NRS_SD-10355,CORE,2008-09,146.0065612,FW08SD092
NRS_SD-10355,CORE,2013-14,146.0065612,SDS9-0944
NRS_SD-10357,CORE,2008-09,48.99012996,FW08SD094
NRS_SD-10358,CORE,2008-09,48.99012996,FW08SD095
NRS_SD-10360,CORE,2008-09,118.4842801,FW08SD097
NRS_SD-10360,CORE,2013-14,118.4842801,SDS9-0945
NRS_SD-10361,CORE,2008-09,48.99012996,FW08SD098
NRS_SD-10362,CORE,2008-09,136.6237282,FW08SD100
NRS_SD-10363,CORE,2008-09,146.0065612,FW08SD105
NRS_SD-10369,CORE,2008-09,146.0065612,FW08SD165
NRS_SD-10374,CORE,2013-14,146.0065612,SDLS-1110
NRS_SD-10374,CORE,2018-19,146.0065612,NRS18_SD_10013
NRS_SD-10377,CORE,2013-14,324.6660261,SDLS-1113
NRS_SD-10377,CORE,2018-19,324.6660261,NRS18_SD_10018
NRS_SD-10378,CORE,2013-14,136.6237282,SDLS-1114
NRS_SD-10378,CORE,2018-19,136.6237282,NRS18_SD_10019
NRS_SD-10380,CORE,2013-14,146.0065612,SDLS-1116
NRS_SD-10380,CORE,2018-19,146.0065612,NRS18_SD_10020
NRS_SD-10381,CORE,2013-14,57.84470433,SDLS-1117
NRS_SD-10382,CORE,2013-14,146.0065612,SDLS-1118
NRS_SD-10383,CORE,2013-14,146.0065612,SDLS-1119
NRS_SD-10384,CORE,2013-14,324.6660261,SDLS-1120
NRS_SD-10385,CORE,2013-14,48.99012996,SDRM-1001
NRS_SD-10385,CORE,2018-19,48.99012996,NRS18_SD_10014
NRS_SD-10388,CORE,2013-14,126.820084,SDRM-1004
NRS_SD-10388,CORE,2018-19,126.820084,NRS18_SD_10024
NRS_SD-10389,CORE,2013-14,48.99012996,SDRM-1005
NRS_SD-10389,CORE,2018-19,48.99012996,NRS18_SD_10025
NRS_SD-10391,CORE,2013-14,11.47308524,SDRM-1007
NRS_SD-10391,CORE,2018-19,11.47308524,NRS18_SD_10026
NRS_SD-10395,CORE,2013-14,48.99012996,SDRM-1011
NRS_SD-10396,CORE,2013-14,126.820084,SDRM-1012
NRS_SD-10397,CORE,2013-14,48.99012996,SDRM-1013
NRS_SD-10398,CORE,2013-14,48.99012996,SDRM-1014
NRS_SD-10400,CORE,2013-14,48.99012996,SDRM-1016
NRS_SD-10401,CORE,2013-14,48.99012996,SDRM-1017
NRS_SD-10404,CORE,2013-14,126.820084,SDRM-1020
NRS_SD-10406,CORE,2013-14,48.99012996,SDRM-1022
NRS_SD-10407,CORE,2013-14,126.820084,SDRO-1067
NRS_SD-10407,CORE,2018-19,126.820084,NRS18_SD_10021
NRS_SD-10410,CORE,2013-14,48.99012996,SDRO-1070
NRS_SD-10410,CORE,2018-19,48.99012996,NRS18_SD_10022
NRS_SD-10411,CORE,2013-14,48.99012996,SDRO-1071
NRS_SD-10411,CORE,2018-19,48.99012996,NRS18_SD_10023
