"SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE_OLD"
"KSRS-1288",1,16.45,0.409185953
"AZR9-0903",1,11.4,0.279837816
"AZSS-1115",1,43.67,1.263744136
"KSR9-0910",1,22.4,0.939382504
"AZLS-1055",1,34.38,1.32908917
"KSRS-1270",1,24.28,0.725868123
"KSS9-0933",1,31.53,1.350914603
"AZR9-0903",2,11.4,0.279837816
"KYRM-1006",1,27.8,0.493663102
"KSR9-0902",1,19.3,0.860671853
"KYRM-1002",1,3.87,0.538082076
"GAS9-0921",1,10.3,0.600774125
"GAS9-0915",1,8.28,0.419024904
"PARM-1005",1,14.83,0.519596583
"OHRM-1002",1,6.07,0.30537884
"PARM-1001",1,17.93,0.427861145
"NJS9-0908",1,13.15,0.347799868
"CARM-1007",1,9.87,0.225447522
"AZR9-0902",1,29.02,0.735991287
"AZR9-0901",1,21.37,0.763844541
"CARM-1003",1,5.57,0.19523375
"NJRO-1019",1,0,0.308842648
"TXR9-0907",1,37.6,0.788006314
"GAS9-0916",1,63.47,0.93840983
"NES9-0934",1,0,0.350016091
"KSRS-1261",1,16.97,0.551612043
"KSRS-1277",1,40.15,0.955162647
"OKR9-0901",1,24.4,0.521339129
"PALS-1091",1,90.87,1.213144964
"NJLS-1043",1,11.75,0.685182851
"DELS-1036",1,32.67,1.054678067
"NES9-0923",1,31.65,0.482708595
"NES9-0930",1,0,0.454701286
"WVRF-0001",1,62.08,1.001752253
"OKS9-0935",1,31.32,0.796008191
"PAS9-0918",1,79.53,0.913427456
"MDS9-0914",1,19.75,1.023270872
"NJR9-0901",1,49.85,0.661073246
"TXS9-0926",1,18.03,0.637870198
"NJSS-1082",1,14.67,0.506655426
"NJRO-1020",1,8.28,0.211434138
"MNSS-1171",1,28.68,1.063484175
"PAS9-0923",1,22.53,0.859302279
"NJS9-0909",1,10.92,0.397556362
"NER9-0904",1,24.17,0.101868389
"AZRM-1002",1,44.73,0.253408979
"MDRM-1003",1,28.18,0.63810124
"NVRM-1001",1,18.55,0.673146736
"OKR9-0909",1,20.17,1.171862349
"OKS9-0931",1,16.57,0.653995693
"NELS-1074",1,19.45,0.978177993
"PALS-1090",1,74.75,1.230014179
"KSRS-1340",1,13.3,0.612716113
"NDSS-1103",1,15.65,0.63031576
"TXSS-1216",1,28.08,0.94297497
"TXS9-0928",1,31.85,1.119607026
"KSR9-0906",1,56.73,1.405491771
"WIRF-0011",1,29.4,0.716812963
"PAS9-0922",1,50.98,1.074700044
"MNS9-0933",1,26.78,1.040887761
