SITE_ID,VISIT_NO,PROTOCOL,XDEPTH_CM,SDDEPTH_CM,XWIDTH,XWXD,RP100,RPGT50,XBKF_W,XBKF_H,XINC_H,SINU,XSLOPE,REACHLEN,LSUB_DMM,XEMBED,PCT_FN,PCT_SA,PCT_SAFN,PCT_SFGF,LDCBF_G08,LDMB_BW5,LRBS_BW5,LRBS_G08,RB3,REYP3,RRPW3,PCT_FAST,PCT_POOL,PCT_SLOW,RPMXDEP_CM,RPRAT,RPXDEP_CM,PCT_BDRK,XFC_ALG,XFC_AQM,XFC_LWD,XFC_BRS,XFC_OHV,XFC_BIG,XFC_NAT,XFC_UCB,V1W_MSQ,XCDENBK,XCDENMID,XGB,XGW,XMW,XC,XCS,XCL,XCM,XCMGW,XPCAN,XPCM,XPCMG,QR1,QRVEG1,RDIST1,W1_HALL,W1H_WALL,W1H_LOG,W1_HNOAG,W1_HAG
KYRM-1002,1,BOATABLE,717.4992,120.792569,480,4096.512,84.31158071,4,491,2.427272727,4.181818182,NA,0,3952.024692,NA,NA,NA,NA,NA,NA,NA,-1.221847518,NA,NA,6.241472073,NA,NA,0,100,100,312.7977552,11.75075606,110.1446663,NA,0,0.009090909,0,0.022727273,0.004545455,0.013636364,0.036363636,0.004545455,NA,12.1657754,NA,0.536111111,0.19047619,0.283333333,0.325,0.11547619,0.20952381,0.739285714,0.798809524,0.904761905,0.904761905,0.904761905,0.30021765,0.459464286,0.718881448,2.557218095,0.16667,0,2.557218095,0
GAS9-0921,1,WADEABLE,16.07333333,7.875794765,2.819,0.445235,6.834164056,0,4.972727273,0.721818182,1.446363636,1.082764639,0.427142857,149,-0.021652476,89.45454545,7.619047619,58.0952381,65.71428571,84.76190476,1.596051853,1.372111972,-1.393764448,-1.617704328,0.573658485,144.5868262,0.272145538,10,2,90,39.05178571,0.425186482,8.018034995,1.904761905,0,0,0.070454545,0.206818182,0.186363636,0.184090909,0.731818182,0.113636364,0.004556397,90.10695187,85.82887701,0.047619048,0.33452381,0.296428571,0.64047619,0.297619048,0.342857143,1.108333333,1.271428571,1,1,1,0.824879637,0.672142857,0.083337153,0.090913636,0,0,0,0.090913636
GAS9-0915,1,WADEABLE,17.05333333,13.82089978,3.168421053,0.557631579,10.91102612,1,2.995454545,0.322727273,1.11,1.033846085,1.489761905,149,-0.016731751,94.81818182,9.523809524,54.28571429,63.80952381,80,1.484398533,1.58425835,-1.600990101,-1.501130284,0.320619394,204.1688543,0.064386682,12,19.33333333,88,77.0302381,0.639817794,13.43589167,0,0.004545455,0,0.113636364,0.2,0.045454545,0.327272727,0.909090909,0.186363636,0.003961259,89.03743316,88.23529412,0.360227273,0.047727273,0.153409091,0.831818182,0.1375,0.694318182,1.007954545,1.032954545,1,1,1,0.588330706,0.564829545,0.6,1.5,0,0,0,1.5
PARM-1005,1,BOATABLE,571.9375842,225.7943029,312.5454545,1888.49508,194.9078218,7,316.5454545,1.772727273,6.572727273,NA,0.021908445,3968.709888,NA,NA,NA,NA,NA,NA,NA,0.920048954,NA,NA,4.869867024,NA,NA,0,100,100,842.8943405,34.07851262,222.7117537,NA,0.03,0.085,0,0.01,0.12,0.311944444,0.324444444,0,NA,50.80213904,NA,0.33625,0.168181818,0.181818182,0.4375,0.163636364,0.273863636,0.745454545,0.7875,0.863636364,0.818181818,0.818181818,0.418943073,0.454375,0.709581351,2.443305051,0.259261111,0,2.443305051,0
OHRM-1002,1,BOATABLE,417.9381386,97.00332393,458.3333333,2149.40769,63.12480318,6,472.3333333,1.2,3.209090909,NA,0.012713346,4474.670162,2.102059991,NA,0,0,0,NA,NA,0.616473346,1.485586645,NA,3.496597901,8188.053786,NA,0,85.14851485,100,413.2687905,15.10386283,94.75320936,NA,0.085,0.05,0,0,0.055,0.2325,0.23,0,NA,39.57219251,NA,0.477380952,0.136363636,0.268181818,0.438636364,0.256818182,0.181818182,0.822727273,0.843181818,0.863636364,0.863636364,0.863636364,0.422777549,0.479431818,0.654457498,1.894,0.212127273,0,1.894,0
PARM-1001,1,BOATABLE,485.6580594,127.7786726,314.2727273,1587.431928,96.03782361,7,316.6363636,0.863636364,6.454545455,NA,0.035476089,3973.707264,NA,NA,NA,NA,NA,NA,NA,1.063218545,NA,NA,3.718141023,NA,NA,0,100,100,727.996764,19.77478223,116.7953144,NA,0.004545455,0.104545455,0,0.059090909,0.179545455,0.159090909,0.318181818,0,NA,44.78609626,NA,0.3775,0.15,0.235227273,0.463636364,0.145238095,0.325,0.773863636,0.848863636,0.818181818,0.818181818,0.818181818,0.47106523,0.481988636,0.568904262,1.319670346,0.031747619,0,1.319670346,0
NJS9-0908,1,WADEABLE,21.2586,9.198739376,3.332631579,0.649844421,5.936111111,0,6.2,0.6,2.1,1.075062015,2.41,150,2.1629911,15.72727273,0,1.904761905,1.904761905,10.47619048,2.34189855,2.094075178,0.068915922,-0.178907451,0.5281809,50414.89686,0.443331704,41.66666667,0,58.33333333,23.91625,0.279233398,9.478629032,0,0.004545455,0.122727273,0.004545455,0.054545455,0.236363636,0.661363636,0.906818182,0.086363636,4.82796e-4,90.90909091,78.34224599,0.388095238,0.025,0.231818182,0.271590909,0.034090909,0.2375,0.803409091,0.528409091,0.727272727,0.727272727,0.681818182,0.358328467,0.337784091,0.851653927,5.740994091,1.233335,0,5.740994091,0
CARM-1007,1,BOATABLE,778.4,196.8833937,151.1818182,1210.44,176.8208781,4,155.7272727,1.890909091,0,NA,0.011047526,3960.176268,-2.110924375,NA,100,0,100,NA,0.972203273,0.776898598,-2.887822972,-3.083127647,6.288690909,0.62683925,6.288690909,0,0,100,687.6865083,22.71594015,193.0720953,NA,0,0.022727273,0.027272727,0.027272727,0.031818182,0.895454545,0.345454545,0,4.75909e-4,29.41176471,NA,0.215909091,0.173863636,0.227272727,0.392045455,0.122727273,0.269318182,0.748863636,0.793181818,0.909090909,0.909090909,0.909090909,0.348879657,0.456931818,0.745180435,2.924345455,0.68185,0,2.924345455,0
AZR9-0902,1,BOATABLE,566.4285714,209.0146249,90.90909091,528.205,176.0420223,4,100.6818182,2.772727273,283.8888889,NA,0.040545394,2804.112115,0.738081132,NA,0,62.96296296,62.96296296,NA,1.71011639,1.268186984,-0.530105852,-0.972035257,5.484058442,792.0832833,4.967938007,9,0,91,899.7520504,31.07929775,195.419772,NA,0,0,0,0,0,0.104545455,0.104545455,0,0,52.94117647,NA,0.680681818,0.161363636,0.173863636,0.036363636,0.036363636,0,0.253409091,0.371590909,0.363636364,0.363636364,0.363636364,0.524402509,0.267215909,0.063829787,0.068181818,0,0,0.068181818,0
AZR9-0901,1,BOATABLE,406.2,194.8621891,121.8181818,462.445,186.93272,9,150.1818182,2.427272727,NA,NA,0.160421053,4194.221375,2.148826764,NA,0,3.333333333,3.333333333,NA,2.082799832,1.705588789,0.443237975,0.066026932,4.218027273,35577.87891,3.649836151,10.1010101,0,89.8989899,641.1043895,46.01987198,210.2568042,NA,0.004545455,0,0,0.004545455,0.013636364,0.022727273,0.040909091,0,0,25.13368984,NA,0.459090909,0.225,0.161363636,0.015909091,0.015909091,0,0.311363636,0.402272727,0.318181818,0.318181818,0.318181818,0.450896182,0.28102272700000003,0,0,0,0,0,0
CARM-1003,1,BOATABLE,398.8,83.51229269,66.04545455,251.465,62.41384078,8,70.45454545,2.509090909,0.563636364,NA,0.011928477,2624.730252,-2.110924375,NA,100,0,100,NA,0.81584233,0.681061666,-2.791986041,-2.926766705,4.223109091,0.533767577,4.223109091,0,0,100,356.2823556,15.65041143,74.52811105,NA,0,0.202272727,0.004545455,0.027272727,0.036363636,0.672727273,0.072727273,0,4.75909e-4,22.72727273,NA,0.810227273,0.0625,0.098863636,0.176136364,0.061363636,0.114772727,0.309090909,0.3375,0.454545455,0.454545455,0.454545455,0.293547027,0.251875,0.670241595,2.03252316,0.714309524,0,2.03252316,0
NJRO-1019,1,BOATABLE,525.3,108.3154298,119.7272727,582.99,NA,NA,130.9090909,1.222727273,2.388181818,NA,NA,4140.393187,-2.062773931,NA,98,1,99,NA,NA,NA,NA,NA,4.209222727,NA,NA,0,0,100,NA,NA,NA,NA,0,0.009090909,0.004545455,0.009090909,0.009090909,0.254545455,0.086363636,0,0.002243571,32.35294118,NA,0.629761905,0.020454545,0.081818182,0.076136364,0.036363636,0.039772727,0.293181818,0.178409091,0.454545455,0.454545455,0.454545455,0.219774224,0.180284091,0.849477946,5.643544725,1.184210526,0,5.643544725,0
TXR9-0907,1,BOATABLE,457.90104,79.61053287,98.86363636,447.6359856,76.54531642,7,98.86363636,0,3.027272727,NA,0,3824.618584,1.948370681,NA,30,0,30,NA,-1.1020394,-1.583087568,3.531458248,3.050410081,2.97635676,470.3066177,2.882630541,0,0,100,399.4903576,16.71656313,92.51992481,NA,0.013636364,0.425,0,0.031818182,0.188636364,0,0.243181818,0,4.75909e-4,71.65775401,NA,0.013636364,0.206818182,0.348863636,0.519318182,0.363636364,0.155681818,1.138636364,1.075,1,1,1,0.750107652,0.58375,0.029413192,0.030304545,0,0,0,0.030304545
