"SITE_ID","VISIT_NO","SAMPLE_ID","Chem_Lab_ID","H2O_dD","H2O_d18O","d.excess"
"NMSS-1085","1",738580,"1410040",-78.39,-11.35,12.38
"NVLS-1069","1",722440,"1410262",-114.32,-14.02,-2.18
"NVLS-1072","1",722520,"1410367",-121,-15.46,2.69
"NVLS-1074","1",722560,"1410519",-117.82,-15.46,5.85
"NVR9-0902","1",744920,"1410080",-102.39,-12.88,0.66
"NVR9-0917","1",722460,"1410261",-110.64,-13.44,-3.13
"NVRO-1041","1",725440,"1410324",-124.14,-15.9,3.09
"NVS9-0924","1",707900,"1410196",-115.5,-15.9,11.71
"NYLS-1116","1",756380,"1410468",-68.31,-9.92,11.05
"NYR9-0905","1",756260,"1410545",-62.98,-9.33,11.67
"NYR9-0907","1",758640,"1411091",-59.25,-8.86,11.61
"NYR9-0914","1",756240,"1410388",-64.07,-9.82,14.51
"NYR9-0916","1",758600,"1411079",-57.57,-8.22,8.22
"NYRF-0001","1",756400,"1410452",-51.25,-7.89,11.89
"NYRF-0002","1",756280,"1410527",-63.93,-9.68,13.55
"NYRF-0003","1",756440,"1410393",-67.19,-9.65,10
"NYRF-0004","1",756180,"1410408",-61.63,-9.17,11.76
"NYRF-0005","1",756340,"1410483",-67.4,-9.85,11.37
"NYRF-0006","1",756460,"1410378",-56.79,-8.62,12.2
"NYRM-1002","1",756420,"1410437",-63.62,-9.62,13.37
"NYRM-1004","1",764280,"1411095",-59.25,-8.91,12.01
"NYRM-1006","1",756160,"1410405",-62.18,-9.21,11.47
"NYRM-1008","1",764260,"1411085",-57.13,-8.02,6.99
"NYRO-1060","1",756360,"1410488",-66.57,-9.72,11.22
"NYSS-1239","1",756300,"1410495",-63.23,-9.26,10.88
"NYSS-1258","1",756320,"1410486",-51.86,-8.06,12.61
"OHR9-0901","1",741360,"1410222",-41.53,-6.57,10.99
"OHR9-0901","2",741400,"1410357",-41.86,-6.61,11.04
"OHR9-0906","1",741340,"1410249",-42.93,-6.78,11.29
"OHRM-1003","1",741320,"1410230",-42.96,-6.81,11.5
"OHRO-1034","1",741380,"1411054",-38.59,-6.11,10.27
"OKLS-1203","1",725160,"1410485",-15.09,-0.82,-8.51
"OKLS-1204","1",724740,"1410219",-37.7,-5.86,9.18
"OKLS-1209","1",716520,"1410221",-35.49,-5.69,10.02
"OKLS-1222","1",724660,"1410932",-26.05,-2.97,-2.31
"OKR9-0903","1",726540,"1411113",-11.22,-1.07,-2.67
"OKR9-0904","1",709540,"1411157",-15.78,-1.88,-0.72
"OKRF-0002","1",754780,"1410371",-21.95,-3.81,8.57
"OKRF-0003","1",748120,"1410189",-37.73,-4.75,0.28
"OKRF-0004","1",748040,"1410161",-20.96,-3.59,7.72
"OKRF-0005","1",748100,"1410195",-25.24,-3.95,6.33
"OKRF-0008","1",754800,"1411068",-12.84,-1.38,-1.78
"OKRF-0101","1",737780,"1410169",-34.81,-5.04,5.52
"OKRM-1020","1",726580,"1410790",-8.92,-1.3,1.5
"OKRM-1021","1",740020,"1410103",-25.44,-3.49,2.5
"OKRM-1022","1",709520,"1411171",-28.71,-3.48,-0.85
"OKRM-1026","1",716840,"1410892",-10.82,-0.24,-8.94
"OKRO-1092","1",716820,"1410356",-31.76,-4.21,1.94
"OKRO-1102","1",725220,"1410662",-26.76,-4.14,6.38
"OKRO-1103","1",726600,"1410837",-26.23,-3.8,4.21
"OKS9-0941","1",740040,"1410394",-8.71,-0.02,-8.53
"OKS9-0941","2",740080,"1410585",-12.23,-0.73,-6.42
"OKSS-1403","1",724860,"1410775",-25.82,-4.86,13.09
"OKSS-1429","1",740060,"1410415",-28.44,-4.38,6.63
"OKSS-1430","1",716500,"1410419",-24.13,-3.84,6.62
"OKSS-1431","1",725120,"1410299",-19.91,-2.94,3.58
"OKSS-1444","1",725140,"1410113",-27.79,-4.58,8.83
"ORLS-1109","1",739500,"1411064",-61.45,-9.16,11.79
"ORLS-1110","1",717740,"1410891",-80.47,-9.49,-4.59
"ORR9-0901","1",741860,"1410358",-58.85,-9.19,14.7
"ORR9-0905","1",741740,"1410664",-70.45,-10.3,11.95
"ORR9-0905","2",739420,"1410894",-70.42,-10.12,10.53
"ORR9-0906","1",741880,"1410377",-54.05,-8.2,11.55
"ORR9-0907","1",741940,"1410353",-106.62,-13.85,4.21
"ORR9-0909","1",741920,"1411147",-118.58,-14.73,-0.76
"ORR9-0913","1",766560,"1411169",-108.35,-13.92,2.99
"ORRF-0107","1",749160,"1410291",-117.29,-16.15,11.94
"ORRF-0108","1",748980,"1410201",-110.7,-14.8,7.69
"ORRF-0109","1",748900,"1410307",-81.63,-11.77,12.55
"ORRF-0110","1",748840,"1410207",-116.38,-15.55,8.01
"ORRF-0113","1",749140,"1410138",-48.53,-7.7,13.06
"ORRF-0115","1",749120,"1410132",-49.82,-7.9,13.41
"ORRF-0116","1",748880,"1410287",-113.67,-15.74,12.22
"ORRF-0118","1",750080,"1410289",-105.84,-14.97,13.93
"ORRF-0119","1",750040,"1410206",-116.48,-15.72,9.31
"ORRM-1002","1",741620,"1410285",-106.91,-14.13,6.11
"ORRM-1003","1",741980,"1410284",-109.15,-14.21,4.5
"ORRM-1004","1",741660,"1410835",-80.29,-10.89,6.84
"ORRM-1006","1",741960,"1410276",-108.44,-14.21,5.27
"ORRM-1007","1",717640,"1410796",-80.86,-10.72,4.92
"ORRM-1010","1",741820,"1410404",-123.77,-16.6,9
"ORRO-1049","1",741640,"1410818",-50.73,-6.88,4.29
"ORRO-1054","1",741600,"1411168",-110.98,-14.62,5.97
"ORRO-1062","1",741720,"1410652",-83.99,-12.19,13.53
"ORRO-1066","1",739440,"1410912",-101.87,-13.5,6.14
"ORRO-1067","1",741900,"1410984",-95.51,-12.55,4.92
"ORS9-0931","1",741760,"1410490",-83.58,-11.92,11.77
"ORS9-0931","2",741700,"1410724",-82.96,-11.69,10.6
"ORS9-0935","1",739460,"1411052",-49.72,-7.7,11.9
"ORS9-0936","1",741780,"1410491",-76.69,-11.1,12.11
"ORS9-0940","1",741800,"1410475",-61.92,-9.24,12.02
"ORS9-0942","1",766540,"1411167",-92.08,-12.03,4.13
"ORSS-1169","1",741680,"1410747",-78.62,-11.29,11.73
"ORSS-1172","1",739480,"1411034",-72.02,-10.6,12.8
"ORSS-1175","1",741840,"1410422",-102.03,-14.38,13.04
"PALS-1085","1",768940,"1411146",-44.38,-6.53,7.82
"PALS-1089","1",768100,"1410879",-37.15,-5.4,6.07
"PALS-1092","1",739600,"1411094",-46.98,-7.21,10.72
"PAR9-0901","1",736440,"1410359",-60.05,-9.64,17.06
"PAR9-0901","2",736480,"1410496",-59.62,-9.22,14.15
"PAR9-0904","1",736460,"1410997",-55.76,-8.34,10.93
"PAR9-0907","1",739720,"1411103",-56.6,-8.39,10.5
"PAR9-0909","1",759160,"1410401",-42.9,-6.87,12.09
"PARF-0005","1",745880,"1411008",-58.12,-8.94,13.41
"PARM-1003","1",740820,"1410302",-58.92,-8.93,12.54
"PARO-1049","1",740800,"1410293",-61.69,-9.22,12.1
"PARO-1051","1",739680,"1410808",-56.18,-8.41,11.11
"PARO-1054","1",739760,"1411100",-49.93,-7.07,6.6
"PAS9-0914","1",759320,"1410459",-55.91,-8.75,14.1
"PAS9-0914","2",768920,"1411153",-55.19,-8.19,10.34
"PAS9-0915","1",759300,"1410432",-40.52,-6.77,13.65
"PAS9-0915","2",768120,"1410899",-40.73,-6.13,8.28
"PAS9-0921","1",739640,"1410987",-54.28,-8.33,12.35
"PAS9-0924","1",739580,"1410328",-55.51,-8.91,15.8
"PAS9-0925","1",739660,"1410667",-43.68,-6.31,6.83
"PASS-1164","1",739540,"1410148",-63.83,-9.79,14.49
"PASS-1165","1",739520,"1410135",-61.09,-9.54,15.21
"PASS-1166","1",740760,"1410179",-37.92,-6.47,13.81
"PASS-1167","1",739560,"1410159",-60.4,-9.32,14.17
"PASS-1168","1",739620,"1410649",-51.33,-7.87,11.61
"RILS-1023","1",756200,"1410576",-41.34,-6.96,14.36
"RILS-1024","1",760560,"1410683",-43.01,-6.53,9.25
"RILS-1029","1",750740,"1410314",-41.57,-6.79,12.75
"RILS-1029","2",765080,"1411177",-41.24,-6.26,8.82
"RIR9-0901","1",737220,"1410676",-44.45,-6.74,9.49
"RIR9-0901","2",767400,"1410860",-40.87,-6.14,8.26
"RIR9-0902","1",756100,"1410635",-36.27,-5.83,10.37
"RIR9-0902","2",760580,"1410776",-37.17,-6.01,10.94
"RIRF-0001","1",744300,"1410750",-40.83,-6.63,12.23
"RIRO-1001","1",767700,"1411018",-36.14,-5.71,9.53
"RIRO-1002","1",760640,"1410777",-36.79,-5.83,9.86
"RIRO-1003","1",767380,"1410859",-39.74,-5.59,4.97
"RIS9-0911","1",750760,"1410417",-44.98,-7.42,14.36
"RIS9-0912","1",756140,"1410577",-39.83,-6.53,12.42
"RIS9-0913","1",765100,"1410731",-41.54,-6.27,8.61
"RIS9-0913","2",765140,"1410966",-40.76,-6.15,8.46
"RISS-1079","1",753380,"1410203",-38.05,-6.19,11.47
"RISS-1093","1",765120,"1411023",-42.46,-7.02,13.66
"SCLS-1031","1",749840,"1410239",-28.4,-5.19,13.1
"SCLS-1033","1",752580,"1410471",-17.38,-2.64,3.71
"SCR9-0901","1",737060,"1410126",-10.62,-2.39,8.52
"SCR9-0901","2",752640,"1410444",-18.1,-3.33,8.5
"SCR9-0902","1",736940,"1410125",-30.06,-5.18,11.4
"SCR9-0902","2",752620,"1410446",-26.65,-4.59,10.04
"SCR9-0903","1",747760,"1410187",-28.67,-4.8,9.72
"SCR9-0904","1",752480,"1410252",-26.76,-5.12,14.17
"SCRF-0001","1",749860,"1410190",-19.58,-3.2,6.02
"SCRF-0002","1",749820,"1410104",-9.78,-2.12,7.16
"SCRM-1001","1",747720,"1410208",-27.81,-4.53,8.44
"SCRM-1002","1",752540,"1410498",-25.59,-4.36,9.31
"SCRO-1013","1",752660,"1410225",-27.2,-5.07,13.33
"SCRO-1014","1",752600,"1410474",-22.71,-3.95,8.88
"SCRO-1015","1",736920,"1410162",-19,-3.85,11.79
"SCS9-0920","1",736900,"1410118",-12.32,-2.74,9.62
"SCS9-0920","2",752520,"1410447",-17.16,-3.25,8.88
"SCS9-0921","1",752500,"1410251",-27.21,-5.51,16.84
"SCS9-0921","2",737020,"1410582",-26.35,-5.02,13.78
"SCS9-0922","1",736980,"1410157",-16.67,-3.25,9.35
"SCS9-0923","1",749880,"1410537",-24.84,-4.47,10.88
"SCSS-1054","1",747740,"1410117",-2.29,-0.64,2.79
"SCSS-1057","1",752560,"1410499",-28.12,-5.31,14.37
"SCSS-1058","1",736960,"1410102",-3.64,-0.77,2.5
"SCSS-1059","1",737000,"1410552",-27.76,-5.44,15.78
"SCSS-1072","1",737080,"1410551",-22.16,-4.51,13.95
"SDLS-1110","1",737280,"1410204",-73.69,-9.7,3.95
"SDLS-1116","1",763980,"1411174",-96.83,-11.39,-5.7
"SDLS-1117","1",766920,"1410921",-88.89,-10.89,-1.79
"SDLS-1118","1",754000,"1410548",-119.13,-15.86,7.78
"SDLS-1119","1",746400,"1410505",-84.61,-10.85,2.18
"SDLS-1119","2",764440,"1410819",-84.39,-10.09,-3.64
"SDLS-1120","1",765660,"1410726",-64.36,-7.92,-1
"SDR9-0903","1",746380,"1410508",-88.17,-11.02,-0.03
"SDR9-0905","1",740600,"1410503",-65.35,-7.54,-5.05
"SDR9-0910","1",763860,"1411121",-85.51,-10.78,0.72
"SDR9-0913","1",737260,"1410164",-103.44,-13.22,2.33
"SDR9-0913","2",737240,"1410323",-99.55,-12.41,-0.26
"SDR9-0915","1",738240,"1410949",-94.36,-11.26,-4.25
"SDR9-0916","1",763880,"1410746",-57.49,-6.93,-2.01
"SDR9-0919","1",749620,"1410124",-77.11,-9.16,-3.81
"SDR9-0920","1",766880,"1410939",-95.31,-11.8,-0.92
"SDRF-0001","1",737120,"1410295",-77.43,-11.03,10.81
"SDRF-0002","1",737200,"1410229",-82.64,-10.07,-2.09
"SDRF-0003","1",750180,"1410236",-76.58,-9.53,-0.31
"SDRF-0004","1",750240,"1410256",-79.94,-10.88,7.11
"SDRM-1004","1",740740,"1410696",-57.66,-6.48,-5.79
"SDRM-1005","1",737360,"1410183",-67.36,-8.74,2.54
"SDRM-1012","1",740720,"1410977",-52.23,-5.34,-9.52
"SDRM-1013","1",766900,"1410888",-75.55,-7.96,-11.88
"SDRM-1014","1",766940,"1410924",-81.42,-9.38,-6.42
"SDRM-1016","1",763940,"1411135",-79.05,-9.66,-1.76
"SDRM-1017","1",763820,"1410930",-82.1,-9.03,-9.88
"SDRM-1020","1",740700,"1411185",-50.8,-5.19,-9.27
"SDRM-1022","1",746340,"1410792",-85.74,-10.66,-0.44
"SDRO-1070","1",740640,"1410392",-63.89,-7.49,-4
"SDRO-1071","1",763840,"1410831",-35.57,-1.78,-21.36
"SDRO-1074","1",740620,"1410439",-63.59,-7.55,-3.16
"SDRO-1075","1",763800,"1410922",-87.51,-11.21,2.19
"SDRO-1077","1",754040,"1410597",-101.84,-12.72,-0.09
"SDRO-1078","1",766960,"1410865",-75.6,-9.33,-0.95
"SDS9-0944","1",749600,"1410134",-93.59,-11.29,-3.25
"SDS9-0944","2",740580,"1410327",-75.8,-9.67,1.52
"SDS9-0945","1",755500,"1410666",-47.95,-4.98,-8.1
"SDS9-0945","2",755560,"1410812",-39.68,-2.76,-17.61
"SDSS-1195","1",749660,"1410160",-107.75,-14.29,6.6
"SDSS-1196","1",737100,"1410335",-48.86,-6.37,2.14
"SDSS-1201","1",740540,"1410244",-111.81,-14.55,4.57
"SDSS-1203","1",740560,"1410340",-119.95,-15.93,7.52
"TNLS-1031","1",760980,"1410809",-41.22,-6.34,9.48
"TNLS-1032","1",764080,"1410781",-33.63,-5.59,11.13
"TNLS-1034","1",754320,"1410556",-15.25,-2.77,6.91
"TNR9-0901","1",763680,"1410896",-41.3,-6.57,11.27
"TNR9-0901","2",755660,"1411105",-41.55,-6.65,11.62
"TNR9-0902","1",765160,"1410719",-36.83,-6.51,15.24
"TNR9-0902","2",764120,"1410866",-34.68,-5.49,9.22
"TNR9-0903","1",761500,"1410614",-32.73,-5.77,13.42
"TNR9-0904","1",755640,"1411097",-27.55,-4.91,11.69
"TNR9-0905","1",764340,"1410770",-37.97,-6.46,13.68
"TNRM-1003","1",761520,"1410613",-33.17,-5.76,12.94
"TNRM-1004","1",764160,"1410850",-40.93,-6.03,7.31
"TNRO-1014","1",761540,"1410634",-32.36,-5.8,14.01
"TNRO-1015","1",764140,"1410867",-25.58,-4.2,8.02
"TNRO-1017","1",755620,"1411125",-36.3,-5.89,10.81
"TNS9-0919","1",761560,"1410718",-35.23,-6.59,17.51
"TNS9-0919","2",764100,"1410915",-33.18,-5.61,11.67
"TNS9-0920","1",754340,"1410558",-22.24,-3.83,8.37
"TNS9-0920","2",763440,"1410873",-7,-2.36,11.87
"TNS9-0921","1",764000,"1410772",-29.95,-5.43,13.52
"TNS9-0922","1",761000,"1410782",-32.24,-5.29,10.09
"TNS9-0923","1",754160,"1410588",-29.25,-5.1,11.58
"TNS9-0924","1",759900,"1410631",-31.46,-5.4,11.74
"TNS9-0926","1",754240,"1410573",-30.89,-5.27,11.24
"TNS9-0927","1",761580,"1410752",-34.5,-5.75,11.54
"TNSS-1064","1",754260,"1410572",-29.11,-4.29,5.25
"TNSS-1065","1",754300,"1410559",-14.38,-2.66,6.91
"TNSS-1072","1",754220,"1410587",-27.36,-4.4,7.85
"TNSS-1073","1",764060,"1410810",-41.58,-6.84,13.17
"TNSS-1074","1",754120,"1410632",-31.51,-5.54,12.81
"TNSS-1077","1",763420,"1410916",-29.57,-4.38,5.44
"TNSS-1080","1",758740,"1411096",-30.28,-5.21,11.43
"TNSS-1082","1",757960,"1411102",-38.7,-6.08,9.96
"TXLS-1115","1",717480,"1410602",-14.47,-2.25,3.54
"TXLS-1117","1",724600,"1410266",-17.89,-1.76,-3.79
"TXLS-1120","1",755200,"1410454",-15.95,-2.43,3.48
"TXLS-1131","1",746820,"1410578",-11.02,-1.45,0.55
"TXLS-1132","1",746900,"1410920",-17.12,-3.07,7.47
"TXLS-1133","1",703760,"1411039",-21.44,-2.5,-1.44
"TXLS-1134","1",730000,"1410825",-11.34,-0.6,-6.51
"TXR9-0902","1",741180,"1410144",-37.58,-5.23,4.22
"TXR9-0902","2",741160,"1410308",-40.2,-4.9,-0.99
"TXR9-0905","1",746860,"1410019",-39.22,-5.3,3.18
"TXR9-0906","1",726920,"1410430",-24.03,-3.98,7.78
"TXR9-0911","1",721280,"1410258",-32.14,-3.48,-4.34
"TXR9-0912","1",726900,"1411047",-26.09,-3.13,-1.06
"TXR9-0919","1",741200,"1410737",-14.58,-2.27,3.57
"TXR9-0921","1",741120,"1410692",-14.63,-2.42,4.76
"TXR9-0923","1",746980,"1410034",-36.6,-4.56,-0.1
"TXR9-0924","1",705400,"1410349",-18.65,-2.81,3.84
"TXRF-0001","1",738600,"1410048",-25.6,-4.61,11.28
"TXRF-0002","1",738620,"1410060",-16,-2.61,4.89
"TXRF-0003","1",738660,"1410047",-27.69,-4.23,6.11
"TXRF-0006","1",737860,"1410006",-31.72,-4.14,1.41
"TXRF-0007","1",738380,"1410041",-9.02,1.34,-19.77
"TXRF-0008","1",705540,"1410075",-13.58,-0.59,-8.89
"TXRM-1001","1",729180,"1410136",-23.8,-0.5,-19.77
"TXRM-1015","1",703700,"1410100",4,2.71,-17.65
"TXRM-1016","1",751160,"1410756",-13.63,-2.77,8.57
"TXRM-1017","1",728700,"1410121",-29.35,-0.99,-21.47
"TXRM-1018","1",741140,"1411010",-1.4,0.49,-5.28
"TXRM-1020","1",751140,"1410830",7.23,3.56,-21.24
"TXRM-1021","1",731060,"1410339",-9.21,-0.65,-4.04
"TXRO-1078","1",726640,"1410278",-14.41,-0.86,-7.54
"TXRO-1079","1",746940,"1410046",7.38,5.54,-36.91
"TXRO-1082","1",703740,"1410091",-3.24,1.12,-12.17
"TXRO-1085","1",760360,"1410847",-5.53,1.06,-14.03
"TXS9-0938","1",746800,"1410624",-17.41,-3.18,8.03
"TXSS-1205","1",746920,"1410025",-40.2,-5.68,5.28
"TXSS-1206","1",719980,"1410674",-12.95,-2.31,5.52
"TXSS-1209","1",746840,"1410011",-31.95,-4.26,2.09
"TXSS-1215","1",728840,"1410716",-15.29,-3.28,10.94
"TXSS-1224","1",755260,"1410509",-12.92,-1.44,-1.43
"TXSS-1229","1",755180,"1410385",23.86,6.88,-31.16
"TXSS-1232","1",755220,"1410489",-7.24,-1.46,4.44
"TXSS-1240","1",729920,"1410982",-8.59,-0.96,-0.88
"TXSS-1243","1",759980,"1411071",-23.79,-4.13,9.25
"UTLS-1059","1",730680,"1410191",-100.89,-12.27,-2.74
"UTLS-1061","1",742620,"1411142",-101.66,-12.43,-2.22
"UTLS-1062","1",761040,"1411155",-93.89,-12.95,9.7
"UTR9-0902","1",761080,"1410995",-103.89,-12.92,-0.55
"UTR9-0906","1",706240,"1410115",-119.72,-16.35,11.12
"UTR9-0906","2",706120,"1410487",-120.66,-16.21,9
"UTR9-0907","1",727980,"1410109",-100.69,-12.05,-4.29
"UTRF-0001","1",742660,"1410146",-93.83,-12.75,8.18
"UTRF-0002","1",707280,"1410192",-98.45,-13.51,9.63
"UTRM-1006","1",708260,"1411069",-109.86,-13.79,0.43
"UTRM-1008","1",742580,"1410058",-94.71,-12.61,6.18
"UTRO-1032","1",761060,"1410975",-99.03,-13.68,10.39
"UTRO-1036","1",707340,"1410610",-114.78,-15.17,6.56
"UTRO-1037","1",767180,"1410941",-100.86,-12.36,-1.98
"UTS9-0928","1",742720,"1410462",-126.05,-17.21,11.66
"UTS9-0928","2",761100,"1410672",-121.21,-16.58,11.43
"UTS9-0929","1",742540,"1410044",-90.5,-11.56,1.94
"UTS9-0931","1",742560,"1410059",-81.31,-10.43,2.11
"UTS9-0932","1",742700,"1410514",-129.93,-17.25,8.08
"UTSS-1100","1",742640,"1410193",-75.81,-8.59,-7.06
"UTSS-1110","1",742680,"1410220",-117.56,-15.95,10.06
"VAR9-0901","1",768220,"1411165",-44.19,-6.71,9.5
"VARF-0002","1",745840,"1411104",-33.07,-5.15,8.1
"VARF-0007","1",706640,"1411130",-35.92,-5.8,10.47
"VARF-0008","1",745860,"1411127",-29.79,-4.31,4.67
"VARS11-151","1",768540,"1411080",-35.5,-5.73,10.36
"VARS11-152","1",768620,"1411083",-32.6,-5.47,11.13
"VARS11-153","1",768600,"1411032",-55.44,-8.62,13.49
"VARS11-163","1",765060,"1410904",-45.19,-7.29,13.11
"VARS11-169","1",768400,"1411114",-31.61,-4.73,6.26
"VARS11-181","1",768260,"1411098",-33.51,-5.44,10.02
"VAS9-0915","1",764920,"1410791",-29.15,-4.18,4.32
"VAS9-0915","2",768580,"1411022",-29.24,-4.52,6.9
"VAS9-0916","1",765020,"1410827",-31.7,-5.27,10.48
"VAS9-0916","2",764980,"1411000",-33.13,-6.02,15.01
"VAS9-0917","1",764940,"1410785",-36.64,-6.18,12.82
"VAS9-0918","1",764960,"1410858",-44.61,-7.26,13.47
"VAS9-0919","1",764900,"1410926",-45.15,-6.77,9.05
"VAS9-0920","1",768560,"1411019",-38.86,-6.77,15.29
"VAS9-0921","1",765000,"1410875",-50.94,-8.08,13.67
"VTR9-0902","1",736620,"1410147",-70.86,-10.73,15
"VTR9-0904","1",736580,"1410174",-69.19,-10.42,14.15
"VTR9-0904","2",736500,"1410304",-68.55,-10.64,16.56
"VTRS-1005","1",736540,"1410254",-66.68,-9.91,12.62
"VTRS-1006","1",747280,"1410322",-51.05,-6.79,3.25
"VTRS-1009","1",712720,"1410218",-67.83,-10.15,13.35
"VTRS-1011","1",736600,"1410171",-74.35,-10.86,12.53
"VTRS-1013","1",736520,"1410354",-63.61,-9.46,12.07
"VTRS-1061","1",736560,"1410213",-70.27,-10.51,13.79
"WALS-1067","1",710080,"1411067",-75.28,-10.72,10.52
"WALS-1068","1",736660,"1410817",-80.1,-11.04,8.25
"WALS-1073","1",747060,"1410759",-113.03,-14.99,6.9
"WAR9-0902","1",738800,"1411093",-125.36,-16.16,3.91
"WAR9-0903","1",736740,"1410671",-104.4,-14.5,11.57
"WAR9-0903","2",736860,"1410902",-100.83,-13.36,6.09
"WAR9-0904","1",710120,"1410434",-105.01,-14.24,8.89
"WAR9-0905","1",736820,"1410506",-90.32,-12.74,11.6
"WAR9-0907","1",736800,"1410518",-88.55,-12.56,11.93
"WAR9-0909","1",747360,"1410373",-80.05,-11.43,11.41
"WAR9-0910","1",710040,"1410994",-128.21,-16.92,7.14
"WARF-0001","1",763100,"1410887",-69.79,-9.63,7.28
"WARF-0002","1",763080,"1410918",-89.81,-12.64,11.33
"WARF-0107","1",749060,"1410438",-130.58,-17.66,10.69
"WARF-0108","1",749080,"1410361",-71.82,-10.34,10.91
"WARF-0109","1",748700,"1410360",-80.07,-11.69,13.45
"WARF-0110","1",748680,"1410372",-86.17,-12.51,13.95
"WARM-1002","1",747380,"1410260",-125.85,-16.58,6.78
"WARM-1003","1",736780,"1410398",-114.44,-15.63,10.6
"WARM-1004","1",717860,"1410313",-122.66,-16.69,10.86
"WARM-1005","1",747400,"1410253",-125.92,-16.97,9.8
"WARM-1008","1",709700,"1410326",-121.64,-16.68,11.81
"WARO-1038","1",761280,"1411166",-97.12,-12.8,5.27
"WARO-1039","1",736840,"1410686",-104.19,-14.16,9.08
"WARO-1043","1",709800,"1410925",-98.64,-12.92,4.74
"WAS9-0916","1",709820,"1410376",-71.57,-9.69,5.94
"WAS9-0916","2",743000,"1410571",-71.6,-9.8,6.76
"WAS9-0917","1",761300,"1410836",-110.83,-14.89,8.28
"WAS9-0924","1",736700,"1410988",-129.18,-17.3,9.21
"WAS9-0927","1",710060,"1410833",-48.26,-6.44,3.29
"WASS-1134","1",736760,"1411031",-108.34,-14.51,7.76
"WASS-1139","1",761320,"1410813",-95.5,-12.63,5.52
"WASS-1146","1",739780,"1410732",-116.72,-15.86,10.2
"WIR9-0901","1",NA,"",-54.52,-7.11,2.33
"WIR9-0901","2",NA,"",-53.2,-7.11,3.65
"WIR9-0902","1",NA,"",-43.31,-6.88,11.71
"WIR9-0902","2",NA,"",-53.72,-7.76,8.33
"WIR9-0903","1",NA,"",-54.54,-7.28,3.7
"WIR9-0904","1",NA,"",-54.4,-7.53,5.83
"WIR9-0906","1",NA,"",-56.44,-7.6,4.37
"WIR9-0907","1",NA,"",-64.33,-8.6,4.49
"WIR9-0911","1",NA,"",-51.8,-7.99,12.12
"WIR9-0912","1",NA,"",-46,-6.22,3.75
"WIR9-0914","1",NA,"",-59.13,-7.8,3.25
"WIR9-0915","1",NA,"",-66.71,-9.49,9.21
"WIR9-0916","1",NA,"",-54.83,-7.45,4.81
"WIR9-0917","1",NA,"",-60.11,-8.16,5.15
"WIR9-0918","1",NA,"",-61.78,-8.79,8.57
"WIR9-0919","1",NA,"",-55.74,-7.98,8.12
"WIRF-0001","1",747660,"1410365",-63.67,-8.99,8.24
"WIRF-0004","1",763040,"1411050",-53.53,-8.17,11.83
"WIRF-0007","1",746720,"1410823",-74.56,-10.57,9.99
"WIRF-0009","1",747640,"1410406",-52.85,-6.46,-1.17
"WIRF-0010","1",751100,"1410413",-70.3,-9.74,7.59
"WIRF-0014","1",746700,"1410789",-70.45,-9.29,3.91
"WIRF-0015","1",763020,"1411109",-68.13,-9.39,7.02
"WIRM-1001","1",NA,"",-63.67,-8.19,1.86
"WIRM-1002","1",NA,"",-61.71,-8.88,9.37
"WIRM-1003","1",NA,"",-61.78,-8.09,2.93
"WIRM-1004","1",NA,"",-59.47,-7.86,3.44
"WIRM-1005","1",NA,"",-64.49,-8.56,3.96
"WIRM-1006","1",NA,"",-42.13,-5.81,4.34
"WIRO-1040","1",NA,"",-73.63,-10.57,10.91
"WIRO-1043","1",NA,"",-51.53,-7.11,5.32
"WIRO-1046","1",NA,"",-60.62,-8.27,5.51
"WIRO-1048","1",NA,"",-54.46,-8.4,12.75
"WIRO-1054","1",NA,"",-56.71,-7.71,4.96
"WIRO-1055","1",NA,"",-55.74,-8.46,11.97
"WIRO-1058","1",NA,"",-62.42,-8.9,8.8
"WIRO-1059","1",NA,"",-66.44,-9.31,8.07
"WIRO-1060","1",NA,"",-48.52,-6.75,5.44
"WIRO-1062","1",NA,"",-60.43,-8.82,10.12
"WIRO-1065","1",NA,"",-61.62,-8.37,5.37
"WIRO-1067","1",NA,"",-74.62,-10.42,8.75
"WIRO-1069","1",NA,"",-57.23,-8.71,12.43
"WIRO-1070","1",NA,"",-62.07,-8.84,8.63
"WIRO-1071","1",NA,"",-64.73,-9.04,7.61
"WIRO-1072","1",NA,"",-55.67,-7.52,4.51
"WIRO-1077","1",NA,"",-55.27,-7.98,8.61
"WIRO-1079","1",NA,"",-74.92,-10.48,8.94
"WIRO-1083","1",NA,"",-77.05,-10.55,7.37
"WIRO-1084","1",NA,"",-51.48,-7.13,5.54
"WVLS-1019","1",744060,"1410333",-53.35,-8.28,12.92
"WVLS-1020","1",745980,"1410400",-48.96,-7.67,12.43
"WVR9-0901","1",744020,"1410592",-44.77,-7.31,13.69
"WVR9-0903","1",744040,"1411026",-50.66,-7.77,11.48
"WVR9-0903","2",738940,"1411126",-50.91,-7.7,10.66
"WVR9-0904","1",736680,"1410170",-60.9,-9.19,12.59
"WVR9-0904","2",755880,"1410547",-56.3,-8.45,11.28
"WVR9-0905","1",739240,"1411129",-41.62,-6.41,9.65
"WVRF-0004","1",745940,"1410156",-58.91,-8.94,12.61
"WVRF-0005","1",745920,"1410240",-52.77,-7.91,10.48
"WVRF-0006","1",745900,"1410611",-57.58,-8.79,12.75
