"SITE_ID","VISIT_NO","SAMPLE_ID","Chem_Lab_ID","H2O_dD","H2O_d18O","d.excess"
"MIRO-1025","1",767840,"1410903",-50.23,-6.67,3.14
"MIS9-0926","1",751520,"1410882",-69.69,-10.38,13.38
"MNLS-1092","1",739300,"1410114",-65.89,-8.45,1.75
"MNLS-1093","1",728220,"1411015",-67.28,-8.14,-2.13
"MNLS-1095","1",758280,"1410599",-76.05,-10.33,6.61
"MNLS-1096","1",739160,"1410182",-50.73,-5.63,-5.72
"MNR9-0902","1",739280,"1410698",-75.26,-9.82,3.3
"MNR9-0902","2",721240,"1410889",-68.21,-7.92,-4.84
"MNR9-0906","1",739220,"1410267",-76.02,-10.74,9.88
"MNR9-0909","1",739360,"1410893",-72.12,-8.32,-5.55
"MNR9-0915","1",739320,"1410120",-58.49,-6.94,-2.95
"MNR9-0916","1",739260,"1410234",-86.28,-11.87,8.7
"MNR9-0917","1",758360,"1410727",-64.13,-7.61,-3.26
"MNRF-0001","1",747580,"1410343",-79.18,-10.88,7.88
"MNRF-0002","1",745200,"1410231",-58.6,-8.94,12.92
"MNRF-0003","1",746780,"1410338",-71.55,-9.06,0.97
"MNRF-0004","1",746680,"1410316",-76.66,-11.25,13.32
"MNRF-0005","1",754600,"1410283",-66.23,-9.08,6.44
"MNRF-0006","1",746760,"1410362",-77.11,-10.1,3.66
"MNRF-0007","1",751120,"1410364",-62.45,-8.94,9.04
"MNRF-0009","1",747600,"1410342",-78.55,-9.95,1.01
"MNRF-0010","1",747620,"1410352",-64.49,-8.14,0.66
"MNRM-1001","1",739060,"1410763",-52.25,-6.04,-3.93
"MNRM-1004","1",739380,"1410128",-57.43,-6.91,-2.13
"MNRM-1005","1",739080,"1410315",-49.29,-7.45,10.27
"MNRM-1008","1",739180,"1410184",-64.98,-8.98,6.87
"MNRM-1009","1",723660,"1410936",-60.7,-7.04,-4.36
"MNRO-1049","1",739140,"1410152",-79.63,-10.43,3.84
"MNRO-1050","1",723440,"1410451",-76.45,-10.09,4.25
"MNRO-1053","1",758340,"1410721",-62.1,-7.73,-0.29
"MNRO-1054","1",739200,"1410274",-74.14,-10.1,6.68
"MNS9-0928","1",758260,"1410523",-75.63,-9.74,2.26
