"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_RESULT_UNITS","ANC_RESULT","ANC_RESULT_UNITS","CALCIUM_RESULT","CALCIUM_RESULT_UNITS","CHLORIDE_RESULT","CHLORIDE_RESULT_UNITS","COLOR_RESULT","COLOR_RESULT_UNITS","COND_RESULT","COND_RESULT_UNITS","DOC_RESULT","DOC_RESULT_UNITS","MAGNESIUM_RESULT","MAGNESIUM_RESULT_UNITS","NITRATE_N_RESULT","NITRATE_N_RESULT_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_RESULT_UNITS","NITRITE_N_RESULT","NITRITE_N_RESULT_UNITS","NTL_RESULT","NTL_RESULT_UNITS","PH_RESULT","PH_RESULT_UNITS","POTASSIUM_RESULT","POTASSIUM_RESULT_UNITS","PTL_RESULT","PTL_RESULT_UNITS","SILICA_RESULT","SILICA_RESULT_UNITS","SODIUM_RESULT","SODIUM_RESULT_UNITS","SULFATE_RESULT","SULFATE_RESULT_UNITS","TSS_RESULT","TSS_RESULT_UNITS","TURB_RESULT","TURB_RESULT_UNITS"
"ARLS-1045",1,0.11799,"MG N/L",802.67694,"UEQ/L",13.14,"MG/L",12.535,"MG/L",87.5,"APHA PT-CO",156.5,"US/CM AT 25 C",5.1886,"MG/L",3.762,"MG/L",0.56467,"MG N/L",0.59528,"MG N/L",NA,"",1.085,"MG/L",NA,"",3.284,"MG/L",124,"UG/L",11.81,"MG/L",10.35,"MG/L",10.431,"MG/L",15,"MG/L",56.2,"NTU"
"KSR9-0912",1,0.008,"MG N/L",2862.94,"UEQ/L",50.81,"MG/L",326.868,"MG/L",13,"APHA PT-CO",1429,"US/CM AT 25 C",2.34,"MG/L",14.85,"MG/L",0.003,"MG N/L",NA,"",0,"MG N/L",0.366,"MG/L",8.49,"STD. UNITS",3.984,"MG/L",71,"UG/L",0.975,"MG/L",227.7,"MG/L",58.52,"MG/L",13.7,"MG/L",7.79,"NTU"
"IASS-1090",1,0.012,"MG N/L",5243.33,"UEQ/L",105.5,"MG/L",28.639,"MG/L",17,"APHA PT-CO",720,"US/CM AT 25 C",2.78,"MG/L",28.93,"MG/L",18.782,"MG N/L",NA,"",0.047,"MG N/L",19.4,"MG/L",8.38,"STD. UNITS",1.34,"MG/L",106,"UG/L",23.425,"MG/L",5.05,"MG/L",16.795,"MG/L",4.7,"MG/L",4.57,"NTU"
"ILRF-0001",1,0.021,"MG N/L",765.22,"UEQ/L",11.35,"MG/L",1.709,"MG/L",11,"APHA PT-CO",109.9,"US/CM AT 25 C",2.39,"MG/L",3.95,"MG/L",0.006,"MG N/L",NA,"",0,"MG N/L",0.253,"MG/L",7.61,"STD. UNITS",1.515,"MG/L",29,"UG/L",7.236,"MG/L",3.18,"MG/L",11.495,"MG/L",2.9,"MG/L",2.71,"NTU"
"INS9-0918",1,0.02,"MG N/L",4206.02,"UEQ/L",68.12,"MG/L",33.954,"MG/L",28,"APHA PT-CO",525,"US/CM AT 25 C",3.05,"MG/L",21.25,"MG/L",0.446,"MG N/L",NA,"",0,"MG N/L",0.909,"MG/L",8.28,"STD. UNITS",1.659,"MG/L",37,"UG/L",0.941,"MG/L",10.59,"MG/L",17.737,"MG/L",8.2,"MG/L",3.25,"NTU"
"NYRO-1051",1,0.033,"MG N/L",553.98,"UEQ/L",11.21,"MG/L",4.004,"MG/L",57,"APHA PT-CO",82.9,"US/CM AT 25 C",5.1,"MG/L",1.088,"MG/L",0.214,"MG N/L",NA,"",0.003,"MG N/L",0.51,"MG/L",7.7,"STD. UNITS",0.668,"MG/L",29,"UG/L",7.275,"MG/L",3.34,"MG/L",3.909,"MG/L",4.3,"MG/L",2.38,"NTU"
"AZRM-1003",1,0.057,"MG N/L",2456.8,"UEQ/L",27.15,"MG/L",8.529,"MG/L",37,"APHA PT-CO",272,"US/CM AT 25 C",6.01,"MG/L",9.398,"MG/L",0.576,"MG N/L",NA,"",0.001,"MG N/L",1.669,"MG/L",8.18,"STD. UNITS",3.289,"MG/L",481,"UG/L",25.671,"MG/L",14.02,"MG/L",8.072,"MG/L",208.3,"MG/L",56.44,"NTU"
"IARF-0003",1,0.041,"MG N/L",3181.85,"UEQ/L",62.73,"MG/L",15.405,"MG/L",18,"APHA PT-CO",440,"US/CM AT 25 C",2.65,"MG/L",15.69,"MG/L",8.97,"MG N/L",NA,"",0.051,"MG N/L",9.363,"MG/L",8.14,"STD. UNITS",2.448,"MG/L",176,"UG/L",14.06,"MG/L",5.73,"MG/L",15.201,"MG/L",13.9,"MG/L",7.52,"NTU"
"CAR9-0904",1,0.0024,"MG N/L",840,"UEQ/L",9.6,"MG/L",1.68,"MG/L",10,"APHA PT-CO",95,"US/CM AT 25 C",1.52,"MG/L",3.9,"MG/L",0.0135,"MG N/L",0.0135,"MG N/L",NA,"",0.059,"MG/L",7.9,"STD. UNITS",0.9,"MG/L",19.1,"UG/L",12.9,"MG/L",4.2,"MG/L",2.59,"MG/L",6.5,"MG/L",2.7,"NTU"
"IASS-1088",1,0.035,"MG N/L",5434.34,"UEQ/L",87.86,"MG/L",24.496,"MG/L",13,"APHA PT-CO",697,"US/CM AT 25 C",2.12,"MG/L",34.56,"MG/L",10.647,"MG N/L",NA,"",0.072,"MG N/L",11.075,"MG/L",8.3,"STD. UNITS",3.012,"MG/L",224,"UG/L",17.574,"MG/L",9.88,"MG/L",32.633,"MG/L",28.5,"MG/L",9.13,"NTU"
