"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_RESULT_UNITS","ANC_RESULT","ANC_RESULT_UNITS","CALCIUM_RESULT","CALCIUM_RESULT_UNITS","CHLORIDE_RESULT","CHLORIDE_RESULT_UNITS","COLOR_RESULT","COLOR_RESULT_UNITS","COND_RESULT","COND_RESULT_UNITS","DOC_RESULT","DOC_RESULT_UNITS","MAGNESIUM_RESULT","MAGNESIUM_RESULT_UNITS","NITRATE_N_RESULT","NITRATE_N_RESULT_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_RESULT_UNITS","NITRITE_N_RESULT","NITRITE_N_RESULT_UNITS","NTL_RESULT","NTL_RESULT_UNITS","PH_RESULT","PH_RESULT_UNITS","POTASSIUM_RESULT","POTASSIUM_RESULT_UNITS","PTL_RESULT","PTL_RESULT_UNITS","SILICA_RESULT","SILICA_RESULT_UNITS","SODIUM_RESULT","SODIUM_RESULT_UNITS","SULFATE_RESULT","SULFATE_RESULT_UNITS","TSS_RESULT","TSS_RESULT_UNITS","TURB_RESULT","TURB_RESULT_UNITS"
"KSRS-1288",1,0.011,"MG N/L",4822.28,"UEQ/L",114.8,"MG/L",169.008,"MG/L",12,"APHA PT-CO",1158,"US/CM AT 25 C",4.56,"MG/L",20.33,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.35,"MG/L",7.88,"STD. UNITS",3.664,"MG/L",59,"UG/L",8.977,"MG/L",114.3,"MG/L",105.096,"MG/L",6.5,"MG/L",3.5,"NTU"
"AZR9-0903",1,10.209,"MG N/L",3629.06,"UEQ/L",70.04,"MG/L",154.27,"MG/L",30,"APHA PT-CO",1218,"US/CM AT 25 C",6.71,"MG/L",10.59,"MG/L",6.069,"MG N/L",NA,"",0.31,"MG N/L",20.225,"MG/L",7.86,"STD. UNITS",19.61,"MG/L",3269,"UG/L",36.988,"MG/L",153.4,"MG/L",151.101,"MG/L",17.2,"MG/L",5.7,"NTU"
"AZSS-1115",1,0.014,"MG N/L",1571.94,"UEQ/L",28.3,"MG/L",1.336,"MG/L",0,"APHA PT-CO",192.2,"US/CM AT 25 C",1.26,"MG/L",6.822,"MG/L",0.021,"MG N/L",NA,"",0,"MG N/L",0.086,"MG/L",7.84,"STD. UNITS",0.579,"MG/L",18,"UG/L",6.979,"MG/L",2.13,"MG/L",19.442,"MG/L",0.6,"MG/L",1.16,"NTU"
"KSR9-0910",1,0.008,"MG N/L",4437.6,"UEQ/L",81.49,"MG/L",83.541,"MG/L",24,"APHA PT-CO",865,"US/CM AT 25 C",5.73,"MG/L",16.92,"MG/L",0.304,"MG N/L",NA,"",0,"MG N/L",1.475,"MG/L",8.33,"STD. UNITS",11.94,"MG/L",311,"UG/L",16.819,"MG/L",85.55,"MG/L",106.315,"MG/L",49.4,"MG/L",28.78,"NTU"
"AZLS-1055",1,0.008,"MG N/L",5889.98,"UEQ/L",74.38,"MG/L",5.156,"MG/L",0,"APHA PT-CO",529,"US/CM AT 25 C",0.75,"MG/L",28.52,"MG/L",0.039,"MG N/L",NA,"",0,"MG N/L",0.123,"MG/L",8,"STD. UNITS",1.16,"MG/L",32,"UG/L",15.768,"MG/L",5.32,"MG/L",4.139,"MG/L",0.8,"MG/L",0.01,"NTU"
"KSRS-1270",1,0.005,"MG N/L",3929.21,"UEQ/L",76.17,"MG/L",13.49,"MG/L",15,"APHA PT-CO",416,"US/CM AT 25 C",2.87,"MG/L",5.313,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.309,"MG/L",8.23,"STD. UNITS",1.424,"MG/L",28,"UG/L",4.135,"MG/L",10.63,"MG/L",19.652,"MG/L",3.8,"MG/L",2.7,"NTU"
"KSS9-0933",1,0.014,"MG N/L",4171.87,"UEQ/L",74,"MG/L",101.765,"MG/L",22,"APHA PT-CO",756,"US/CM AT 25 C",6.98,"MG/L",16.72,"MG/L",0.003,"MG N/L",NA,"",0,"MG N/L",0.625,"MG/L",8.05,"STD. UNITS",3.281,"MG/L",66,"UG/L",8.268,"MG/L",67.29,"MG/L",27.622,"MG/L",9.8,"MG/L",7.79,"NTU"
"AZR9-0903",2,12.084,"MG N/L",3584.08,"UEQ/L",71.56,"MG/L",150.009,"MG/L",27,"APHA PT-CO",1193,"US/CM AT 25 C",6.35,"MG/L",11.42,"MG/L",5.564,"MG N/L",NA,"",0.307,"MG N/L",18.2,"MG/L",7.8,"STD. UNITS",20.44,"MG/L",4441,"UG/L",52.19,"MG/L",148.1,"MG/L",146.246,"MG/L",23.4,"MG/L",4.9,"NTU"
"KYRM-1006",1,0.036,"MG N/L",1994.72,"UEQ/L",42.79,"MG/L",7.696,"MG/L",14,"APHA PT-CO",315,"US/CM AT 25 C",1.95,"MG/L",10.11,"MG/L",0.789,"MG N/L",NA,"",0.001,"MG N/L",0.985,"MG/L",7.9,"STD. UNITS",2.118,"MG/L",104,"UG/L",5.817,"MG/L",8.15,"MG/L",47.61,"MG/L",6.7,"MG/L",6.74,"NTU"
"KSR9-0902",1,0.01,"MG N/L",3296.8,"UEQ/L",65.12,"MG/L",577.533,"MG/L",26,"APHA PT-CO",2360,"US/CM AT 25 C",3.85,"MG/L",19.51,"MG/L",0.024,"MG N/L",NA,"",0,"MG N/L",0.624,"MG/L",8.11,"STD. UNITS",6.54,"MG/L",65,"UG/L",0.669,"MG/L",415.4,"MG/L",120.393,"MG/L",19.6,"MG/L",4.49,"NTU"
"KYRM-1002",1,0.043,"MG N/L",1649.69,"UEQ/L",34.95,"MG/L",23.288,"MG/L",15,"APHA PT-CO",341,"US/CM AT 25 C",2.59,"MG/L",10.78,"MG/L",0.863,"MG N/L",NA,"",0.003,"MG N/L",1.14,"MG/L",7.88,"STD. UNITS",2.276,"MG/L",61,"UG/L",4.183,"MG/L",18.9,"MG/L",47.338,"MG/L",5.7,"MG/L",9.64,"NTU"
"GAS9-0921",1,0.08,"MG N/L",183.16,"UEQ/L",1.59,"MG/L",2.878,"MG/L",22,"APHA PT-CO",34.4,"US/CM AT 25 C",2.48,"MG/L",0.977,"MG/L",0.229,"MG N/L",NA,"",0.002,"MG N/L",0.424,"MG/L",6.46,"STD. UNITS",1.638,"MG/L",41,"UG/L",8.432,"MG/L",2.8,"MG/L",0.991,"MG/L",5.7,"MG/L",6.6,"NTU"
"GAS9-0915",1,0.066,"MG N/L",464.81,"UEQ/L",6.46,"MG/L",2.792,"MG/L",38,"APHA PT-CO",63.9,"US/CM AT 25 C",8.46,"MG/L",1.212,"MG/L",0.173,"MG N/L",NA,"",0.001,"MG N/L",1.741,"MG/L",6.47,"STD. UNITS",3.598,"MG/L",92,"UG/L",14.173,"MG/L",3.34,"MG/L",2.191,"MG/L",5.8,"MG/L",4.61,"NTU"
"PARM-1005",1,0.039,"MG N/L",720.63,"UEQ/L",26.51,"MG/L",22.094,"MG/L",5,"APHA PT-CO",280,"US/CM AT 25 C",1.76,"MG/L",7.722,"MG/L",0.331,"MG N/L",NA,"",0.008,"MG N/L",0.525,"MG/L",7.46,"STD. UNITS",1.68,"MG/L",14,"UG/L",2.238,"MG/L",16.37,"MG/L",58.311,"MG/L",4.3,"MG/L",3.46,"NTU"
"OHRM-1002",1,0.028,"MG N/L",882.51,"UEQ/L",31.84,"MG/L",28.825,"MG/L",7,"APHA PT-CO",348,"US/CM AT 25 C",1.91,"MG/L",9.052,"MG/L",0.625,"MG N/L",NA,"",0.008,"MG N/L",0.845,"MG/L",7.61,"STD. UNITS",2.106,"MG/L",24,"UG/L",2.452,"MG/L",24.62,"MG/L",72.247,"MG/L",5.3,"MG/L",6.81,"NTU"
"PARM-1001",1,0.039,"MG N/L",783.85,"UEQ/L",22.53,"MG/L",17.356,"MG/L",15,"APHA PT-CO",229,"US/CM AT 25 C",1.91,"MG/L",6.251,"MG/L",0.225,"MG N/L",NA,"",0.003,"MG N/L",0.426,"MG/L",7.57,"STD. UNITS",1.474,"MG/L",16,"UG/L",1.47,"MG/L",12.4,"MG/L",39.284,"MG/L",4.5,"MG/L",3.74,"NTU"
"NJS9-0908",1,0.007,"MG N/L",2962.79,"UEQ/L",78.99,"MG/L",190.787,"MG/L",15,"APHA PT-CO",964,"US/CM AT 25 C",2.61,"MG/L",12.8,"MG/L",1.628,"MG N/L",NA,"",0,"MG N/L",1.875,"MG/L",8.13,"STD. UNITS",2.669,"MG/L",66,"UG/L",15.113,"MG/L",102.8,"MG/L",23.802,"MG/L",0,"MG/L",0.05,"NTU"
"CARM-1007",1,0.163,"MG N/L",1310,"UEQ/L",12.7,"MG/L",6.07,"MG/L",15,"APHA PT-CO",164,"US/CM AT 25 C",2.4,"MG/L",6.7,"MG/L",0.0875,"MG N/L",0.0845,"MG N/L",NA,"",0.365,"MG/L",7.91,"STD. UNITS",1.4,"MG/L",63.4,"UG/L",18,"MG/L",11.1,"MG/L",7.84,"MG/L",13.6,"MG/L",6.1,"NTU"
"AZR9-0902",1,0.007,"MG N/L",2740.47,"UEQ/L",67.7,"MG/L",52.269,"MG/L",5,"APHA PT-CO",794,"US/CM AT 25 C",2.73,"MG/L",22.96,"MG/L",0.203,"MG N/L",NA,"",0,"MG N/L",0.166,"MG/L",7.74,"STD. UNITS",3.405,"MG/L",2,"UG/L",6.829,"MG/L",70.98,"MG/L",186.878,"MG/L",7.5,"MG/L",3.66,"NTU"
"AZR9-0901",1,0.015,"MG N/L",2507.06,"UEQ/L",62.55,"MG/L",65.661,"MG/L",3,"APHA PT-CO",773,"US/CM AT 25 C",2.45,"MG/L",20.18,"MG/L",0.162,"MG N/L",NA,"",0,"MG N/L",0.236,"MG/L",7.74,"STD. UNITS",2.859,"MG/L",2,"UG/L",3.895,"MG/L",73.92,"MG/L",159.864,"MG/L",8.2,"MG/L",2.29,"NTU"
"CARM-1003",1,0.132,"MG N/L",1530,"UEQ/L",26,"MG/L",86.7,"MG/L",20,"APHA PT-CO",566,"US/CM AT 25 C",3.8,"MG/L",14.2,"MG/L",1.75,"MG N/L",1.76,"MG N/L",NA,"",2.09,"MG/L",7.87,"STD. UNITS",3.5,"MG/L",266,"UG/L",12.9,"MG/L",62.2,"MG/L",59.1,"MG/L",18.4,"MG/L",9.6,"NTU"
"NJRO-1019",1,0.159,"MG N/L",1318.51,"UEQ/L",29.26,"MG/L",87.587,"MG/L",45,"APHA PT-CO",466,"US/CM AT 25 C",6.02,"MG/L",9.319,"MG/L",1.111,"MG N/L",NA,"",0.025,"MG N/L",1.719,"MG/L",7.61,"STD. UNITS",2.821,"MG/L",301,"UG/L",11.926,"MG/L",54.19,"MG/L",14.899,"MG/L",13,"MG/L",7.51,"NTU"
"TXR9-0907",1,0.018,"MG N/L",1710.71,"UEQ/L",37.98,"MG/L",38.71,"MG/L",15,"APHA PT-CO",403,"US/CM AT 25 C",5,"MG/L",5.065,"MG/L",0.019,"MG N/L",NA,"",0,"MG N/L",0.836,"MG/L",8.07,"STD. UNITS",7.351,"MG/L",85,"UG/L",1.275,"MG/L",40.19,"MG/L",50.615,"MG/L",12,"MG/L",7.35,"NTU"
"GAS9-0916",1,0.023,"MG N/L",289.5,"UEQ/L",7.04,"MG/L",2.472,"MG/L",31,"APHA PT-CO",45.2,"US/CM AT 25 C",4.39,"MG/L",0.581,"MG/L",0.021,"MG N/L",NA,"",0.001,"MG N/L",0.356,"MG/L",7.32,"STD. UNITS",0.249,"MG/L",85,"UG/L",5.118,"MG/L",1.35,"MG/L",1.488,"MG/L",17.3,"MG/L",12.1,"NTU"
"NES9-0934",1,0.106,"MG N/L",6993.7,"UEQ/L",101,"MG/L",20.2,"MG/L",10,"APHA PT-CO",845,"US/CM AT 25 C",4.31,"MG/L",25,"MG/L",5.8,"MG N/L",5.86,"MG N/L",NA,"",6.59,"MG/L",NA,"",6.69,"MG/L",330,"UG/L",25.8,"MG/L",53.3,"MG/L",66.2,"MG/L",15,"MG/L",5.5,"NTU"
"KSRS-1261",1,0.007,"MG N/L",3520.79,"UEQ/L",142.4,"MG/L",68.349,"MG/L",32,"APHA PT-CO",1054,"US/CM AT 25 C",5.94,"MG/L",25.62,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.415,"MG/L",7.93,"STD. UNITS",10.21,"MG/L",55,"UG/L",25.543,"MG/L",56.44,"MG/L",277.616,"MG/L",1.5,"MG/L",1.25,"NTU"
"KSRS-1277",1,0.009,"MG N/L",3188.61,"UEQ/L",223.2,"MG/L",235.226,"MG/L",25,"APHA PT-CO",1964,"US/CM AT 25 C",6.69,"MG/L",46.79,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.469,"MG/L",7.87,"STD. UNITS",14.3,"MG/L",33,"UG/L",14.434,"MG/L",170.2,"MG/L",555.003,"MG/L",2.8,"MG/L",3.54,"NTU"
"OKR9-0901",1,0.007,"MG N/L",3270.49,"UEQ/L",84.6,"MG/L",564.188,"MG/L",5,"APHA PT-CO",2580,"US/CM AT 25 C",3.46,"MG/L",51.86,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.246,"MG/L",8.4,"STD. UNITS",5.963,"MG/L",37,"UG/L",20.771,"MG/L",405,"MG/L",303.56,"MG/L",1.4,"MG/L",0.73,"NTU"
"PALS-1091",1,0.008,"MG N/L",498.71,"UEQ/L",10.42,"MG/L",3.255,"MG/L",15,"APHA PT-CO",83.8,"US/CM AT 25 C",0.85,"MG/L",1.852,"MG/L",0.043,"MG N/L",NA,"",0,"MG N/L",0.108,"MG/L",7.68,"STD. UNITS",0.941,"MG/L",15,"UG/L",4.518,"MG/L",2.89,"MG/L",8.044,"MG/L",4.2,"MG/L",1.76,"NTU"
"NJLS-1043",1,0.085,"MG N/L",2284.86,"UEQ/L",56.21,"MG/L",140.706,"MG/L",23,"APHA PT-CO",765,"US/CM AT 25 C",3.49,"MG/L",14.67,"MG/L",4.725,"MG N/L",NA,"",0.026,"MG N/L",5.1,"MG/L",7.9,"STD. UNITS",4.567,"MG/L",611,"UG/L",13.466,"MG/L",84.1,"MG/L",22.272,"MG/L",4.7,"MG/L",1.69,"NTU"
"DELS-1036",1,0.027,"MG N/L",356.46,"UEQ/L",10.53,"MG/L",14.045,"MG/L",17,"APHA PT-CO",137,"US/CM AT 25 C",2.84,"MG/L",3.622,"MG/L",2.75,"MG N/L",NA,"",0.005,"MG N/L",2.775,"MG/L",6.91,"STD. UNITS",2.234,"MG/L",96,"UG/L",24.235,"MG/L",10.11,"MG/L",11.399,"MG/L",28.2,"MG/L",11.91,"NTU"
"NES9-0923",1,0.932,"MG N/L",6614.042,"UEQ/L",96.9,"MG/L",4.4,"MG/L",15,"APHA PT-CO",674,"US/CM AT 25 C",4.99,"MG/L",17.9,"MG/L",1.13,"MG N/L",1.33,"MG N/L",NA,"",2.87,"MG/L",NA,"",13.7,"MG/L",600,"UG/L",38.3,"MG/L",15.8,"MG/L",26.8,"MG/L",155,"MG/L",95,"NTU"
"NES9-0930",1,0.756,"MG N/L",5135.374,"UEQ/L",78.2,"MG/L",7.23,"MG/L",30,"APHA PT-CO",572,"US/CM AT 25 C",6.77,"MG/L",18.4,"MG/L",4.22,"MG N/L",5.05,"MG N/L",NA,"",6.89,"MG/L",NA,"",14.4,"MG/L",700,"UG/L",21.6,"MG/L",14.2,"MG/L",27.7,"MG/L",210,"MG/L",180,"NTU"
"WVRF-0001",1,0.004,"MG N/L",51.76,"UEQ/L",2.37,"MG/L",0.887,"MG/L",16,"APHA PT-CO",28.9,"US/CM AT 25 C",1.61,"MG/L",1.061,"MG/L",0.155,"MG N/L",NA,"",0.001,"MG N/L",0.223,"MG/L",6.44,"STD. UNITS",0.788,"MG/L",13,"UG/L",6.581,"MG/L",0.74,"MG/L",6.309,"MG/L",3.3,"MG/L",2.07,"NTU"
"OKS9-0935",1,0.059,"MG N/L",6087.2,"UEQ/L",75.74,"MG/L",27.451,"MG/L",22,"APHA PT-CO",663,"US/CM AT 25 C",2.77,"MG/L",12.72,"MG/L",1.887,"MG N/L",NA,"",0,"MG N/L",2.368,"MG/L",8.15,"STD. UNITS",1.089,"MG/L",111,"UG/L",33.113,"MG/L",63.51,"MG/L",19.547,"MG/L",33.4,"MG/L",24.28,"NTU"
"PAS9-0918",1,0.005,"MG N/L",198.77,"UEQ/L",5.28,"MG/L",0.434,"MG/L",12,"APHA PT-CO",42.2,"US/CM AT 25 C",0.77,"MG/L",1.09,"MG/L",0.111,"MG N/L",NA,"",0.001,"MG N/L",0.153,"MG/L",7.05,"STD. UNITS",0.664,"MG/L",19,"UG/L",4.93,"MG/L",0.88,"MG/L",6.878,"MG/L",1.3,"MG/L",1.1,"NTU"
"MDS9-0914",1,0.025,"MG N/L",447.67,"UEQ/L",10.58,"MG/L",13.735,"MG/L",35,"APHA PT-CO",141.3,"US/CM AT 25 C",4.26,"MG/L",4.734,"MG/L",2.942,"MG N/L",NA,"",0.006,"MG N/L",3.038,"MG/L",7.24,"STD. UNITS",3.268,"MG/L",86,"UG/L",17.301,"MG/L",9.08,"MG/L",9.098,"MG/L",0.2,"MG/L",4.66,"NTU"
"NJR9-0901",1,0.008,"MG N/L",272.58,"UEQ/L",6.48,"MG/L",11.096,"MG/L",10,"APHA PT-CO",81.2,"US/CM AT 25 C",1.96,"MG/L",1.386,"MG/L",0.125,"MG N/L",NA,"",0.002,"MG N/L",0.291,"MG/L",7.23,"STD. UNITS",0.626,"MG/L",18,"UG/L",1.114,"MG/L",7.82,"MG/L",5.362,"MG/L",2.9,"MG/L",1.7,"NTU"
"TXS9-0926",1,6.948,"MG N/L",3397.38,"UEQ/L",60.56,"MG/L",105.04,"MG/L",25,"APHA PT-CO",779,"US/CM AT 25 C",6.26,"MG/L",6.629,"MG/L",2.145,"MG N/L",NA,"",1.014,"MG N/L",10.888,"MG/L",7.65,"STD. UNITS",13.71,"MG/L",2745,"UG/L",33.678,"MG/L",88.47,"MG/L",33.338,"MG/L",2.1,"MG/L",0.85,"NTU"
"NJSS-1082",1,0.006,"MG N/L",336.69,"UEQ/L",7.83,"MG/L",29.93,"MG/L",17,"APHA PT-CO",155,"US/CM AT 25 C",3.51,"MG/L",2.957,"MG/L",0.137,"MG N/L",NA,"",0,"MG N/L",0.618,"MG/L",6.62,"STD. UNITS",1.118,"MG/L",129,"UG/L",11.79,"MG/L",20.17,"MG/L",7.44,"MG/L",34.8,"MG/L",16.63,"NTU"
"NJRO-1020",1,0.082,"MG N/L",753.84,"UEQ/L",16.13,"MG/L",54.101,"MG/L",32,"APHA PT-CO",288,"US/CM AT 25 C",5.83,"MG/L",5.67,"MG/L",0.487,"MG N/L",NA,"",0.011,"MG N/L",0.953,"MG/L",7.2,"STD. UNITS",2.081,"MG/L",188,"UG/L",7.537,"MG/L",34.74,"MG/L",9.788,"MG/L",6.8,"MG/L",3.35,"NTU"
"MNSS-1171",1,0.104,"MG N/L",2072.39,"UEQ/L",50.42,"MG/L",213.998,"MG/L",26,"APHA PT-CO",930,"US/CM AT 25 C",7.42,"MG/L",16.54,"MG/L",0.108,"MG N/L",NA,"",0.011,"MG N/L",0.77,"MG/L",7.98,"STD. UNITS",2.42,"MG/L",56,"UG/L",4.345,"MG/L",124.5,"MG/L",13.216,"MG/L",2.3,"MG/L",3.56,"NTU"
"PAS9-0923",1,0.03,"MG N/L",2678.06,"UEQ/L",85.76,"MG/L",21.134,"MG/L",9,"APHA PT-CO",858,"US/CM AT 25 C",1.36,"MG/L",33.78,"MG/L",0.538,"MG N/L",NA,"",0,"MG N/L",0.688,"MG/L",8.02,"STD. UNITS",2.675,"MG/L",28,"UG/L",9.559,"MG/L",65.53,"MG/L",279.485,"MG/L",2.1,"MG/L",1.83,"NTU"
"NJS9-0909",1,0.008,"MG N/L",479.48,"UEQ/L",12.12,"MG/L",35.347,"MG/L",26,"APHA PT-CO",187.6,"US/CM AT 25 C",4.13,"MG/L",2.745,"MG/L",0.08,"MG N/L",NA,"",0.001,"MG N/L",0.32,"MG/L",7.28,"STD. UNITS",0.686,"MG/L",26,"UG/L",3.663,"MG/L",22.25,"MG/L",7.15,"MG/L",2.3,"MG/L",1.52,"NTU"
"NER9-0904",1,0.01,"MG N/L",4196.22,"UEQ/L",72.8,"MG/L",36.4,"MG/L",2,"APHA PT-CO",883,"US/CM AT 25 C",2.94,"MG/L",24.7,"MG/L",0.946,"MG N/L",0.954,"MG N/L",NA,"",1.22,"MG/L",NA,"",12.5,"MG/L",150,"UG/L",19.6,"MG/L",80.8,"MG/L",221,"MG/L",15,"MG/L",4.7,"NTU"
"AZRM-1002",1,0.002,"MG N/L",2630.27,"UEQ/L",69.62,"MG/L",70.082,"MG/L",9,"APHA PT-CO",838,"US/CM AT 25 C",2.94,"MG/L",24.63,"MG/L",0.214,"MG N/L",NA,"",0,"MG N/L",0.251,"MG/L",8.14,"STD. UNITS",3.577,"MG/L",54,"UG/L",8.388,"MG/L",82.14,"MG/L",180.421,"MG/L",101.3,"MG/L",3.14,"NTU"
"MDRM-1003",1,0.005,"MG N/L",817.64,"UEQ/L",52.34,"MG/L",25.641,"MG/L",23,"APHA PT-CO",524,"US/CM AT 25 C",6.97,"MG/L",16.47,"MG/L",0.409,"MG N/L",NA,"",0.001,"MG N/L",0.583,"MG/L",7.67,"STD. UNITS",3.469,"MG/L",40,"UG/L",4.869,"MG/L",36.55,"MG/L",171.634,"MG/L",6,"MG/L",4.86,"NTU"
"NVRM-1001",1,0,"MG N/L",2850.82,"UEQ/L",291.4,"MG/L",393.328,"MG/L",4,"APHA PT-CO",3140,"US/CM AT 25 C",1.06,"MG/L",114,"MG/L",0.007,"MG N/L",NA,"",0,"MG N/L",0.13,"MG/L",8.04,"STD. UNITS",31.22,"MG/L",55,"UG/L",19.555,"MG/L",297.6,"MG/L",1108.878,"MG/L",27.6,"MG/L",9.57,"NTU"
"OKR9-0909",1,0.062,"MG N/L",3664.29,"UEQ/L",45.67,"MG/L",25.194,"MG/L",32,"APHA PT-CO",472,"US/CM AT 25 C",15.59,"MG/L",16.63,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",3.41,"MG/L",7.83,"STD. UNITS",16.17,"MG/L",829,"UG/L",8.337,"MG/L",30.6,"MG/L",23.817,"MG/L",100.5,"MG/L",66.77,"NTU"
"OKS9-0931",1,1.332,"MG N/L",4317.34,"UEQ/L",131.8,"MG/L",25.2,"MG/L",69,"APHA PT-CO",1072,"US/CM AT 25 C",14.74,"MG/L",44.45,"MG/L",0.007,"MG N/L",NA,"",0,"MG N/L",2.433,"MG/L",7.8,"STD. UNITS",12.82,"MG/L",1082,"UG/L",15.524,"MG/L",53.12,"MG/L",322.048,"MG/L",1.3,"MG/L",6.72,"NTU"
"NELS-1074",1,0.089,"MG N/L",4176.238,"UEQ/L",70.1,"MG/L",24.2,"MG/L",10,"APHA PT-CO",825,"US/CM AT 25 C",3.93,"MG/L",23,"MG/L",0.51,"MG N/L",0.526,"MG N/L",NA,"",0.97,"MG/L",NA,"",13.9,"MG/L",110,"UG/L",26.8,"MG/L",67.5,"MG/L",184,"MG/L",62,"MG/L",30,"NTU"
"PALS-1090",1,0.002,"MG N/L",173.31,"UEQ/L",4.03,"MG/L",2.912,"MG/L",21,"APHA PT-CO",50.6,"US/CM AT 25 C",2.93,"MG/L",1.715,"MG/L",0.192,"MG N/L",NA,"",0.001,"MG N/L",0.344,"MG/L",6.91,"STD. UNITS",1.04,"MG/L",59,"UG/L",6.427,"MG/L",2.52,"MG/L",7.594,"MG/L",33.6,"MG/L",18.33,"NTU"
"KSRS-1340",1,0.201,"MG N/L",1617.52,"UEQ/L",34.51,"MG/L",3.193,"MG/L",31,"APHA PT-CO",234,"US/CM AT 25 C",7.05,"MG/L",5.809,"MG/L",0.931,"MG N/L",NA,"",0.052,"MG N/L",2.053,"MG/L",7.65,"STD. UNITS",3.546,"MG/L",257,"UG/L",8.298,"MG/L",7.75,"MG/L",22.887,"MG/L",114.4,"MG/L",130.31,"NTU"
"NDSS-1103",1,0.001,"MG N/L",7141.15,"UEQ/L",210.1,"MG/L",12.414,"MG/L",65,"APHA PT-CO",2650,"US/CM AT 25 C",18.49,"MG/L",259.4,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",1.383,"MG/L",7.94,"STD. UNITS",20.49,"MG/L",66,"UG/L",16.773,"MG/L",145.8,"MG/L",1389.754,"MG/L",0.6,"MG/L",0.51,"NTU"
"TXSS-1216",1,0.083,"MG N/L",2785.47,"UEQ/L",65.53,"MG/L",15.756,"MG/L",5,"APHA PT-CO",474,"US/CM AT 25 C",4.82,"MG/L",5.169,"MG/L",0.035,"MG N/L",NA,"",0,"MG N/L",0.816,"MG/L",7.82,"STD. UNITS",8.513,"MG/L",186,"UG/L",7.332,"MG/L",29.87,"MG/L",84.161,"MG/L",100.7,"MG/L",39.4,"NTU"
"TXS9-0928",1,0.005,"MG N/L",4732.57,"UEQ/L",96.7,"MG/L",5.955,"MG/L",22,"APHA PT-CO",465,"US/CM AT 25 C",2.93,"MG/L",4.071,"MG/L",0.014,"MG N/L",NA,"",0,"MG N/L",0.236,"MG/L",7.93,"STD. UNITS",3.384,"MG/L",42,"UG/L",14.153,"MG/L",6.97,"MG/L",19.908,"MG/L",2.7,"MG/L",2.48,"NTU"
"KSR9-0906",1,0.023,"MG N/L",2496.34,"UEQ/L",51.46,"MG/L",8.264,"MG/L",34,"APHA PT-CO",306,"US/CM AT 25 C",4.99,"MG/L",5.451,"MG/L",0.509,"MG N/L",NA,"",0.001,"MG N/L",1.036,"MG/L",7.89,"STD. UNITS",3.687,"MG/L",126,"UG/L",10.694,"MG/L",8.92,"MG/L",15.755,"MG/L",21.1,"MG/L",24.77,"NTU"
"WIRF-0011",1,0.082,"MG N/L",1031.45,"UEQ/L",16.44,"MG/L",3.812,"MG/L",325,"APHA PT-CO",117.9,"US/CM AT 25 C",36.46,"MG/L",7.225,"MG/L",0.18,"MG N/L",NA,"",0.005,"MG N/L",1.745,"MG/L",7.53,"STD. UNITS",0.866,"MG/L",88,"UG/L",9.463,"MG/L",3.01,"MG/L",2.66,"MG/L",7,"MG/L",7.13,"NTU"
"PAS9-0922",1,0.006,"MG N/L",33.82,"UEQ/L",2.46,"MG/L",3.707,"MG/L",18,"APHA PT-CO",36.5,"US/CM AT 25 C",2.43,"MG/L",0.726,"MG/L",0.148,"MG N/L",NA,"",0.001,"MG N/L",0.249,"MG/L",6.17,"STD. UNITS",0.641,"MG/L",12,"UG/L",3.997,"MG/L",2.75,"MG/L",6.228,"MG/L",1.8,"MG/L",1.79,"NTU"
"MNS9-0933",1,0.03,"MG N/L",4183.82,"UEQ/L",97.64,"MG/L",41.49,"MG/L",26,"APHA PT-CO",732,"US/CM AT 25 C",6.02,"MG/L",35.99,"MG/L",18.357,"MG N/L",NA,"",0.076,"MG N/L",19.1,"MG/L",8.12,"STD. UNITS",2.206,"MG/L",156,"UG/L",24.462,"MG/L",10.28,"MG/L",39.935,"MG/L",0,"MG/L",0.36,"NTU"
"NJR9-0902",1,0.063,"MG N/L",771.46,"UEQ/L",13.5,"MG/L",25.443,"MG/L",49,"APHA PT-CO",189.4,"US/CM AT 25 C",6.02,"MG/L",4.808,"MG/L",0.865,"MG N/L",NA,"",0.008,"MG N/L",1.341,"MG/L",7.38,"STD. UNITS",2.536,"MG/L",156,"UG/L",11.041,"MG/L",18.13,"MG/L",10.738,"MG/L",14.8,"MG/L",18.84,"NTU"
"OKRO-1089",1,0.106,"MG N/L",1871.73,"UEQ/L",676.3,"MG/L",15450.492,"MG/L",11,"APHA PT-CO",43220,"US/CM AT 25 C",10.82,"MG/L",285.1,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",2.168,"MG/L",7.61,"STD. UNITS",30.12,"MG/L",83,"UG/L",1.652,"MG/L",9239,"MG/L",1736.455,"MG/L",9.3,"MG/L",15.89,"NTU"
