"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar"
"MMI","Standard","90.41","48","0.97","0.94","0.05","0.05","2666.71","320","44"
"MMI","Robust","81.89","48","0.98","0.96","0.05","0.05","2666.71","320","44"
