"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar"
"OE","Standard","98.54","54","0.96","0.93","0.06","0.04","3633.02","271","54"
"OE","Robust","98.41","54","0.97","0.94","0.06","0.04","3633.02","271","54"
