"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar"
"EPT","Standard","112.54","59","0.96","0.93","0.05","0.05","4001.77","320","49"
"EPT","Robust","98.54","59","0.97","0.95","0.05","0.05","4001.77","320","49"
