"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar"
"OE","Standard","73.51","42","0.97","0.95","0.05","0.04","2892.2","320","42"
"OE","Robust","63.64","42","0.98","0.96","0.04","0.04","2892.2","320","42"
