"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar"
"EPT","Standard","110.27","68","0.97","0.94","0.05","0.04","4235.86","272","58"
"EPT","Robust","106.66","68","0.97","0.96","0.05","0.04","4235.86","272","58"
