"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar"
"MMI","Standard","112.12","67","0.96","0.94","0.05","0.04","3711.96","272","59"
"MMI","Robust","107.43","67","0.97","0.95","0.05","0.04","3711.96","272","59"
