"lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"Lpt01_XCMGW","~","asin_PCTAGR_WS","a2",-0.230952891856136,0.0848318301632093,-2.72247918513372,0.00647941150276488,-0.397220223718645,-0.0646855599936272
"Lpt01_XCMGW","~","asin_PCTURB_WS","u2",0.190774154880664,0.0670924803912826,2.84345061872912,0.00446279243714631,0.0592753096802903,0.322273000081038
"Lpt01_XCMGW","~","W1_HAG","ha3",-0.208020123606456,0.0503714754815911,-4.12972067261519,3.63204241204951e-05,-0.306746401398517,-0.109293845814395
"Lpt01_XCMGW","~","W1_HNOAG","na2",-0.23706296094926,0.0726513991725851,-3.26301989568173,0.00110231780930592,-0.37945708675397,-0.0946688351445506
"Lpt01_XCMGW","~","L_STRM_POWER","sp2",0.244199962008851,0.060355888041316,4.04600064606267,5.21000889965872e-05,0.12590459519294,0.362495328824762
"L_STRM_POWER","~","drought_mean","ph2",-0.0946663674641551,0.04111862461777,-2.30227465884751,0.0213196879750568,-0.175257390808806,-0.0140753441195038
"L_STRM_POWER","~","L_NABD_NrmStorWs_ratio","d2",-0.44781462409936,0.049751862871752,-9.0009619389271,0,-0.54532648349177,-0.350302764706951
"L_STRM_POWER","~","W1_HAG","ha4",-0.104363387824805,0.0477194267923789,-2.18702098579005,0.0287409920379136,-0.197891745700763,-0.0108350299488465
"L_STRM_POWER","~","asin_PCTNATTERR_WsRp100","rn2",0.341524352630455,0.0400594626398088,8.52543519370795,0,0.263009248616402,0.420039456644508
"LQLow_kmcl","~","asin_PCTAGR_WS","a3",0.181767766750896,0.057710988603875,3.14962143515752,0.00163482150351557,0.0686563075750998,0.294879225926693
"LQLow_kmcl","~","PSUMPY_SY_WS_sc","p3",0.186013368205952,0.0479213737579902,3.8816368066856,0.000103755756114543,0.0920892015506087,0.279937534861296
"LQLow_kmcl","~","L_NABD_NrmStorWs_ratio","d3",-0.459929308375826,0.0506071740908803,-9.08822349080164,0,-0.5591175469533,-0.360741069798352
"LQLow_kmcl","~","asin_PCTWET_WsRp100","w2",0.269642299645682,0.0466755988405112,5.77694354960585,7.60697926871501e-09,0.17815980696144,0.361124792329923
"LQLow_kmcl","~","W1_HAG","ha5",-0.205904888193113,0.0504067209407466,-4.08486972273311,4.41015531467137e-05,-0.304700245815737,-0.107109530570488
"LQLow_kmcl","~","W1_HNOAG","na4",0.11733593637013,0.0488604872794621,2.40144834616602,0.0163303144222771,0.0215711410353068,0.213100731704953
"LQbkf_kmcl","~","asin_PCTURB_WS","u4",0.126191831034759,0.04788297681512,2.63542159298064,0.00840328375748922,0.0323429210045571,0.22004074106496
"LQbkf_kmcl","~","PSUMPY_SY_WS_sc","p4",0.18196812066819,0.0459692148982263,3.95847788723517,7.54289228510618e-05,0.0918701150700847,0.272066126266296
"LQbkf_kmcl","~","L_NABD_NrmStorWs_ratio","d4",-0.532426620394137,0.042697468244802,-12.4697468557508,0,-0.616112120384992,-0.448741120403283
"LQbkf_kmcl","~","W1_HAG","ha6",-0.151902892732331,0.0475346491310769,-3.19562457089897,0.00139528536444677,-0.24506909304699,-0.0587366924176718
"LQbkf_kmcl","~","drought_mean","ph3",0.0925466901518763,0.0453155059085002,2.04227423475629,0.0411243363836318,0.00372993063000401,0.181363449673749
"evap_index_sc","~","LQLow_kmcl","l5",-0.3181843056179,0.064636120427442,-4.92270116946579,8.53577451165322e-07,-0.44486877375608,-0.19149983747972
"evap_index_sc","~","LQbkf_kmcl","b3",-0.236460224347124,0.0657069869599557,-3.598707463047,0.000319802677490655,-0.36524355232128,-0.107676896372968
"evap_index_sc","~","PSUMPY_SY_WS_sc","p7",-0.156208967121026,0.0391410611733982,-3.99092314919636,6.58166066962451e-05,-0.232924037337565,-0.0794938969044862
"evap_index_sc","~","asin_PCTNATTERR_WsRp100","rn3",-0.145734509399156,0.058702742830468,-2.48258432864088,0.0130433190980053,-0.26078977114059,-0.0306792476577218
"evap_index_sc","~","drought_mean","ph5",0.11629900890697,0.0498142861074665,2.33465172332437,0.0195616221638644,0.0186648022207616,0.213933215593178
"evap_index_sc","~","L_STRM_POWER","sp3",-0.171710945374841,0.0625846931314575,-2.74365722324733,0.00607589449915769,-0.294374689895989,-0.0490472008536931
"LRBS_use","~","LQLow_kmcl","l2",0.20059680388807,0.0727779669329306,2.75628479802044,0.00584620689501758,0.0579546098314796,0.343238997944661
"LRBS_use","~","LQbkf_kmcl","b2",-0.448019267869533,0.0790542947788481,-5.66723502022064,1.45120231387352e-08,-0.602962838459288,-0.293075697279779
"LRBS_use","~","W1_HAG","ha2",-0.129671312862194,0.0522681855546555,-2.48088414560709,0.0131056961872269,-0.232115074086576,-0.0272275516378129
"LRBS_use","~","PSUMPY_SY_WS_sc","p2",0.327529619729466,0.0555153861200587,5.89979900384991,3.63944652193027e-09,0.218721462346316,0.436337777112615
"L_NTL","~","asin_PCTURB_WS","u3",0.311549743379313,0.0723717900852905,4.30485059181416,1.67098470618132e-05,0.169703641315451,0.453395845443176
